#: table_doi: 10.17182/hepdata.63216.v1/t10
#: name: Table 10
#: description: DF - MT2 in SR-MT2 w/o MT2.

#: data_file: Table10.yaml
#: keyword reactions: P P --> CHARGINO+ CHARGINO- X | P P --> SLEPTON+ SLEPTON- X | P P --> CHARGINO+ NEUTRALINO X
#: keyword observables: DN/DM
#: keyword phrases: Inclusive | Single Differential Distribution | Proton-Proton Scattering
#: keyword cmenergies: 8000.0
#: RE,P P --> CHARGINO+ CHARGINO- X,,,
#: SQRT(S) [GeV],8000.0
#: ,data
MT2 [GEV],Events / 10 GeV,error +,error -
5.0,4463.0,67.81,-66.8
15.0,1087.0,33.98,-32.96
25.0,664.0,26.78,-25.76
35.0,604.0,25.59,-24.57
45.0,567.0,24.83,-23.8
55.0,447.0,22.16,-21.13
65.0,368.0,20.2,-19.17
75.0,183.0,14.55,-13.52
85.0,63.0,8.98,-7.92
95.0,10.0,4.27,-3.11
105.0,3.0,2.92,-1.63
115.0,3.0,2.92,-1.63
125.0,1.0,2.3,-0.83
135.0,2.0,2.64,-1.29
145.0,0.0,0.0,-0.0
155.0,0.0,0.0,-0.0
165.0,0.0,0.0,-0.0
175.0,0.0,0.0,-0.0
185.0,2.0,2.64,-1.29
195.0,0.0,0.0,-0.0

#: RE,P P --> CHARGINO+ CHARGINO- X,,,,,
#: SQRT(S) [GeV],8000.0
#: ,bg
MT2 [GEV],Events / 10 GeV,stat +,stat -,sys +,sys -
5.0,4405.15,101.29,-101.29,381.18,-156.07
15.0,1064.18,34.46,-34.46,127.18,-44.68
25.0,692.16,14.34,-14.34,87.03,-34.6
35.0,597.57,7.62,-7.62,75.74,-31.61
45.0,545.49,7.22,-7.22,67.97,-28.56
55.0,478.66,6.68,-6.68,59.14,-25.61
65.0,353.65,5.99,-5.99,46.11,-18.59
75.0,178.06,4.31,-4.31,26.85,-9.58
85.0,53.95,2.39,-2.39,10.62,-3.32
95.0,14.42,1.38,-1.38,1.25,-1.67
105.0,3.66,0.62,-0.62,1.83,-0.36
115.0,1.83,0.47,-0.47,0.22,-0.12
125.0,1.05,0.26,-0.26,0.12,-0.18
135.0,0.91,0.23,-0.23,0.14,-0.15
145.0,0.69,0.21,-0.21,0.16,-0.06
155.0,0.26,0.11,-0.11,0.08,-0.02
165.0,0.07,0.06,-0.06,0.03,0.0
175.0,0.15,0.09,-0.09,0.02,-0.11
185.0,0.06,0.08,-0.08,0.09,-0.03
195.0,0.36,0.14,-0.14,0.1,-0.03

