#: table_doi: 10.17182/hepdata.63216.v1/t100
#: name: Table 100
#: description: Acceptance IN PCT in Fig. 08b.

#: data_file: Table100.yaml
#: keyword reactions: P P --> CHARGINO+ CHARGINO- X | P P --> SLEPTON+ SLEPTON- X | P P --> CHARGINO+ NEUTRALINO X
#: keyword observables: M
#: keyword phrases: Inclusive | Proton-Proton Scattering
#: keyword cmenergies: 8000.0
#: RE,P P --> CHARGINO+ CHARGINO- X
#: SQRT(S) [GeV],8000.0
M(SLEPTON) [GEV],M(NEUTRALINO1) [GEV],Acceptance [PCT]
101.4,19.8,0.0
101.4,29.8,0.0
101.4,29.8,0.0
101.4,49.8,0.0
105.9,14.8,0.0
105.9,24.8,0.0
105.9,34.8,0.0
105.9,44.8,0.0
105.9,54.8,0.0
110.4,0.2,0.0
110.4,19.8,0.0
110.4,29.8,0.0
110.4,39.8,0.0
110.4,49.8,0.0
110.4,59.8,0.0
114.9,24.8,0.0
114.9,34.8,0.0
114.9,44.8,0.0
114.9,54.8,0.0
114.9,64.8,0.0
119.5,9.8,0.0
119.5,29.8,0.0
119.5,39.8,0.0
119.5,49.8,0.0
119.5,59.8,0.0
119.5,69.8,0.0
124.1,34.8,0.0
124.1,44.8,0.0
124.1,54.8,0.0
124.1,64.8,0.0
124.1,74.8,0.0
128.8,0.2,1.008355
128.8,19.8,0.3468208
128.8,39.8,0.0
128.8,49.8,0.0
128.8,59.8,0.0
128.8,69.8,0.0
128.8,69.8,0.0
133.4,44.8,0.0
133.4,54.8,0.0
133.4,64.8,0.0
133.4,74.8,0.0
133.4,84.8,0.0
138.1,9.8,2.738541
138.1,29.8,1.767893
138.1,49.8,0.03544842
138.1,59.8,0.0
138.1,69.8,0.0
138.1,79.8,0.0
138.1,89.8,0.0
142.9,54.8,0.256776
142.9,54.8,0.0
142.9,74.8,0.0
142.9,84.8,0.0
147.6,0.2,5.079365
147.6,19.8,4.392689
147.6,39.8,3.265306
147.6,59.8,0.3988604
147.6,69.8,0.0
147.6,79.8,0.0
147.6,89.8,0.0
152.3,54.8,2.055968
152.3,64.8,0.6064107
152.3,74.8,0.0
152.3,84.8,0.0
157.1,9.8,7.178435
157.1,29.8,6.32151
157.1,49.8,4.245014
157.1,69.8,0.6548975
157.1,79.8,0.0
157.1,89.8,0.0
161.9,74.8,0.7725322
161.9,84.8,0.029274
166.7,0.2,8.189529
166.7,19.8,8.639436
166.7,39.8,6.941973
166.7,59.8,4.394366
166.7,69.8,2.134503
166.7,79.8,0.8857143
166.7,89.8,0.0
171.5,64.8,5.032698
171.5,74.8,3.101212
171.5,84.8,1.318429
176.3,9.8,10.83235
176.3,29.8,8.799294
176.3,49.8,7.5309
176.3,59.8,7.42142
176.3,69.8,4.460966
176.3,79.8,3.217391
176.3,89.8,1.162132
181.1,54.8,8.928571
181.1,64.8,6.748995
181.1,74.8,5.49701
181.1,84.8,3.653356
186.0,0.2,12.99827
186.0,19.8,12.26054
186.0,39.8,11.42527
186.0,49.8,10.39036
186.0,59.8,8.4375
186.0,69.8,8.113533
186.0,79.8,5.699774
186.0,89.8,4.109195
190.8,44.8,11.04227
190.8,54.8,10.77948
190.8,64.8,9.143687
190.8,74.8,8.497291
190.8,84.8,6.655143
195.7,9.8,14.9061
195.7,29.8,13.30262
195.7,39.8,12.22607
195.7,49.8,12.83708
195.7,59.8,10.59908
195.7,69.8,9.44206
195.7,79.8,7.362319
200.5,34.8,14.70673
200.5,44.8,13.8301
200.5,54.8,11.32454
200.5,64.8,11.37413
200.5,74.8,10.06362
205.4,0.2,16.53777
205.4,19.8,15.76296
205.4,29.8,14.74022
205.4,39.8,14.60739
205.4,49.8,14.26931
205.4,59.8,12.20862
205.4,69.8,11.47599
210.3,24.8,16.04076
210.3,34.8,15.19025
210.3,44.8,14.92974
210.3,54.8,13.81216
210.3,64.8,12.59366
215.1,9.8,16.74584
215.1,19.8,15.33194
215.1,29.8,16.42512
215.1,39.8,16.26016
215.1,49.8,14.88318
215.1,59.8,14.72375
220.0,14.8,17.08785
220.0,24.8,16.92771
220.0,34.8,15.73828
220.0,44.8,16.12995
220.0,54.8,15.49255
224.9,0.2,18.26635
224.9,9.8,18.87358
224.9,19.8,18.00905
224.9,29.8,18.0053
224.9,39.8,17.80226
224.9,49.8,16.29715
229.8,4.8,18.63941
229.8,14.8,18.98162
229.8,24.8,18.31654
229.8,34.8,17.72821
229.8,44.8,17.73862
234.7,0.2,20.45173
234.7,9.8,19.98764
234.7,19.8,20.07792
234.7,29.8,18.21706
234.7,39.8,18.15485
101.4,0.2,0.0
101.4,39.8,0.0
105.0,69.8,0.0
108.6,59.8,0.0
114.9,79.8,0.0
118.6,69.8,0.0
125.1,89.8,0.0
128.8,79.8,0.0
136.3,99.8,0.0
139.1,89.8,0.0
146.6,109.8,0.0
149.5,99.8,0.0
157.1,119.8,0.0
160.9,109.8,0.0
164.8,99.8,0.0
167.6,129.8,0.0
171.5,119.8,0.0
175.3,109.8,0.0
178.2,99.8,0.2304811
178.2,139.8,0.0
182.1,129.8,0.0
186.0,119.8,0.0
186.0,159.8,0.0
189.8,109.8,0.6820119
189.8,149.8,0.0
193.7,99.8,4.268118
193.7,139.8,0.0
196.6,89.8,6.031294
196.6,129.8,0.0
196.6,169.8,0.0
200.5,79.8,8.868675
200.5,119.8,0.9404389
200.5,159.8,0.0
204.4,109.8,4.436661
204.4,149.8,0.0
207.3,99.8,7.627365
207.3,139.8,0.0
207.3,179.8,0.0
211.2,89.8,10.26824
211.2,129.8,1.501842
211.2,169.8,0.0
215.1,79.8,11.89251
215.1,119.8,4.578174
215.1,159.8,0.0
219.0,69.8,14.0598
219.0,109.8,8.010336
219.0,149.8,0.0
219.0,189.8,0.0
223.0,59.8,15.73417
223.0,99.8,11.10162
223.0,139.8,2.077405
223.0,179.8,0.0
225.9,49.8,16.7766
225.9,89.8,13.34114
225.9,129.8,5.382844
225.9,169.8,0.0
229.8,79.8,14.56761
229.8,119.8,8.448673
229.8,159.8,0.05711022
229.8,199.8,0.0
233.7,69.8,16.06008
233.7,109.8,12.64957
233.7,149.8,3.285839
233.7,189.8,0.0
236.7,19.8,20.37492
236.7,59.8,16.56721
236.7,99.8,13.73452
236.7,139.8,6.294707
236.7,139.8,0.0
240.6,9.8,19.99385
240.6,49.8,18.20017
240.6,89.8,15.1895
240.6,129.8,9.295528
240.6,169.8,0.2333042
244.5,0.2,20.23588
244.5,39.8,19.74579
244.5,79.8,16.68571
244.5,119.8,13.31822
244.5,159.8,3.037249
244.5,199.8,0.0
248.4,29.8,20.41979
248.4,69.8,17.44792
248.4,109.8,15.16027
248.4,149.8,7.086843
248.4,189.8,0.0
252.4,19.8,21.89239
252.4,59.8,20.3025
252.4,99.8,16.25321
252.4,139.8,10.44432
252.4,179.8,0.2006881
255.3,9.8,21.45296
255.3,49.8,21.15786
255.3,89.8,17.18433
255.3,129.8,13.81787
255.3,169.8,3.49711
259.2,0.2,21.63417
259.2,39.8,21.1365
259.2,79.8,19.07631
259.2,119.8,15.14375
259.2,159.8,6.844647
259.2,199.8,0.0
263.2,29.8,22.274
263.2,69.8,20.47674
263.2,109.8,16.75769
263.2,149.8,10.98648
263.2,189.8,0.6633978
266.1,19.8,22.23292
266.1,59.8,20.81291
266.1,99.8,18.85714
266.1,139.8,13.78613
266.1,179.8,4.186704
270.1,9.8,22.53521
270.1,49.8,21.46628
270.1,89.8,19.56772
270.1,129.8,14.88506
270.1,169.8,7.634687
274.0,0.2,23.05428
274.0,39.8,20.90361
274.0,79.8,20.5772
274.0,119.8,17.11027
274.0,159.8,10.6065
274.0,199.8,1.072153
278.0,29.8,23.2789
278.0,69.8,21.67388
278.0,109.8,18.96403
278.0,149.8,15.09217
278.0,189.8,4.744213
281.9,19.8,24.42519
281.9,59.8,22.05023
281.9,99.8,20.93894
281.9,139.8,14.97418
281.9,179.8,8.818444
281.9,179.8,23.89351
284.9,49.8,22.09945
284.9,89.8,19.77044
284.9,129.8,18.68383
284.9,169.8,12.32759
288.8,0.2,23.49599
288.8,39.8,23.78774
288.8,79.8,21.49986
288.8,119.8,19.99425
288.8,159.8,15.0312
288.8,199.8,4.461716
292.8,29.8,23.9478
292.8,69.8,22.10678
292.8,109.8,20.3053
292.8,149.8,15.51079
292.8,189.8,8.870968
295.7,19.8,25.40928
295.7,59.8,23.31501
295.7,99.8,21.21386
295.7,139.8,18.16599
295.7,179.8,11.6179
299.7,9.8,24.45294
299.7,49.8,23.59855
299.7,89.8,21.72131
299.7,129.8,20.50915
299.7,169.8,15.5223
303.6,0.2,25.07914
303.6,39.8,24.04664
303.6,79.8,23.51565
303.6,119.8,20.64077
303.6,159.8,16.81441
303.6,199.8,9.696092
240.6,209.8,0.0
255.3,209.8,0.0
270.1,209.8,0.0
284.9,209.8,1.146132
299.7,209.8,5.515656
305.6,74.8,22.35879
305.6,194.8,11.59295
307.6,29.8,24.9828
307.6,149.8,18.66353
309.5,104.8,22.13303
311.5,59.8,24.76771
311.5,179.8,15.05065
312.5,14.8,24.80563
312.5,134.8,21.2963
314.5,89.8,24.24506
314.5,209.8,9.640288
316.5,44.8,25.33169
316.5,164.8,18.48813
318.4,0.2,26.5997
318.4,119.8,22.04129
320.4,74.8,24.64371
320.4,194.8,14.80406
322.4,29.8,25.95002
322.4,149.8,20.63213
324.4,104.8,23.80265
325.4,59.8,25.26193
325.4,179.8,17.85452
327.4,14.8,26.62632
327.4,134.8,23.40116
329.3,89.8,26.23484
329.3,209.8,12.7383
331.3,44.8,27.11427
331.3,164.8,19.10569
333.3,0.2,26.84483
333.3,119.8,23.08362
335.3,74.8,25.39821
335.3,194.8,16.99479
337.3,29.8,25.7112
337.3,149.8,20.98981
339.2,104.8,26.60517
341.2,59.8,26.96296
341.2,179.8,19.68527
342.2,14.8,27.76879
342.2,134.8,23.44583
344.2,89.8,26.6905
344.2,89.8,16.38921
346.2,44.8,26.40949
346.2,164.8,20.14113
348.2,0.2,27.94179
348.2,119.8,25.03643
350.1,74.8,24.94765
350.1,194.8,18.65672
352.1,29.8,26.3511
352.1,149.8,24.59064
354.1,104.8,23.85404
355.1,59.8,26.08306
355.1,179.8,22.31405
357.1,14.8,27.88462
357.1,134.8,24.44183
359.1,89.8,27.7827
359.1,209.8,18.73921
361.0,44.8,27.09677
361.0,164.8,22.60662
363.0,0.2,28.36312
363.0,119.8,24.15105
365.0,74.8,26.36608
365.0,194.8,21.38235
367.0,29.8,26.90476
367.0,149.8,23.80117
369.0,104.8,26.24487
371.0,59.8,26.26418
371.0,179.8,22.46761
371.9,14.8,28.26775
371.9,134.8,26.60932

