#: table_doi: 10.17182/hepdata.63216.v1/t101
#: name: Table 101
#: description: Acceptance IN PCT in Fig. 08c.

#: data_file: Table101.yaml
#: keyword reactions: P P --> CHARGINO+ CHARGINO- X | P P --> SLEPTON+ SLEPTON- X | P P --> CHARGINO+ NEUTRALINO X
#: keyword observables: M
#: keyword phrases: Inclusive | Proton-Proton Scattering
#: keyword cmenergies: 8000.0
#: RE,P P --> CHARGINO+ CHARGINO- X
#: SQRT(S) [GeV],8000.0
M(SLEPTON) [GEV],M(NEUTRALINO1) [GEV],Acceptance [PCT]
100.0,19.8,0.0
100.0,29.8,0.0
100.0,29.8,0.0
100.0,49.8,0.0
104.5,14.8,0.0
104.5,24.8,0.0
104.5,34.8,0.0
104.5,44.8,0.0
104.5,54.8,0.0
109.0,0.2,0.0
109.0,19.8,0.0
109.0,29.8,0.0
109.0,39.8,0.0
109.0,49.8,0.0
109.0,59.8,0.0
113.6,24.8,0.0
113.6,34.8,0.0
113.6,44.8,0.0
113.6,54.8,0.0
113.6,64.8,0.0
118.3,9.8,0.0
118.3,29.8,0.0
118.3,39.8,0.0
118.3,49.8,0.0
118.3,59.8,0.0
118.3,69.8,0.0
122.9,34.8,0.0
122.9,44.8,0.0
122.9,54.8,0.0
122.9,64.8,0.0
122.9,74.8,0.0
127.6,0.2,1.082067
127.6,19.8,0.3793233
127.6,39.8,0.0
127.6,49.8,0.0
127.6,59.8,0.0
127.6,69.8,0.0
127.6,69.8,0.0
132.3,44.8,0.0
132.3,54.8,0.0
132.3,64.8,0.0
132.3,74.8,0.0
132.3,84.8,0.0
137.1,9.8,2.665986
137.1,29.8,1.652847
137.1,49.8,0.02550453
137.1,59.8,0.0
137.1,69.8,0.0
137.1,79.8,0.0
137.1,89.8,0.0
141.8,54.8,0.2035543
141.8,54.8,0.0
141.8,74.8,0.0
141.8,84.8,0.0
146.6,0.2,4.89245
146.6,19.8,4.451823
146.6,39.8,3.040713
146.6,59.8,0.3248351
146.6,69.8,0.0
146.6,79.8,0.0
146.6,89.8,0.0
151.4,54.8,1.855788
151.4,64.8,0.5460955
151.4,74.8,0.0
151.4,84.8,0.0
156.2,9.8,7.205482
156.2,29.8,6.301509
156.2,49.8,4.099924
156.2,69.8,0.6418103
156.2,79.8,0.0
156.2,89.8,0.0
161.0,74.8,0.7809669
161.0,84.8,0.0210826
165.8,0.2,8.157415
165.8,19.8,8.752837
165.8,39.8,6.788344
165.8,59.8,4.505195
165.8,69.8,2.231508
165.8,79.8,0.8443722
165.8,89.8,0.0
170.6,64.8,4.95219
170.6,74.8,3.124889
170.6,84.8,1.321368
175.5,9.8,10.90441
175.5,29.8,9.057827
175.5,49.8,7.792219
175.5,59.8,7.217814
175.5,69.8,4.448802
175.5,79.8,3.133358
175.5,89.8,1.335268
180.3,54.8,8.685645
180.3,64.8,6.856917
180.3,74.8,5.496516
180.3,84.8,3.494755
185.2,0.2,13.05912
185.2,19.8,12.00122
185.2,39.8,11.52928
185.2,49.8,9.581297
185.2,59.8,8.440123
185.2,69.8,8.487225
185.2,79.8,5.635675
185.2,89.8,3.831221
190.0,44.8,10.90027
190.0,54.8,10.72873
190.0,64.8,9.003241
190.0,74.8,8.440383
190.0,84.8,6.448557
194.9,9.8,14.54019
194.9,29.8,12.94802
194.9,39.8,12.38515
194.9,49.8,12.76953
194.9,59.8,10.99974
194.9,69.8,9.351713
194.9,79.8,7.599214
199.8,34.8,14.4359
199.8,44.8,13.47262
199.8,54.8,12.10554
199.8,64.8,10.94549
199.8,74.8,10.03469
204.7,0.2,16.13994
204.7,19.8,15.39269
204.7,29.8,14.44595
204.7,39.8,14.55819
204.7,49.8,14.37414
204.7,59.8,12.54155
204.7,69.8,11.82141
209.6,24.8,15.87341
209.6,34.8,15.66059
209.6,44.8,15.25505
209.6,54.8,13.55808
209.6,64.8,12.83347
214.5,9.8,16.84708
214.5,19.8,15.58519
214.5,29.8,16.40075
