#: table_doi: 10.17182/hepdata.63216.v1/t103
#: name: Table 103
#: description: Efficiency IN PCT in Fig. 05.

#: data_file: Table103.yaml
#: keyword reactions: P P --> CHARGINO+ CHARGINO- X | P P --> SLEPTON+ SLEPTON- X | P P --> CHARGINO+ NEUTRALINO X
#: keyword observables: M
#: keyword phrases: Inclusive | Proton-Proton Scattering
#: keyword cmenergies: 8000.0
#: RE,P P --> CHARGINO+ CHARGINO- X
#: SQRT(S) [GeV],8000.0
M(CHARGINO1) [GEV],M(NEUTRALINO1) [GEV],Efficiency [PCT]
112.5,12.5,nan
130.0,30.0,nan
155.0,5.0,108.9795
150.0,50.0,nan
175.0,25.0,62.44098
175.0,75.0,nan
200.0,50.0,68.02243
250.0,0.0,48.12301
225.0,125.0,nan
250.0,100.0,59.91205
300.0,50.0,47.66802
350.0,0.0,49.09573
300.0,200.0,0.0
325.0,175.0,50.0746
375.0,125.0,48.08965
425.0,75.0,45.10302
500.0,0.0,45.60073
425.0,325.0,0.0
450.0,300.0,56.28318
500.0,250.0,46.309
117.5,82.5,nan
142.5,107.5,nan
192.5,157.5,nan
267.5,232.5,nan
392.5,357.5,nan
550.0,200.0,46.59989
625.0,125.0,44.59836
750.0,0.0,42.55201
517.5,482.5,nan
550.0,450.0,0.0
575.0,425.0,49.78918
625.0,375.0,45.53825
675.0,325.0,44.4401
750.0,250.0,43.84437
642.5,607.5,nan
675.0,575.0,38.92243
700.0,550.0,50.46662
750.0,500.0,45.31095
330.0,295.0,nan
112.5,47.5,nan
132.5,67.5,nan
157.5,92.5,nan
207.5,142.5,nan
282.5,217.5,nan
345.0,280.0,nan
407.5,342.5,nan
532.5,467.5,nan
362.5,262.5,nan
387.5,237.5,45.54617
437.5,187.5,48.23379
487.5,137.5,46.22804
562.5,62.5,44.987
625.0,0.0,43.4161
687.5,62.5,43.0923

