#: table_doi: 10.17182/hepdata.63216.v1/t104
#: name: Table 104
#: description: Efficiency IN PCT in Fig. 07a.

#: data_file: Table104.yaml
#: keyword reactions: P P --> CHARGINO+ CHARGINO- X | P P --> SLEPTON+ SLEPTON- X | P P --> CHARGINO+ NEUTRALINO X
#: keyword observables: M
#: keyword phrases: Inclusive | Proton-Proton Scattering
#: keyword cmenergies: 8000.0
#: RE,P P --> CHARGINO+ CHARGINO- X
#: SQRT(S) [GeV],8000.0
"M(CHARGINO1,NEUTRALINO2) [GEV]",M(NEUTRALINO1) [GEV],Efficiency [PCT]
150.0,0.0,77.22093
200.0,0.0,54.33845
200.0,50.0,64.69646
200.0,100.0,29.67544
250.0,0.0,54.454
250.0,50.0,52.16997
250.0,100.0,51.97819
250.0,150.0,86.25073
300.0,0.0,55.8403
300.0,50.0,55.95231
300.0,100.0,54.80087
300.0,150.0,52.2022
300.0,200.0,217.1992
350.0,0.0,51.00079
350.0,50.0,52.1639
350.0,100.0,55.896
350.0,150.0,54.1853
350.0,200.0,52.99897
350.0,250.0,65.28084
400.0,0.0,51.39633
400.0,50.0,51.02161
400.0,100.0,53.69814
400.0,150.0,53.12412
400.0,200.0,56.06953
400.0,250.0,53.6714
400.0,300.0,100.8768
450.0,0.0,51.06779
450.0,50.0,52.77215
450.0,100.0,50.17796
450.0,150.0,50.33284
450.0,200.0,53.65268
450.0,250.0,50.68315
450.0,300.0,57.52545
450.0,350.0,93.01635
500.0,0.0,52.63571
500.0,100.0,52.27735
500.0,200.0,52.80845
500.0,300.0,55.95385
500.0,400.0,73.77551

