#: table_doi: 10.17182/hepdata.63216.v1/t105
#: name: Table 105
#: description: Efficiency IN PCT in Fig. 08a.

#: data_file: Table105.yaml
#: keyword reactions: P P --> CHARGINO+ CHARGINO- X | P P --> SLEPTON+ SLEPTON- X | P P --> CHARGINO+ NEUTRALINO X
#: keyword observables: M
#: keyword phrases: Inclusive | Proton-Proton Scattering
#: keyword cmenergies: 8000.0
#: RE,P P --> CHARGINO+ CHARGINO- X
#: SQRT(S) [GeV],8000.0
M(SLEPTON) [GEV],M(NEUTRALINO1) [GEV],Efficiency [PCT]
100.0,19.8,nan
100.0,29.8,nan
100.0,29.8,nan
100.0,49.8,nan
104.5,14.8,nan
104.5,24.8,nan
104.5,34.8,nan
104.5,44.8,nan
104.5,54.8,nan
109.0,0.2,nan
109.0,19.8,inf
109.0,29.8,nan
109.0,39.8,nan
109.0,49.8,nan
109.0,59.8,nan
113.6,24.8,nan
113.6,34.8,inf
113.6,44.8,nan
113.6,54.8,nan
113.6,64.8,nan
118.3,9.8,nan
118.3,29.8,inf
118.3,39.8,nan
118.3,49.8,nan
118.3,59.8,nan
118.3,69.8,nan
122.9,34.8,inf
122.9,44.8,nan
122.9,54.8,nan
122.9,64.8,nan
122.9,74.8,nan
127.6,0.2,51.76994
127.6,19.8,133.3202
127.6,39.8,inf
127.6,49.8,inf
127.6,59.8,nan
127.6,69.8,nan
127.6,69.8,nan
132.3,44.8,inf
132.3,54.8,inf
132.3,64.8,nan
132.3,74.8,nan
132.3,84.8,nan
137.1,9.8,65.3152
137.1,29.8,79.94983
137.1,49.8,inf
137.1,59.8,nan
137.1,69.8,nan
137.1,79.8,nan
137.1,89.8,nan
141.8,54.8,180.6076
141.8,54.8,inf
141.8,74.8,nan
141.8,84.8,nan
146.6,0.2,42.6614
146.6,19.8,47.80599
146.6,39.8,59.61676
146.6,59.8,59.29348
146.6,69.8,nan
146.6,79.8,nan
146.6,89.8,nan
151.4,54.8,72.66481
151.4,64.8,80.08333
151.4,74.8,inf
151.4,84.8,nan
156.2,9.8,47.04525
156.2,29.8,56.47096
156.2,49.8,49.41669
156.2,69.8,65.2258
156.2,79.8,nan
156.2,89.8,nan
161.0,74.8,89.89343
161.0,84.8,inf
165.8,0.2,48.80412
165.8,19.8,42.07424
165.8,39.8,61.68504
165.8,59.8,62.66705
165.8,69.8,62.04448
165.8,79.8,67.85839
165.8,89.8,inf
170.6,64.8,55.78081
170.6,74.8,65.26192
170.6,84.8,79.27285
175.5,9.8,56.03438
175.5,29.8,57.18785
175.5,49.8,53.82426
175.5,59.8,52.10012
175.5,69.8,36.01364
175.5,79.8,56.37772
175.5,89.8,80.81417
180.3,54.8,53.80385
180.3,64.8,51.03807
180.3,74.8,52.53948
180.3,84.8,51.31477
185.2,0.2,58.3617
185.2,19.8,47.55253
185.2,39.8,51.88861
185.2,49.8,55.24532
185.2,59.8,52.95416
185.2,69.8,47.49968
185.2,79.8,56.4152
185.2,89.8,40.04801
190.0,44.8,57.90819
190.0,54.8,50.81771
190.0,64.8,53.19101
190.0,74.8,55.03808
190.0,84.8,56.03414
194.9,9.8,61.86474
194.9,29.8,63.93472
194.9,39.8,47.81023
194.9,49.8,60.54265
194.9,59.8,55.90531
194.9,69.8,59.60885
194.9,79.8,47.04361
199.8,34.8,55.49002
199.8,44.8,61.34405
199.8,54.8,58.02448
199.8,64.8,54.79924
199.8,74.8,51.36263
204.7,0.2,67.22269
204.7,19.8,57.73585
204.7,29.8,61.67503
204.7,39.8,56.05158
204.7,49.8,46.64749
204.7,59.8,54.98052
204.7,69.8,46.74422
209.6,24.8,48.32183
209.6,34.8,56.86297
209.6,44.8,51.83297
209.6,54.8,42.41737
209.6,64.8,52.43392
214.5,9.8,50.83592
214.5,19.8,51.95436
214.5,29.8,57.83388
214.5,39.8,52.84171
214.5,49.8,57.99841
214.5,59.8,49.54668
219.4,14.8,49.89459
219.4,24.8,49.00037
219.4,34.8,56.90157
219.4,44.8,45.6615
219.4,54.8,64.04764
224.3,0.2,42.03787
224.3,9.8,50.32742
224.3,19.8,55.68852
224.3,29.8,54.01241
224.3,39.8,49.91888
224.3,49.8,57.73576
229.2,4.8,49.16025
229.2,14.8,48.38661
229.2,24.8,57.9804
229.2,34.8,46.19534
229.2,44.8,52.07674
234.1,0.2,52.3059
234.1,9.8,46.14788
234.1,19.8,56.72103
234.1,29.8,52.96326
234.1,39.8,56.9394
100.0,0.2,nan
100.0,39.8,nan
103.6,69.8,nan
107.2,59.8,nan
113.6,79.8,nan
117.4,69.8,nan
123.9,89.8,nan
127.6,79.8,nan
135.2,99.8,nan
138.0,89.8,nan
145.6,109.8,nan
148.5,99.8,nan
156.2,119.8,nan
160.0,109.8,nan
163.9,99.8,nan
166.8,129.8,nan
170.6,119.8,nan
174.5,109.8,nan
177.4,99.8,inf
177.4,139.8,nan
181.3,129.8,nan
185.2,119.8,nan
185.2,159.8,nan
189.1,109.8,205.6707
189.1,149.8,nan
193.0,99.8,57.49758
193.0,139.8,nan
195.9,89.8,54.33157
195.9,129.8,nan
195.9,169.8,nan
199.8,79.8,59.32914
199.8,119.8,42.08708
199.8,159.8,nan
203.7,109.8,43.90206
203.7,149.8,nan
206.6,99.8,55.14924
206.6,139.8,inf
206.6,179.8,nan
210.5,89.8,45.49965
210.5,129.8,60.08966
210.5,169.8,nan
214.5,79.8,50.59864
214.5,119.8,45.54111
214.5,159.8,nan
218.4,69.8,53.62318
218.4,109.8,48.57819
218.4,149.8,nan
218.4,189.8,nan
222.3,59.8,57.02316
222.3,99.8,45.03848
222.3,139.8,42.13614
222.3,179.8,nan
225.2,49.8,49.49833
225.2,89.8,57.48454
225.2,129.8,55.3948
225.2,169.8,nan
229.2,79.8,51.97327
229.2,119.8,60.57338
229.2,159.8,177.9629
229.2,199.8,nan
233.1,69.8,50.10075
233.1,109.8,46.94365
233.1,149.8,56.4622
233.1,189.8,nan
236.0,19.8,52.01356
236.0,59.8,53.70967
236.0,99.8,53.70977
236.0,139.8,51.14303
236.0,139.8,nan
240.0,9.8,58.14634
240.0,49.8,51.0729
240.0,89.8,49.85207
240.0,129.8,40.03895
240.0,169.8,inf
243.9,0.2,53.98217
