#: table_doi: 10.17182/hepdata.63216.v1/t106
#: name: Table 106
#: description: Efficiency IN PCT in Fig. 08b.

#: data_file: Table106.yaml
#: keyword reactions: P P --> CHARGINO+ CHARGINO- X | P P --> SLEPTON+ SLEPTON- X | P P --> CHARGINO+ NEUTRALINO X
#: keyword observables: M
#: keyword phrases: Inclusive | Proton-Proton Scattering
#: keyword cmenergies: 8000.0
#: RE,P P --> CHARGINO+ CHARGINO- X
#: SQRT(S) [GeV],8000.0
M(SLEPTON) [GEV],M(NEUTRALINO1) [GEV],Efficiency [PCT]
101.4,19.8,nan
101.4,29.8,nan
101.4,29.8,nan
101.4,49.8,nan
105.9,14.8,nan
105.9,24.8,nan
105.9,34.8,nan
105.9,44.8,nan
105.9,54.8,nan
110.4,0.2,inf
110.4,19.8,nan
110.4,29.8,nan
110.4,39.8,nan
110.4,49.8,nan
110.4,59.8,nan
114.9,24.8,inf
114.9,34.8,nan
114.9,44.8,nan
114.9,54.8,nan
114.9,64.8,nan
119.5,9.8,inf
119.5,29.8,inf
119.5,39.8,nan
119.5,49.8,nan
119.5,59.8,nan
119.5,69.8,nan
124.1,34.8,inf
124.1,44.8,inf
124.1,54.8,nan
124.1,64.8,nan
124.1,74.8,nan
128.8,0.2,43.89742
128.8,19.8,125.5231
128.8,39.8,inf
128.8,49.8,nan
128.8,59.8,nan
128.8,69.8,nan
128.8,69.8,nan
133.4,44.8,inf
133.4,54.8,inf
133.4,64.8,nan
133.4,74.8,nan
133.4,84.8,nan
138.1,9.8,54.67008
138.1,29.8,63.94125
138.1,49.8,1329.488
138.1,59.8,inf
138.1,69.8,nan
138.1,79.8,nan
138.1,89.8,nan
142.9,54.8,140.2475
142.9,54.8,inf
142.9,74.8,nan
142.9,84.8,nan
147.6,0.2,48.15258
147.6,19.8,64.60652
147.6,39.8,68.1234
147.6,59.8,161.4319
147.6,69.8,inf
147.6,79.8,nan
147.6,89.8,nan
152.3,54.8,60.2158
152.3,64.8,103.9842
152.3,74.8,inf
152.3,84.8,nan
157.1,9.8,47.7632
157.1,29.8,49.14179
157.1,49.8,59.84863
157.1,69.8,117.9228
157.1,79.8,inf
157.1,89.8,nan
161.9,74.8,82.71234
161.9,84.8,370.6858
166.7,0.2,52.13485
166.7,19.8,55.33633
166.7,39.8,60.01432
166.7,59.8,68.68443
166.7,69.8,58.36249
166.7,79.8,79.08862
166.7,89.8,inf
171.5,64.8,51.88689
171.5,74.8,68.34568
171.5,84.8,83.84995
176.3,9.8,57.02143
176.3,29.8,58.1337
176.3,49.8,56.62812
176.3,59.8,51.24136
176.3,69.8,51.25942
176.3,79.8,39.24063
176.3,89.8,62.27142
181.1,54.8,45.31965
181.1,64.8,53.98555
181.1,74.8,52.43583
181.1,84.8,57.0195
186.0,0.2,54.6263
186.0,19.8,58.79713
186.0,39.8,51.96961
186.0,49.8,53.13103
186.0,59.8,51.42063
186.0,69.8,54.02005
186.0,79.8,54.01586
186.0,89.8,60.00411
190.8,44.8,54.44188
190.8,54.8,58.78003
190.8,64.8,62.44815
190.8,74.8,53.33806
190.8,84.8,64.99079
195.7,9.8,54.83473
195.7,29.8,55.64185
