#: table_doi: 10.17182/hepdata.63216.v1/t107
#: name: Table 107
#: description: Efficiency IN PCT in Fig. 08c.

#: data_file: Table107.yaml
#: keyword reactions: P P --> CHARGINO+ CHARGINO- X | P P --> SLEPTON+ SLEPTON- X | P P --> CHARGINO+ NEUTRALINO X
#: keyword observables: M
#: keyword phrases: Inclusive | Proton-Proton Scattering
#: keyword cmenergies: 8000.0
#: RE,P P --> CHARGINO+ CHARGINO- X
#: SQRT(S) [GeV],8000.0
M(SLEPTON) [GEV],M(NEUTRALINO1) [GEV],Efficiency [PCT]
100.0,19.8,nan
100.0,29.8,nan
100.0,29.8,nan
100.0,49.8,nan
104.5,14.8,nan
104.5,24.8,nan
104.5,34.8,nan
104.5,44.8,nan
104.5,54.8,nan
109.0,0.2,inf
109.0,19.8,inf
109.0,29.8,nan
109.0,39.8,nan
109.0,49.8,nan
109.0,59.8,nan
113.6,24.8,inf
113.6,34.8,inf
113.6,44.8,nan
113.6,54.8,nan
113.6,64.8,nan
118.3,9.8,inf
118.3,29.8,inf
118.3,39.8,nan
118.3,49.8,nan
118.3,59.8,nan
118.3,69.8,nan
122.9,34.8,inf
122.9,44.8,inf
122.9,54.8,nan
122.9,64.8,nan
122.9,74.8,nan
127.6,0.2,46.48676
127.6,19.8,128.1863
127.6,39.8,inf
127.6,49.8,inf
127.6,59.8,nan
127.6,69.8,nan
127.6,69.8,nan
132.3,44.8,inf
132.3,54.8,inf
132.3,64.8,nan
132.3,74.8,nan
132.3,84.8,nan
137.1,9.8,57.44779
137.1,29.8,67.63024
137.1,49.8,1339.24
137.1,59.8,inf
137.1,69.8,nan
137.1,79.8,nan
137.1,89.8,nan
141.8,54.8,143.9987
141.8,54.8,inf
141.8,74.8,nan
141.8,84.8,nan
146.6,0.2,46.76382
146.6,19.8,59.73506
146.6,39.8,66.19027
146.6,59.8,149.5416
146.6,69.8,inf
146.6,79.8,nan
146.6,89.8,nan
151.4,54.8,62.74628
151.4,64.8,99.1703
151.4,74.8,inf
151.4,84.8,nan
156.2,9.8,47.56044
156.2,29.8,51.17503
156.2,49.8,57.19668
156.2,69.8,103.9572
156.2,79.8,inf
156.2,89.8,nan
161.0,74.8,84.77759
161.0,84.8,537.9585
165.8,0.2,51.20731
165.8,19.8,51.4821
165.8,39.8,60.45713
165.8,59.8,66.8853
165.8,69.8,59.51329
165.8,79.8,76.32464
165.8,89.8,inf
170.6,64.8,52.9339
170.6,74.8,67.46363
170.6,84.8,82.55838
175.5,9.8,56.73942
175.5,29.8,57.84855
175.5,49.8,55.77276
175.5,59.8,51.46521
175.5,69.8,47.00608
175.5,79.8,43.72483
175.5,89.8,69.20985
180.3,54.8,47.53135
180.3,64.8,53.12453
180.3,74.8,52.46493
180.3,84.8,55.60381
185.2,0.2,55.68504
185.2,19.8,55.82267
185.2,39.8,51.9464
185.2,49.8,53.59467
185.2,59.8,51.85048
185.2,69.8,51.98715
185.2,79.8,54.66822
185.2,89.8,55.45721
190.0,44.8,55.37969
190.0,54.8,56.57824
190.0,64.8,59.96076
190.0,74.8,53.8057
190.0,84.8,62.69014
194.9,9.8,56.68835
194.9,29.8,57.81522
194.9,39.8,49.20011
194.9,49.8,54.24801
194.9,59.8,54.1196
194.9,69.8,53.5962
194.9,79.8,52.15904
199.8,34.8,54.68755
199.8,44.8,53.16539
199.8,54.8,56.7622
199.8,64.8,53.27196
199.8,74.8,50.78727
204.7,0.2,57.11585
204.7,19.8,53.90305
204.7,29.8,54.19349
204.7,39.8,56.20164
204.7,49.8,55.36171
204.7,59.8,52.58721
204.7,69.8,53.46058
209.6,24.8,52.77982
209.6,34.8,53.01956
209.6,44.8,51.06725
209.6,54.8,47.27546
209.6,64.8,47.40864
214.5,9.8,53.10516
214.5,19.8,50.92181
214.5,29.8,54.93073
214.5,39.8,52.78682
214.5,49.8,52.71685
214.5,59.8,52.67818
219.4,14.8,53.45082
219.4,24.8,53.92912
219.4,34.8,52.89559
219.4,44.8,52.2257
219.4,54.8,60.38877
224.3,0.2,48.71171
224.3,9.8,50.14229
224.3,19.8,57.17289
224.3,29.8,51.82206
224.3,39.8,48.97401
224.3,49.8,55.70504
229.2,4.8,53.30268
229.2,14.8,50.37513
229.2,24.8,55.49346
229.2,34.8,49.32665
229.2,44.8,54.02433
234.1,0.2,54.78824
234.1,9.8,53.18437
234.1,19.8,56.54114
234.1,29.8,49.94804
234.1,39.8,50.3743
100.0,0.2,nan
100.0,39.8,nan
103.6,69.8,nan
107.2,59.8,nan
113.6,79.8,nan
117.4,69.8,nan
123.9,89.8,nan
127.6,79.8,nan
135.2,99.8,nan
138.0,89.8,nan
145.6,109.8,nan
148.5,99.8,nan
156.2,119.8,nan
160.0,109.8,nan
163.9,99.8,nan
166.8,129.8,nan
170.6,119.8,nan
174.5,109.8,inf
177.4,99.8,288.8975
177.4,139.8,nan
181.3,129.8,nan
185.2,119.8,nan
185.2,159.8,nan
189.1,109.8,86.79787
189.1,149.8,nan
193.0,99.8,52.62796
193.0,139.8,nan
195.9,89.8,51.77559
195.9,129.8,inf
195.9,169.8,nan
199.8,79.8,58.4041
199.8,119.8,52.82499
199.8,159.8,nan
203.7,109.8,45.37145
203.7,149.8,nan
206.6,99.8,53.84703
206.6,139.8,inf
206.6,179.8,nan
210.5,89.8,51.46782
210.5,129.8,60.3943
210.5,169.8,nan
214.5,79.8,54.82095
214.5,119.8,56.71358
214.5,159.8,nan
218.4,69.8,48.14823
218.4,109.8,56.00579
218.4,149.8,inf
218.4,189.8,nan
222.3,59.8,58.57347
222.3,99.8,49.91567
222.3,139.8,54.48448
222.3,179.8,nan
225.2,49.8,49.13069
225.2,89.8,52.52176
225.2,129.8,55.99992
225.2,169.8,nan
229.2,79.8,50.16923
229.2,119.8,62.04453
229.2,159.8,244.116
229.2,199.8,nan
233.1,69.8,50.95382
233.1,109.8,50.40736
233.1,149.8,57.71181
233.1,189.8,nan
236.0,19.8,52.59864
236.0,59.8,54.07801
236.0,99.8,53.02688
236.0,139.8,56.84564
236.0,139.8,inf
240.0,9.8,56.65525
240.0,49.8,52.4418
240.0,89.8,51.88856
240.0,129.8,47.41973
240.0,169.8,116.7174
243.9,0.2,51.7128
