#: table_doi: 10.17182/hepdata.63216.v1/t108
#: name: Table 108
#: description: Total systematic uncertainty IN PCT on signal yields in Fig. 06a.

#: data_file: Table108.yaml
#: keyword reactions: P P --> CHARGINO+ CHARGINO- X | P P --> SLEPTON+ SLEPTON- X | P P --> CHARGINO+ NEUTRALINO X
#: keyword observables: M
#: keyword phrases: Inclusive | Proton-Proton Scattering
#: keyword cmenergies: 8000.0
#: RE,P P --> CHARGINO+ CHARGINO- X
#: SQRT(S) [GeV],8000.0
M(CHARGINO1) [GEV],M(NEUTRALINO1) [GEV],Numbers give total error [PCT]
100.0,0.0,5.4699
110.0,0.0,4.01147
120.0,0.0,3.41123
100.0,10.0,3.37229
110.0,10.0,3.63765
120.0,10.0,3.81946
180.0,100.0,0.266218
190.0,110.0,0.0407963
200.0,110.0,0.387916
200.0,120.0,0.30305
100.0,20.0,2.73567
110.0,20.0,2.78614
120.0,20.0,3.25027
130.0,20.0,2.46607
110.0,30.0,1.48064
120.0,30.0,2.80272
130.0,30.0,2.33754
120.0,40.0,1.83155
130.0,40.0,1.86385
140.0,40.0,2.76856
150.0,40.0,1.70218
130.0,50.0,1.36318
140.0,50.0,1.352
140.0,60.0,0.575188
150.0,60.0,1.72841
160.0,60.0,1.1996
150.0,70.0,0.632289
160.0,70.0,0.68439
160.0,80.0,0.977751
170.0,80.0,0.824652
170.0,90.0,0.342861
180.0,90.0,0.852019
130.0,0.0,1.37601
140.0,0.0,2.03382
150.0,0.0,1.43799
160.0,0.0,1.26728
130.0,10.0,1.44169
140.0,10.0,1.83639
150.0,10.0,1.34664
160.0,10.0,1.1673
170.0,10.0,1.0797
190.0,100.0,0.24039
200.0,100.0,0.472815
140.0,20.0,1.50476
150.0,20.0,1.35193
160.0,20.0,1.17174
170.0,20.0,1.18266
140.0,30.0,1.47902
150.0,30.0,1.18435
160.0,30.0,1.54388
170.0,30.0,1.23541
160.0,40.0,2.47891
170.0,40.0,1.21397
180.0,40.0,1.84486
150.0,50.0,0.592232
160.0,50.0,0.987901
170.0,50.0,1.44535
180.0,50.0,0.31124
190.0,50.0,0.637819
170.0,60.0,1.29404
180.0,60.0,0.796182
190.0,60.0,0.632629
170.0,70.0,1.08799
180.0,70.0,1.14158
190.0,70.0,0.709642
200.0,70.0,0.686119
180.0,80.0,0.864006
190.0,80.0,0.317247
200.0,80.0,0.679464
190.0,90.0,0.421739
200.0,90.0,0.827723
170.0,0.0,1.04418
180.0,0.0,0.975531
190.0,0.0,0.843822
200.0,0.0,0.889309
180.0,10.0,1.14707
190.0,10.0,0.856813
200.0,10.0,0.822291
180.0,20.0,0.872442
190.0,20.0,0.846809
200.0,20.0,0.832281
180.0,30.0,0.975654
190.0,30.0,0.804928
200.0,30.0,0.825189
190.0,40.0,0.811762
200.0,40.0,0.441636
200.0,50.0,0.518969
200.0,60.0,0.57417

