#: table_doi: 10.17182/hepdata.63216.v1/t109
#: name: Table 109
#: description: Total systematic uncertainty IN PCT on signal yields in Fig. 05.

#: data_file: Table109.yaml
#: keyword reactions: P P --> CHARGINO+ CHARGINO- X | P P --> SLEPTON+ SLEPTON- X | P P --> CHARGINO+ NEUTRALINO X
#: keyword observables: M
#: keyword phrases: Inclusive | Proton-Proton Scattering
#: keyword cmenergies: 8000.0
#: RE,P P --> CHARGINO+ CHARGINO- X
#: SQRT(S) [GeV],8000.0
M(CHARGINO1) [GEV],M(NEUTRALINO1) [GEV],Numbers give total error [PCT]
112.5,12.5,55.29197
117.5,82.5,0.0
130.0,30.0,24.04523
142.5,107.5,0.0
150.0,50.0,57.97697
155.0,5.0,10.06559
175.0,25.0,11.90471
175.0,75.0,22.56333
192.5,157.5,0.0
200.0,50.0,7.348926
225.0,125.0,17.10631
250.0,0.0,10.72509
250.0,100.0,9.640373
267.5,232.5,0.0
300.0,50.0,9.286612
300.0,200.0,11.95111
325.0,175.0,8.787971
350.0,0.0,9.826173
375.0,125.0,10.29424
392.5,357.5,0.0
425.0,75.0,8.47698
425.0,325.0,20.75612
450.0,300.0,8.462994
500.0,0.0,11.29375
500.0,250.0,10.71826
517.5,482.5,0.0
550.0,200.0,8.645331
550.0,450.0,8.782438
575.0,425.0,8.067519
625.0,125.0,8.871284
625.0,375.0,7.951643
642.5,607.5,31.55883
675.0,325.0,12.33369
675.0,575.0,31.55883
700.0,550.0,31.55883
750.0,0.0,23.21918
750.0,250.0,11.50146
750.0,500.0,31.55883
330.0,295.0,0.0
112.5,47.5,0.0
132.5,67.5,0.0
157.5,92.5,0.0
207.5,142.5,0.0
282.5,217.5,0.0
345.0,280.0,0.0
532.5,467.5,0.0
362.5,262.5,10.371
387.5,237.5,11.2347
437.5,187.5,9.263256
487.5,137.5,11.05306
562.5,62.5,10.28148
625.0,0.0,20.34267
687.5,62.5,20.90707

