#: table_doi: 10.17182/hepdata.63216.v1/t11
#: name: Table 11
#: description: SF - ET(miss,rel) in SR-Zjets w/o ET(miss,rel).

#: data_file: Table11.yaml
#: keyword reactions: P P --> CHARGINO+ CHARGINO- X | P P --> SLEPTON+ SLEPTON- X | P P --> CHARGINO+ NEUTRALINO X
#: keyword observables: DN/DET
#: keyword phrases: Inclusive | Single Differential Distribution | Proton-Proton Scattering
#: keyword cmenergies: 8000.0
#: RE,P P --> CHARGINO+ CHARGINO- X,,,
#: SQRT(S) [GeV],8000.0
#: ,data
"ET(miss,rel) [GEV]",Events / 10 GeV,error +,error -
5.0,2895.0,54.81,-53.8
15.0,1129.0,34.61,-33.6
25.0,371.0,20.28,-19.25
35.0,133.0,12.56,-11.52
45.0,31.0,6.63,-5.54
55.0,13.0,4.7,-3.56
65.0,4.0,3.16,-1.91
75.0,1.0,2.3,-0.83
85.0,0.0,0.0,-0.0
95.0,0.0,0.0,-0.0
105.0,0.0,0.0,-0.0
115.0,0.0,0.0,-0.0
125.0,0.0,0.0,-0.0
135.0,0.0,0.0,-0.0
145.0,0.0,0.0,-0.0
155.0,0.0,0.0,-0.0
165.0,0.0,0.0,-0.0
175.0,0.0,0.0,-0.0
185.0,0.0,0.0,-0.0
195.0,1.0,2.3,-0.83

#: RE,P P --> CHARGINO+ CHARGINO- X,,,,,
#: SQRT(S) [GeV],8000.0
#: ,bg
"ET(miss,rel) [GEV]",Events / 10 GeV,stat +,stat -,sys +,sys -
5.0,2923.35,6.2,-6.2,199.97,-281.68
15.0,1102.74,4.01,-4.01,107.33,-153.69
25.0,383.28,2.24,-2.24,57.23,-74.1
35.0,119.12,1.09,-1.09,25.53,-29.59
45.0,37.85,0.99,-0.99,9.62,-9.56
55.0,10.83,0.23,-0.23,2.86,-2.77
65.0,4.98,0.86,-0.86,0.57,-1.19
75.0,1.22,0.11,-0.11,0.82,-0.27
85.0,0.46,0.07,-0.07,0.12,-0.15
95.0,0.25,0.1,-0.1,0.13,-0.11
105.0,0.1,0.04,-0.04,0.06,-0.07
115.0,0.13,0.07,-0.07,0.04,-0.07
125.0,0.03,0.02,-0.02,0.05,-0.01
135.0,0.05,0.05,-0.05,0.03,-0.04
145.0,0.05,0.03,-0.03,0.03,-0.03
155.0,0.01,0.01,-0.01,0.03,-0.01
165.0,0.02,0.02,-0.02,0.98,-0.02
175.0,0.04,0.02,-0.02,0.06,-0.04
185.0,0.08,0.07,-0.07,0.04,-0.07
195.0,0.17,0.05,-0.05,0.09,-0.09

