#: table_doi: 10.17182/hepdata.63216.v1/t110
#: name: Table 110
#: description: Total systematic uncertainty IN PCT on signal yields in Fig. 07a.

#: data_file: Table110.yaml
#: keyword reactions: P P --> CHARGINO+ CHARGINO- X | P P --> SLEPTON+ SLEPTON- X | P P --> CHARGINO+ NEUTRALINO X
#: keyword observables: M
#: keyword phrases: Inclusive | Proton-Proton Scattering
#: keyword cmenergies: 8000.0
#: RE,P P --> CHARGINO+ CHARGINO- X
#: SQRT(S) [GeV],8000.0
"M(CHARGINO1,NEUTRALINO2) [GEV]",M(NEUTRALINO1) [GEV],Numbers give total error [PCT]
200.0,75.0,0.183115
175.0,50.0,0.220511
200.0,50.0,0.335627
250.0,50.0,0.359564
300.0,50.0,0.285938
350.0,50.0,0.134201
400.0,50.0,0.0845374
450.0,50.0,0.0667156
150.0,25.0,0.43177
175.0,25.0,0.773269
200.0,25.0,0.332017
125.0,0.0,0.668271
150.0,0.0,0.334074
175.0,0.0,0.446002
200.0,0.0,0.33544
250.0,0.0,0.671215
300.0,0.0,0.23551
350.0,0.0,0.22454
400.0,0.0,0.124129
450.0,0.0,0.0679606
500.0,0.0,0.0337969
250.0,100.0,0.144931
300.0,100.0,0.255482
350.0,100.0,0.128672
400.0,100.0,0.0891527
450.0,100.0,0.0695834
500.0,100.0,0.0344092
300.0,150.0,0.171398
350.0,150.0,0.154798
400.0,150.0,0.0819203
450.0,150.0,0.0578299
350.0,200.0,0.0621551
400.0,200.0,0.0713638
450.0,200.0,0.0617003
500.0,200.0,0.02244
400.0,250.0,0.0400666
450.0,250.0,0.0295313
450.0,300.0,0.0146986
500.0,300.0,0.0186296

