#: table_doi: 10.17182/hepdata.63216.v1/t111
#: name: Table 111
#: description: Total systematic uncertainty IN PCT on signal yields in Fig. 08a.

#: data_file: Table111.yaml
#: keyword reactions: P P --> CHARGINO+ CHARGINO- X | P P --> SLEPTON+ SLEPTON- X | P P --> CHARGINO+ NEUTRALINO X
#: keyword observables: M
#: keyword phrases: Inclusive | Proton-Proton Scattering
#: keyword cmenergies: 8000.0
#: RE,P P --> CHARGINO+ CHARGINO- X
#: SQRT(S) [GeV],8000.0
M(SLEPTON) [GEV],M(NEUTRALINO1) [GEV],Numbers give total error [PCT]
90.0,20.0,37.52401
90.0,30.0,64.60448
90.0,50.0,0.0
100.0,0.0,10.33683
110.0,10.0,22.09894
110.0,30.0,6.437912
110.0,50.0,50.50275
120.0,0.0,6.872506
120.0,20.0,7.834562
120.0,40.0,16.22822
120.0,60.0,21.45506
130.0,10.0,15.51405
130.0,30.0,9.208777
130.0,50.0,12.47812
130.0,70.0,13.91928
140.0,40.0,10.91493
140.0,60.0,4.572201
140.0,80.0,6.819268
150.0,10.0,5.153502
150.0,30.0,12.79663
150.0,50.0,14.76944
150.0,70.0,18.47258
150.0,90.0,17.92742
160.0,0.0,9.235751
160.0,20.0,14.84618
160.0,40.0,15.82501
160.0,60.0,13.30567
160.0,80.0,13.29982
170.0,10.0,11.51809
170.0,30.0,7.212077
170.0,50.0,11.52727
170.0,70.0,16.02124
170.0,90.0,11.61261
180.0,40.0,11.51562
180.0,60.0,10.26281
180.0,80.0,15.28939
190.0,10.0,5.259999
190.0,30.0,8.152446
190.0,50.0,6.676846
190.0,70.0,9.911934
200.0,0.0,9.560793
200.0,20.0,9.919733
200.0,40.0,14.04487
200.0,60.0,10.61589
210.0,10.0,9.070199
210.0,30.0,11.64167
210.0,50.0,6.242959
220.0,0.0,18.45918
220.0,20.0,9.693306
220.0,40.0,23.66545
230.0,30.0,20.25449
90.0,0.0,13.5153
90.0,40.0,0.0
94.0,70.0,0.0
98.0,60.0,0.0
105.0,80.0,0.0
109.0,70.0,0.0
116.0,90.0,0.0
120.0,80.0,0.0
128.0,100.0,0.0
131.0,90.0,0.0
139.0,110.0,0.0
142.0,100.0,112.3257
150.0,120.0,0.0
154.0,110.0,107.2898
158.0,100.0,24.81451
161.0,130.0,0.0
165.0,120.0,0.0
169.0,110.0,13.30192
172.0,140.0,0.0
176.0,130.0,70.70899
180.0,120.0,8.23313
180.0,160.0,0.0
184.0,110.0,14.22269
184.0,150.0,0.0
188.0,100.0,14.36728
188.0,140.0,72.29807
191.0,90.0,13.04585
191.0,130.0,11.97046
191.0,170.0,0.0
195.0,80.0,10.25248
195.0,120.0,21.686
195.0,160.0,0.0
199.0,110.0,6.679031
199.0,150.0,50.84739
202.0,100.0,7.255753
202.0,140.0,17.40771
202.0,180.0,0.0
206.0,90.0,6.882309
206.0,130.0,11.98965
206.0,170.0,0.0
210.0,80.0,13.02852
210.0,120.0,5.178694
210.0,160.0,69.70012
214.0,70.0,12.44176
214.0,110.0,10.37143
214.0,150.0,8.351418
214.0,190.0,0.0
218.0,60.0,12.95496
218.0,100.0,15.22818
218.0,140.0,15.50309
218.0,180.0,0.0
221.0,50.0,16.85371
221.0,90.0,9.713564
221.0,130.0,14.89092
221.0,170.0,30.94643
225.0,80.0,9.354559
225.0,120.0,18.24736
225.0,160.0,4.583034
225.0,200.0,0.0
229.0,70.0,11.19149
