#: table_doi: 10.17182/hepdata.63216.v1/t112
#: name: Table 112
#: description: Total systematic uncertainty IN PCT on signal yields in Fig. 08b.

#: data_file: Table112.yaml
#: keyword reactions: P P --> CHARGINO+ CHARGINO- X | P P --> SLEPTON+ SLEPTON- X | P P --> CHARGINO+ NEUTRALINO X
#: keyword observables: M
#: keyword phrases: Inclusive | Proton-Proton Scattering
#: keyword cmenergies: 8000.0
#: RE,P P --> CHARGINO+ CHARGINO- X
#: SQRT(S) [GeV],8000.0
M(SLEPTON) [GEV],M(NEUTRALINO1) [GEV],Numbers give total error [PCT]
90.0,20.0,10.72902
90.0,30.0,42.81143
90.0,50.0,32.36905
100.0,0.0,12.48665
110.0,10.0,11.81708
110.0,30.0,16.49821
110.0,50.0,10.58705
120.0,0.0,16.33343
120.0,20.0,15.67699
120.0,40.0,7.001516
120.0,60.0,20.75499
130.0,10.0,13.37055
130.0,30.0,10.27465
130.0,50.0,7.056074
130.0,70.0,6.538757
140.0,40.0,9.81706
140.0,60.0,12.71123
140.0,80.0,16.78639
150.0,10.0,9.065902
150.0,30.0,6.678538
150.0,50.0,8.549637
150.0,70.0,15.90856
150.0,90.0,12.95531
160.0,0.0,8.03394
160.0,20.0,9.984913
160.0,40.0,11.01381
160.0,60.0,10.39144
160.0,80.0,11.06547
170.0,10.0,11.41014
170.0,30.0,8.935666
170.0,50.0,9.052163
170.0,70.0,17.03349
170.0,90.0,15.98609
180.0,40.0,7.399724
180.0,60.0,6.586543
180.0,80.0,11.68599
190.0,10.0,11.20712
190.0,30.0,15.51523
190.0,50.0,11.5646
190.0,70.0,9.555393
200.0,0.0,7.819681
200.0,20.0,12.96953
200.0,40.0,10.88864
200.0,60.0,15.84179
210.0,10.0,9.222522
210.0,30.0,12.68397
210.0,50.0,16.08695
220.0,0.0,11.42571
220.0,20.0,11.88495
220.0,40.0,11.20311
230.0,30.0,18.07266
90.0,0.0,15.27701
90.0,40.0,72.54054
94.0,70.0,0.0
98.0,60.0,0.0
105.0,80.0,0.0
109.0,70.0,0.0
116.0,90.0,0.0
120.0,80.0,290.4079
128.0,100.0,0.0
131.0,90.0,10.00063
139.0,110.0,0.0
142.0,100.0,27.38104
150.0,120.0,0.0
154.0,110.0,35.72311
158.0,100.0,19.84001
161.0,130.0,0.0
165.0,120.0,66.58461
169.0,110.0,13.98591
172.0,140.0,0.0
176.0,130.0,52.27462
180.0,120.0,7.262146
180.0,160.0,0.0
184.0,110.0,15.75451
184.0,150.0,0.0
188.0,100.0,12.14
188.0,140.0,10.65135
191.0,90.0,10.47829
191.0,130.0,9.546994
191.0,170.0,0.0
195.0,80.0,13.58416
195.0,120.0,10.37534
195.0,160.0,0.0
199.0,110.0,12.95521
199.0,150.0,28.856
202.0,100.0,8.521548
202.0,140.0,18.79756
202.0,180.0,0.0
206.0,90.0,14.49632
206.0,130.0,18.97872
206.0,170.0,0.0
210.0,80.0,9.003054
210.0,120.0,14.22607
210.0,160.0,16.60351
214.0,70.0,14.89489
214.0,110.0,11.41956
214.0,150.0,11.48805
214.0,190.0,0.0
218.0,60.0,10.33556
218.0,100.0,14.30657
218.0,140.0,10.34768
218.0,180.0,0.0
221.0,50.0,10.7361
221.0,90.0,9.746434
221.0,130.0,8.85054
221.0,170.0,19.87891
225.0,80.0,9.128814
225.0,120.0,8.598736
225.0,160.0,8.282896
225.0,200.0,0.0
229.0,70.0,15.04174
229.0,110.0,17.93238
229.0,150.0,13.46534
229.0,190.0,0.0
232.0,20.0,7.796792
232.0,60.0,12.29219
232.0,100.0,10.68417
232.0,140.0,8.969294
236.0,180.0,0.0
236.0,10.0,10.84216
236.0,50.0,12.56981
236.0,90.0,11.89336
236.0,130.0,10.37091
236.0,170.0,8.738944
240.0,0.0,14.28262
240.0,40.0,8.785722
240.0,80.0,10.44682
240.0,120.0,12.1135
240.0,160.0,6.836089
240.0,200.0,32.21592
244.0,30.0,15.4104
244.0,70.0,8.655186
244.0,110.0,22.07532
244.0,150.0,10.76993
244.0,190.0,38.50924
248.0,20.0,12.60367
