#: table_doi: 10.17182/hepdata.63216.v1/t113
#: name: Table 113
#: description: Total systematic uncertainty IN PCT on signal yields in Fig. 08c.

#: data_file: Table113.yaml
#: keyword reactions: P P --> CHARGINO+ CHARGINO- X | P P --> SLEPTON+ SLEPTON- X | P P --> CHARGINO+ NEUTRALINO X
#: keyword observables: M
#: keyword phrases: Inclusive | Proton-Proton Scattering
#: keyword cmenergies: 8000.0
#: RE,P P --> CHARGINO+ CHARGINO- X
#: SQRT(S) [GeV],8000.0
M(SLEPTON) [GEV],M(NEUTRALINO1) [GEV],Numbers give total error [PCT]
90.0,20.0,9.014159
90.0,30.0,27.10969
90.0,50.0,32.36905
100.0,0.0,9.684844
110.0,10.0,14.13788
110.0,30.0,10.90812
110.0,50.0,19.78518
120.0,0.0,12.94583
120.0,20.0,12.46473
120.0,40.0,8.90975
120.0,60.0,19.37485
130.0,10.0,13.83629
130.0,30.0,9.223191
130.0,50.0,7.180771
130.0,70.0,6.053144
140.0,40.0,9.626995
140.0,60.0,10.01204
140.0,80.0,11.20814
150.0,10.0,7.927757
150.0,30.0,7.607587
150.0,50.0,8.609097
150.0,70.0,15.96707
150.0,90.0,13.36722
160.0,0.0,7.830265
160.0,20.0,8.164152
160.0,40.0,12.43938
160.0,60.0,11.03226
160.0,80.0,11.59332
170.0,10.0,9.584143
170.0,30.0,8.473506
170.0,50.0,9.738136
170.0,70.0,16.7031
170.0,90.0,14.57756
180.0,40.0,9.028526
180.0,60.0,6.591425
180.0,80.0,11.5711
190.0,10.0,10.93198
190.0,30.0,13.4021
190.0,50.0,9.87163
190.0,70.0,9.123557
200.0,0.0,7.305209
200.0,20.0,14.58777
200.0,40.0,9.770391
200.0,60.0,13.81347
210.0,10.0,8.094955
210.0,30.0,12.31277
210.0,50.0,13.00758
220.0,0.0,13.09618
220.0,20.0,11.24775
220.0,40.0,14.41779
230.0,30.0,18.33827
90.0,0.0,14.18845
90.0,40.0,87.1855
94.0,70.0,0.0
98.0,60.0,0.0
105.0,80.0,0.0
109.0,70.0,0.0
116.0,90.0,0.0
120.0,80.0,290.4079
128.0,100.0,0.0
131.0,90.0,10.00063
139.0,110.0,0.0
142.0,100.0,18.91015
150.0,120.0,0.0
154.0,110.0,36.13424
158.0,100.0,19.31662
161.0,130.0,0.0
165.0,120.0,64.99088
169.0,110.0,12.2157
172.0,140.0,0.0
176.0,130.0,42.94271
180.0,120.0,7.048782
180.0,160.0,0.0
184.0,110.0,14.00482
184.0,150.0,0.0
188.0,100.0,12.64531
188.0,140.0,19.23898
191.0,90.0,11.01601
191.0,130.0,9.590829
191.0,170.0,0.0
195.0,80.0,12.29959
195.0,120.0,13.74983
195.0,160.0,0.0
199.0,110.0,10.50271
199.0,150.0,23.94082
202.0,100.0,8.535099
202.0,140.0,17.91794
202.0,180.0,0.0
206.0,90.0,12.45146
206.0,130.0,16.84142
206.0,170.0,0.0
210.0,80.0,9.971367
210.0,120.0,8.769156
210.0,160.0,19.97452
214.0,70.0,14.12269
214.0,110.0,7.765515
214.0,150.0,10.25859
214.0,190.0,0.0
218.0,60.0,10.11494
218.0,100.0,14.4488
218.0,140.0,11.46183
218.0,180.0,0.0
221.0,50.0,10.85901
221.0,90.0,8.515967
221.0,130.0,10.52422
221.0,170.0,19.14234
225.0,80.0,8.039761
225.0,120.0,9.472062
225.0,160.0,6.729042
225.0,200.0,0.0
229.0,70.0,11.62512
229.0,110.0,15.87554
229.0,150.0,13.64787
229.0,190.0,0.0
232.0,20.0,9.262738
232.0,60.0,11.32713
232.0,100.0,8.631164
232.0,140.0,12.85766
236.0,180.0,0.0
236.0,10.0,11.18563
236.0,50.0,14.04233
236.0,90.0,13.42829
236.0,130.0,12.19234
236.0,170.0,9.95907
240.0,0.0,15.31975
240.0,40.0,12.55483
240.0,80.0,10.1553
240.0,120.0,10.71301
240.0,160.0,6.206422
240.0,200.0,22.89067
244.0,30.0,14.55974
244.0,70.0,10.34733
244.0,110.0,18.77251
244.0,150.0,10.44764
244.0,190.0,27.12568
248.0,20.0,12.15194
248.0,60.0,16.73135
248.0,100.0,12.62616
248.0,140.0,8.560783
248.0,180.0,8.720636
251.0,10.0,11.79662
251.0,50.0,7.761873
251.0,90.0,10.69994
251.0,130.0,8.291915
251.0,170.0,9.26863
255.0,0.0,9.307414
255.0,40.0,12.85861
255.0,80.0,10.17562
255.0,120.0,10.79843
255.0,160.0,12.53884
255.0,200.0,8.473166
259.0,30.0,9.461752
259.0,70.0,13.63743
259.0,110.0,14.31126
259.0,150.0,12.92023
259.0,190.0,13.92824
262.0,20.0,11.4979
262.0,60.0,13.63753
262.0,100.0,15.7873
262.0,140.0,8.708714
262.0,180.0,10.35458
266.0,10.0,12.12705
266.0,50.0,12.59674
266.0,90.0,14.21358
266.0,130.0,9.081998
266.0,170.0,10.15779
270.0,0.0,13.60806
270.0,40.0,11.27951
270.0,80.0,13.28052
270.0,120.0,11.30094
270.0,160.0,10.81245
270.0,200.0,10.7841
274.0,30.0,7.820492
274.0,70.0,10.4051
274.0,110.0,11.41719
274.0,150.0,9.357043
274.0,190.0,9.684877
278.0,20.0,7.41795
278.0,60.0,8.699572
278.0,100.0,13.88123
278.0,140.0,7.573527
278.0,180.0,11.42736
281.0,10.0,0.0
281.0,50.0,15.33992
281.0,90.0,12.11005
281.0,130.0,11.54942
281.0,170.0,7.033093
285.0,0.0,8.29669
285.0,40.0,11.96811
285.0,80.0,12.06282
285.0,120.0,10.50695
285.0,160.0,15.24469
285.0,200.0,19.23283
289.0,30.0,10.98897
289.0,70.0,10.26654
289.0,110.0,11.05818
289.0,150.0,14.98398
289.0,190.0,7.712378
292.0,20.0,9.354559
292.0,60.0,12.5744
292.0,100.0,14.21601
292.0,140.0,13.31246
292.0,180.0,7.76965
296.0,10.0,8.157032
296.0,50.0,14.61161
296.0,90.0,13.94518
296.0,130.0,17.00439
296.0,170.0,8.296714
300.0,0.0,13.74839
300.0,40.0,12.12241
300.0,120.0,10.41882
300.0,160.0,12.73264
236.0,210.0,0.0
251.0,210.0,43.76281
266.0,210.0,21.20064
281.0,210.0,11.39899
296.0,210.0,7.759467
302.0,75.0,9.444077
302.0,195.0,11.18374
304.0,30.0,10.84521
