#: table_doi: 10.17182/hepdata.63216.v1/t115
#: name: Table 115
#: description: Expected 95% CL exclusion contour for chargino neutralino production via WZ (2+3L combination).

#: data_file: Table115.yaml
#: keyword reactions: P P --> CHARGINO+ CHARGINO- X | P P --> SLEPTON+ SLEPTON- X | P P --> CHARGINO+ NEUTRALINO X
#: keyword observables: M
#: keyword phrases: Inclusive | Proton-Proton Scattering
#: keyword cmenergies: 8000.0
#: RE,P P --> CHARGINO+ CHARGINO- X
#: SQRT(S) [GeV],8000.0
"M(CHARGINO1,NEUTRALINO2) [GEV]",M(NEUTRALINO1) [GEV]
355.0,130.9
358.1,129.4
365.0,125.8
373.5,118.1
375.0,114.8
377.9,106.9
382.2,95.6
385.0,88.4
386.3,84.4
388.6,73.1
390.9,61.9
393.3,50.6
394.3,39.4
394.8,28.1
395.0,23.2
395.3,16.9
395.7,5.6
105.0,73.9
114.5,84.4
115.0,85.4
125.0,95.6
125.0,95.6
135.0,98.7
144.0,106.9
145.0,107.7
155.0,116.2
157.8,118.1
165.0,120.6
174.7,129.4
175.0,129.7
185.0,133.8
195.0,139.3
205.0,137.4
213.5,129.4
211.7,118.1
205.0,111.9
198.6,106.9
195.5,95.6
205.0,88.2
215.0,93.4
219.2,95.6
225.0,103.2
226.3,106.9
235.0,116.1
245.0,117.4
255.0,117.3
256.6,118.1
265.0,121.8
275.0,126.0
284.2,129.4
285.0,129.6
295.0,130.9
305.0,132.5
315.0,134.7
325.0,136.9
335.0,138.7
345.0,137.1
355.0,130.9

