#: table_doi: 10.17182/hepdata.63216.v1/t15
#: name: Table 15
#: description: Observed 95% CL limit on signal strength for chargino pair production via WW for mN1 = 0 GeV.

#: data_file: Table15.yaml
#: keyword reactions: P P --> CHARGINO+ CHARGINO- X | P P --> SLEPTON+ SLEPTON- X | P P --> CHARGINO+ NEUTRALINO X
#: keyword observables: M
#: keyword phrases: Inclusive | Proton-Proton Scattering
#: keyword cmenergies: 8000.0
#: RE,P P --> CHARGINO+ CHARGINO- X
#: SQRT(S) [GeV],8000.0
M(CHARGINO1) [GEV],95% CL Limit on SIG/SIG(SUSY)
100.0,0.798546
105.0,0.977774
110.0,0.999895
120.0,0.91583
130.0,0.896269
140.0,0.972519
150.0,0.866862
160.0,0.933377
170.0,0.999231
180.0,0.971213
190.0,1.20231
200.0,1.18638
210.0,1.23293
220.0,1.32077
230.0,1.47977
240.0,1.74104
250.0,1.82567

