#: table_doi: 10.17182/hepdata.63216.v1/t19
#: name: Table 19
#: description: Observed 95% CL exclusion contour for chargino neutralino production via WZ (2+3L combination).

#: data_file: Table19.yaml
#: keyword reactions: P P --> CHARGINO+ CHARGINO- X | P P --> SLEPTON+ SLEPTON- X | P P --> CHARGINO+ NEUTRALINO X
#: keyword observables: M
#: keyword phrases: Inclusive | Proton-Proton Scattering
#: keyword cmenergies: 8000.0
#: RE,P P --> CHARGINO+ CHARGINO- X
#: SQRT(S) [GeV],8000.0
"M(CHARGINO1,NEUTRALINO2) [GEV]",M(NEUTRALINO1) [GEV]
401.2,140.6
405.0,131.7
406.1,129.4
411.3,118.1
415.0,106.9
415.0,106.9
417.6,95.6
420.4,84.4
423.2,73.1
425.0,62.9
425.1,61.9
426.9,50.6
427.3,39.4
427.4,28.1
426.7,16.9
425.7,5.6
105.0,70.1
107.2,73.1
115.0,80.1
119.2,84.4
125.0,88.7
135.0,94.4
137.2,95.6
145.0,98.8
155.0,103.8
165.0,105.2
175.0,105.4
185.0,104.0
194.6,95.6
195.0,95.4
205.0,95.3
205.6,95.6
215.0,103.4
218.9,106.9
225.0,112.8
233.3,118.1
235.0,118.8
245.0,122.9
255.0,127.9
257.7,129.4
265.0,132.7
275.0,137.9
280.0,140.6
285.0,143.2
295.0,148.3
303.2,151.9
305.0,152.7
315.0,155.4
325.0,158.0
335.0,160.6
344.5,163.1
345.0,163.2
348.3,163.1
355.0,162.9
365.0,159.4
375.0,156.2
385.0,153.0
388.7,151.9
395.0,147.6
401.2,140.6

