#: table_doi: 10.17182/hepdata.63216.v1/t2
#: name: Table 2
#: description: ET(miss,rel) in Top CR for SR-MT2 and SR-WWb/c.

#: data_file: Table2.yaml
#: keyword reactions: P P --> CHARGINO+ CHARGINO- X | P P --> SLEPTON+ SLEPTON- X | P P --> CHARGINO+ NEUTRALINO X
#: keyword observables: DN/DET
#: keyword phrases: Inclusive | Single Differential Distribution | Proton-Proton Scattering
#: keyword cmenergies: 8000.0
#: RE,P P --> CHARGINO+ CHARGINO- X,,,
#: SQRT(S) [GeV],8000.0
#: ,data
"ET(miss,rel) [GEV]",Events / 20 GeV,error +,error -
10.0,109.0,11.47,-10.42
30.0,104.0,11.23,-10.18
50.0,107.0,11.38,-10.33
70.0,133.0,12.56,-11.52
90.0,168.0,13.99,-12.95
110.0,112.0,11.61,-10.57
130.0,50.0,8.12,-7.05
150.0,13.0,4.7,-3.56
170.0,4.0,3.16,-1.91
190.0,3.0,2.92,-1.63

#: RE,P P --> CHARGINO+ CHARGINO- X,,,,,
#: SQRT(S) [GeV],8000.0
#: ,bg
"ET(miss,rel) [GEV]",Events / 20 GeV,stat +,stat -,sys +,sys -
10.0,88.85,5.45,-5.45,24.3,-11.46
30.0,101.01,6.01,-6.01,17.01,-13.47
50.0,107.54,6.15,-6.15,24.93,-12.65
70.0,145.41,7.13,-7.13,25.91,-14.96
90.0,154.69,7.12,-7.12,23.69,-16.34
110.0,97.75,6.02,-6.02,20.71,-8.83
130.0,54.01,4.63,-4.63,12.02,-4.85
150.0,21.96,2.64,-2.64,4.19,-3.08
170.0,7.62,1.51,-1.51,3.94,-1.3
190.0,4.14,1.15,-1.15,1.43,-0.44

