#: table_doi: 10.17182/hepdata.63216.v1/t21
#: name: Table 21
#: description: Observed 95% CL exclusion contour for slepton pair production (right-handed).

#: data_file: Table21.yaml
#: keyword reactions: P P --> CHARGINO+ CHARGINO- X | P P --> SLEPTON+ SLEPTON- X | P P --> CHARGINO+ NEUTRALINO X
#: keyword observables: M
#: keyword phrases: Inclusive | Proton-Proton Scattering
#: keyword cmenergies: 8000.0
#: RE,P P --> CHARGINO+ CHARGINO- X
#: SQRT(S) [GeV],8000.0
M(SLEPTON) [GEV],M(NEUTRALINO1) [GEV]
86.5,1.8
86.1,2.6
86.5,4.4
87.6,7.9
92.2,13.1
93.5,14.5
97.0,18.4
99.7,23.6
100.5,24.8
102.5,28.9
106.2,34.1
107.4,35.5
111.3,39.4
114.4,42.9
116.0,44.6
119.5,49.9
121.4,52.7
123.3,55.1
128.4,60.0
129.0,60.4
135.3,64.7
137.3,65.6
142.3,68.6
148.6,70.9
149.3,71.2
156.3,71.9
160.9,70.9
163.2,70.5
170.2,69.4
174.1,70.9
177.2,76.1
177.2,76.2
183.3,81.4
184.2,81.5
191.1,82.4
198.1,83.4
205.1,85.0
210.1,86.6
212.1,87.2
219.0,88.6
226.0,88.2
228.9,86.6
233.0,84.0
236.6,81.4
240.0,76.2
240.0,76.1
240.2,70.9
240.0,67.8
239.8,65.6
239.3,60.4
236.7,55.1
235.0,49.9
235.3,44.6
236.7,39.4
238.3,34.1
240.0,30.6
240.5,28.9
244.4,23.6
246.9,18.4
246.9,18.4
246.9,18.4
246.0,13.1
245.0,7.9
246.0,2.6

