#: table_doi: 10.17182/hepdata.63216.v1/t22
#: name: Table 22
#: description: Expected 95% CL exclusion contour for slepton pair production (right-handed).

#: data_file: Table22.yaml
#: keyword reactions: P P --> CHARGINO+ CHARGINO- X | P P --> SLEPTON+ SLEPTON- X | P P --> CHARGINO+ NEUTRALINO X
#: keyword observables: M
#: keyword phrases: Inclusive | Proton-Proton Scattering
#: keyword cmenergies: 8000.0
#: RE,P P --> CHARGINO+ CHARGINO- X
#: SQRT(S) [GeV],8000.0
M(SLEPTON) [GEV],M(NEUTRALINO1) [GEV]
87.9,2.6
90.0,7.9
93.5,11.2
96.0,13.1
100.5,18.3
100.5,18.4
102.5,23.6
104.8,28.9
107.4,32.8
108.5,34.1
113.5,39.4
114.4,40.5
118.3,44.6
121.4,49.4
121.8,49.9
126.4,55.1
128.4,56.9
133.9,60.4
135.3,61.3
142.3,64.2
148.9,65.6
149.3,65.7
152.9,65.6
156.3,65.5
163.2,63.8
170.2,62.3
177.2,62.3
184.2,64.7
186.7,65.6
191.1,67.6
198.1,67.6
205.0,65.6
205.1,65.6
212.1,63.5
217.8,60.4
217.6,55.1
215.9,49.9
215.0,44.6
215.6,39.4
218.7,34.1
219.0,33.6
222.9,28.9
225.9,23.6
226.0,23.4
228.4,18.4
228.7,13.1
226.0,10.0
224.1,7.9
226.0,5.8
228.7,2.6

