#: table_doi: 10.17182/hepdata.63216.v1/t23
#: name: Table 23
#: description: Observed 95% CL exclusion contour for slepton pair production (left-handed).

#: data_file: Table23.yaml
#: keyword reactions: P P --> CHARGINO+ CHARGINO- X | P P --> SLEPTON+ SLEPTON- X | P P --> CHARGINO+ NEUTRALINO X
#: keyword observables: M
#: keyword phrases: Inclusive | Proton-Proton Scattering
#: keyword cmenergies: 8000.0
#: RE,P P --> CHARGINO+ CHARGINO- X
#: SQRT(S) [GeV],8000.0
M(SLEPTON) [GEV],M(NEUTRALINO1) [GEV]
79.5,13.2
80.1,18.4
82.0,23.6
86.5,28.6
86.9,28.9
93.5,33.3
94.6,34.1
99.4,39.4
100.5,40.9
102.6,44.6
106.3,49.9
107.4,50.9
111.5,55.1
114.4,57.8
117.0,60.4
121.4,64.4
122.7,65.6
128.4,70.8
128.4,70.9
134.2,76.1
135.3,77.1
140.4,81.4
142.3,83.1
146.5,86.6
149.3,89.1
153.1,91.9
156.3,94.3
160.1,97.1
163.2,99.8
166.2,102.4
170.2,106.2
172.0,107.6
177.2,111.5
179.4,112.9
184.2,115.8
188.8,118.1
191.1,119.7
197.5,123.4
198.1,123.8
205.1,127.9
206.6,128.6
212.1,131.3
217.9,133.9
219.0,134.5
226.0,138.4
227.1,139.1
233.0,143.1
235.2,144.4
240.0,146.7
246.9,149.3
247.9,149.6
253.9,151.3
260.9,153.4
266.5,154.9
267.9,155.3
274.8,156.5
281.8,157.2
288.8,157.1
295.8,156.7
299.8,154.9
302.7,153.3
305.5,149.6
305.5,144.4
303.1,139.1
302.7,138.7
299.3,133.9
296.1,128.6
296.4,123.4
296.6,118.1
295.8,116.4
294.3,112.9
292.3,107.6
292.7,102.4
294.4,97.1
295.8,93.5
296.6,91.9
295.8,88.6
295.3,86.6
294.5,81.4
295.1,76.1
294.9,70.9
294.8,65.6
294.1,60.4
295.8,56.8
296.8,55.1
299.9,49.9
301.4,44.6
302.4,39.4
302.7,38.0
303.6,34.1
304.4,28.9
304.4,23.6
304.0,18.4
303.2,13.1
302.7,10.8
302.1,7.9
302.7,5.0
303.2,2.6

