#: table_doi: 10.17182/hepdata.63216.v1/t24
#: name: Table 24
#: description: Expected 95% CL exclusion contour for slepton pair production (left-handed).

#: data_file: Table24.yaml
#: keyword reactions: P P --> CHARGINO+ CHARGINO- X | P P --> SLEPTON+ SLEPTON- X | P P --> CHARGINO+ NEUTRALINO X
#: keyword observables: M
#: keyword phrases: Inclusive | Proton-Proton Scattering
#: keyword cmenergies: 8000.0
#: RE,P P --> CHARGINO+ CHARGINO- X
#: SQRT(S) [GeV],8000.0
M(SLEPTON) [GEV],M(NEUTRALINO1) [GEV]
79.5,10.1
79.8,13.1
80.6,18.4
82.7,23.6
86.5,27.7
88.2,28.9
93.5,32.2
96.0,34.1
100.5,38.9
100.8,39.4
103.8,44.6
107.4,49.6
107.7,49.9
112.7,55.1
114.4,56.6
118.4,60.4
121.4,63.0
124.3,65.6
128.4,69.3
130.2,70.9
135.3,75.4
136.2,76.1
142.3,81.4
142.3,81.4
148.6,86.6
149.3,87.2
155.8,91.9
156.3,92.2
163.2,97.0
163.3,97.1
169.5,102.4
170.2,103.0
175.9,107.6
177.2,108.6
184.2,112.8
184.5,112.9
191.1,115.6
198.1,117.9
198.6,118.1
205.1,121.2
209.7,123.4
212.1,124.6
219.0,127.3
225.5,128.6
226.0,128.7
233.0,130.6
240.0,133.5
240.8,133.9
246.9,136.7
253.9,138.7
260.9,138.7
267.8,133.9
267.9,133.9
274.2,128.6
274.8,128.1
279.9,123.4
281.8,119.0
282.2,118.1
283.2,112.9
284.7,107.6
285.9,102.4
285.6,97.1
285.4,91.9
286.6,86.6
288.8,81.9
289.1,81.4
292.4,76.1
293.7,70.9
294.1,65.6
295.8,61.0
296.0,60.4
300.5,55.1
302.7,51.2
303.3,49.9
304.3,44.6
304.6,39.4
305.2,34.1
305.8,28.9
306.1,23.6
306.2,18.4
305.9,13.1
304.9,7.9
305.9,2.6

