#: table_doi: 10.17182/hepdata.63216.v1/t28
#: name: Table 28
#: description: Observed 95% CL exclusion contour for pMSSM w/ right-handed sleptons, M1=100 GeV.

#: data_file: Table28.yaml
#: keyword reactions: P P --> CHARGINO+ CHARGINO- X | P P --> SLEPTON+ SLEPTON- X | P P --> CHARGINO+ NEUTRALINO X
#: keyword observables: M
#: keyword phrases: Inclusive | Proton-Proton Scattering
#: keyword cmenergies: 8000.0
#: RE,P P --> CHARGINO+ CHARGINO- X
#: SQRT(S) [GeV],8000.0
MU [GEV],M2 [GEV]
337.5,286.3
347.5,287.4
347.8,287.5
357.5,292.2
363.2,297.5
367.5,302.3
371.4,307.5
377.5,315.7
379.3,317.5
387.5,323.2
397.5,326.9
399.3,327.5
407.5,330.1
417.5,333.9
426.3,337.5
427.5,338.1
437.5,342.3
447.5,345.5
457.5,347.4
458.5,347.5
467.5,348.7
477.5,350.0
487.5,350.6
497.5,350.9
507.5,350.9
507.7,347.5
508.1,337.5
508.4,327.5
508.6,317.5
508.8,307.5
508.9,297.5
508.9,287.5
508.9,277.5
508.8,267.5
508.9,257.5
509.3,247.5
510.0,237.5
510.7,227.5
511.4,217.5
512.1,207.5
512.7,197.5
513.2,187.5
513.5,177.5
513.6,167.5
513.1,157.5
511.2,147.5
507.5,140.4
497.5,140.4
487.5,140.2
477.5,140.0
467.5,139.8
457.5,139.6
447.5,139.5
437.5,139.3
427.5,139.2
417.5,139.1
407.5,139.2
397.5,139.5
387.5,140.2
377.5,141.6
367.5,143.3
357.5,144.8
347.5,145.2
337.5,144.7
327.5,143.8
317.5,143.1
307.5,142.7
297.5,142.6
287.5,143.0
277.5,143.7
267.5,144.9
257.5,145.8
247.5,145.9
237.5,144.9
227.5,143.6
217.5,142.3
207.5,140.8
197.5,139.1
192.7,137.5
187.5,130.9
186.3,127.5
187.5,124.0
190.0,117.5
195.1,107.5
195.1,97.5
187.5,95.6
177.5,93.9
167.5,92.6
157.5,91.7
147.5,91.3
137.5,91.1
127.5,91.0
117.5,91.0
107.5,91.0
97.5,91.0
91.0,97.5
91.0,107.5
91.0,117.5
91.0,127.5
91.0,137.5
91.0,147.5
91.0,157.5
91.0,167.5
91.0,177.5
91.0,187.5
91.0,197.5
91.0,207.5
91.0,217.5
91.0,227.5
91.0,237.5
91.0,247.5
91.0,257.5
91.0,267.5
91.0,277.5
91.0,287.5
91.0,297.5
91.0,307.5
91.0,317.5
91.0,327.5
91.0,337.5
91.0,347.5
91.0,357.5
91.0,367.5
91.0,377.5
91.0,387.5
91.0,397.5
91.0,407.5
91.0,417.5
91.0,427.5
91.0,437.5
91.0,447.5
91.0,457.5
91.0,467.5
91.0,477.5
91.0,487.5
91.0,497.5
91.0,507.5
97.5,514.0
107.5,514.0
117.5,514.0
127.5,514.0
137.5,514.0
147.5,514.0
157.5,513.9
167.5,513.7
177.5,513.3
187.5,512.7
197.5,511.8
207.5,510.7
217.5,509.5
227.5,508.4
236.5,507.5
236.5,497.5
237.5,493.6
239.2,487.5
242.4,477.5
245.2,467.5
246.9,457.5
247.1,447.5
245.0,437.5
241.9,427.5
238.8,417.5
237.5,412.6
236.4,407.5
235.7,397.5
236.6,387.5
237.5,381.7
238.3,377.5
240.1,367.5
241.2,357.5
241.2,347.5
239.9,337.5
237.6,327.5
237.5,327.2
234.4,317.5
233.0,307.5
237.5,298.8
238.2,297.5
247.2,287.5
247.5,287.1
257.5,278.1
260.8,277.5
267.5,276.3
274.0,277.5
277.5,278.1
287.5,279.7
297.5,281.1
307.5,282.6
317.5,284.2
327.5,285.5
337.5,286.3

