#: table_doi: 10.17182/hepdata.63216.v1/t3
#: name: Table 3
#: description: ET(miss,rel) in ZV CR for SR-MT2 and SR-WWb/c.

#: data_file: Table3.yaml
#: keyword reactions: P P --> CHARGINO+ CHARGINO- X | P P --> SLEPTON+ SLEPTON- X | P P --> CHARGINO+ NEUTRALINO X
#: keyword observables: DN/DET
#: keyword phrases: Inclusive | Single Differential Distribution | Proton-Proton Scattering
#: keyword cmenergies: 8000.0
#: RE,P P --> CHARGINO+ CHARGINO- X,,,
#: SQRT(S) [GeV],8000.0
#: ,data
"ET(miss,rel) [GEV]",Events / 20 GeV,error +,error -
70.0,1.0,1.42,-0.85
90.0,13.0,3.89,-3.35
110.0,34.0,6.09,-5.55
130.0,19.0,4.64,-4.09
150.0,15.0,4.16,-3.61
170.0,9.0,3.3,-2.75
190.0,5.0,2.56,-2.01
210.0,4.0,2.33,-1.78
230.0,1.0,1.42,-0.85
250.0,0.0,0.0,-0.0
270.0,0.0,0.0,-0.0
290.0,0.0,0.0,-0.0
310.0,1.0,1.42,-0.85
330.0,0.0,0.0,-0.0

#: RE,P P --> CHARGINO+ CHARGINO- X,,,,,
#: SQRT(S) [GeV],8000.0
#: ,bg
"ET(miss,rel) [GEV]",Events / 20 GeV,stat +,stat -,sys +,sys -
70.0,0.77,0.18,-0.18,1.24,-1.24
90.0,10.68,0.8,-0.8,1.82,-1.93
110.0,23.14,0.97,-0.97,2.53,-2.96
130.0,19.63,0.94,-0.94,3.04,-3.13
150.0,14.75,0.82,-0.82,1.28,-1.6
170.0,8.73,0.52,-0.52,1.18,-1.44
190.0,5.46,0.4,-0.4,0.49,-0.85
210.0,3.75,0.32,-0.32,0.36,-0.58
230.0,2.62,0.29,-0.29,0.29,-0.43
250.0,1.79,0.18,-0.18,0.16,-0.3
270.0,1.1,0.16,-0.16,0.11,-0.24
290.0,0.64,0.1,-0.1,0.08,-0.14
310.0,0.53,0.12,-0.12,0.09,-0.14
330.0,0.43,0.1,-0.1,0.08,-0.12

