#: table_doi: 10.17182/hepdata.63216.v1/t31
#: name: Table 31
#: description: Expected 95% CL exclusion contour for pMSSM w/ right-handed sleptons, M1=250 GeV.

#: data_file: Table31.yaml
#: keyword reactions: P P --> CHARGINO+ CHARGINO- X | P P --> SLEPTON+ SLEPTON- X | P P --> CHARGINO+ NEUTRALINO X
#: keyword observables: M
#: keyword phrases: Inclusive | Proton-Proton Scattering
#: keyword cmenergies: 8000.0
#: RE,P P --> CHARGINO+ CHARGINO- X
#: SQRT(S) [GeV],8000.0
MU [GEV],M2 [GEV]
257.5,271.0
260.5,267.5
265.5,257.5
267.5,251.3
268.5,247.5
270.8,237.5
272.6,227.5
274.4,217.5
277.5,208.6
277.9,207.5
283.5,197.5
287.5,189.2
288.3,187.5
289.8,177.5
288.8,167.5
288.8,157.5
291.1,147.5
294.3,137.5
297.5,129.0
298.2,127.5
304.0,117.5
307.5,109.2
308.7,107.5
308.7,97.5
307.5,97.4
297.5,96.1
287.5,94.7
277.5,93.7
267.5,92.9
257.5,92.4
247.5,92.0
237.5,91.7
227.5,91.5
217.5,91.4
207.5,91.3
197.5,91.2
187.5,91.3
177.5,91.3
167.5,91.2
157.5,91.1
147.5,91.0
137.5,91.0
127.5,91.0
117.5,91.0
107.5,91.0
97.5,91.0
91.0,97.5
91.0,107.5
91.0,117.5
91.0,127.5
91.0,137.5
91.0,147.5
91.0,157.5
91.0,167.5
91.0,177.5
91.0,187.5
91.1,197.5
91.2,207.5
91.4,217.5
91.7,227.5
92.1,237.5
92.6,247.5
93.3,257.5
93.9,267.5
94.6,277.5
95.6,287.5
97.1,297.5
97.5,300.5
107.5,300.5
116.9,297.5
117.5,297.3
127.5,288.0
127.9,287.5
135.0,277.5
137.5,274.0
147.5,267.6
154.0,267.5
157.5,267.5
157.6,267.5
167.5,271.0
176.9,277.5
177.5,277.9
187.5,284.9
195.5,287.5
197.5,288.1
207.5,288.3
213.0,287.5
217.5,286.9
227.5,285.0
237.5,282.2
247.5,277.8
248.0,277.5
257.5,271.0

