#: table_doi: 10.17182/hepdata.63216.v1/t33
#: name: Table 33
#: description: Observed 95% CL exclusion contour for pMSSM w/ right-handed sleptons, M1=250 GeV (2+3L combination).

#: data_file: Table33.yaml
#: keyword reactions: P P --> CHARGINO+ CHARGINO- X | P P --> SLEPTON+ SLEPTON- X | P P --> CHARGINO+ NEUTRALINO X
#: keyword observables: M
#: keyword phrases: Inclusive | Proton-Proton Scattering
#: keyword cmenergies: 8000.0
#: RE,P P --> CHARGINO+ CHARGINO- X
#: SQRT(S) [GeV],8000.0
MU [GEV],M2 [GEV]
270.9,285.0
275.0,279.4
277.8,275.0
284.0,265.0
285.0,263.2
289.1,255.0
293.1,245.0
295.0,238.9
296.3,235.0
299.5,225.0
303.2,215.0
305.0,211.0
307.9,205.0
313.1,195.0
315.0,190.8
317.7,185.0
321.9,175.0
325.0,168.8
326.9,165.0
334.0,155.0
335.0,153.9
343.6,145.0
345.0,143.7
355.0,135.7
356.0,135.0
365.0,128.7
370.4,125.0
375.0,120.8
381.2,115.0
385.0,109.9
388.9,105.0
105.0,399.9
110.3,395.0
115.0,390.1
118.7,385.0
125.0,375.6
125.4,375.0
131.3,365.0
135.0,359.2
142.6,355.0
145.0,353.6
149.7,355.0
155.0,356.1
165.0,358.9
175.0,360.5
185.0,361.4
195.0,362.2
205.0,362.3
215.0,360.8
225.0,357.1
228.9,355.0
235.0,349.8
240.7,345.0
245.0,339.2
249.2,335.0
254.3,325.0
255.0,322.7
256.8,315.0
259.6,305.0
264.6,295.0
265.0,294.5
270.9,285.0
470.5,385.0
475.0,379.0
479.4,375.0
485.0,369.5
493.9,365.0
495.0,363.7
495.0,348.4
485.0,346.6
475.0,345.5
465.0,345.7
455.0,346.4
445.0,347.0
435.0,347.4
425.0,347.9
415.0,348.9
405.0,350.1
395.0,350.3
385.0,349.2
375.0,348.1
365.0,347.6
355.0,348.1
345.0,349.4
335.0,351.5
325.0,354.8
324.5,355.0
315.5,365.0
315.9,375.0
320.9,385.0
325.0,389.0
332.2,395.0
335.0,396.2
345.0,398.5
355.0,398.8
365.0,396.5
368.3,395.0
375.0,389.9
381.6,385.0
385.0,381.7
395.0,377.2
405.0,379.4
410.6,385.0
415.0,388.6
420.3,395.0
425.0,399.2
433.3,405.0
435.0,405.7
445.0,407.0
453.2,405.0
455.0,404.3
464.0,395.0
465.0,393.7
470.5,385.0

