#: table_doi: 10.17182/hepdata.63216.v1/t34
#: name: Table 34
#: description: Expected 95% CL exclusion contour for pMSSM w/ right-handed sleptons, M1=250 GeV (2+3L combination).

#: data_file: Table34.yaml
#: keyword reactions: P P --> CHARGINO+ CHARGINO- X | P P --> SLEPTON+ SLEPTON- X | P P --> CHARGINO+ NEUTRALINO X
#: keyword observables: M
#: keyword phrases: Inclusive | Proton-Proton Scattering
#: keyword cmenergies: 8000.0
#: RE,P P --> CHARGINO+ CHARGINO- X
#: SQRT(S) [GeV],8000.0
MU [GEV],M2 [GEV]
415.0,413.3
425.0,412.0
435.0,410.6
445.0,408.7
455.0,405.4
455.6,405.0
465.0,398.2
468.4,395.0
475.0,390.0
483.8,385.0
485.0,384.4
495.0,379.7
495.0,300.7
485.0,298.8
475.0,296.4
469.5,295.0
465.0,294.3
455.0,293.2
445.0,292.4
435.0,291.6
425.0,291.1
415.0,290.7
405.0,290.2
395.0,288.7
385.0,286.4
379.0,285.0
375.0,284.3
365.0,282.5
355.0,280.7
345.0,278.2
335.0,275.0
335.0,275.0
325.0,272.0
315.0,268.6
307.5,265.0
305.0,263.7
295.2,255.0
295.0,254.7
289.8,245.0
287.5,235.0
286.8,225.0
287.5,215.0
290.8,205.0
295.0,196.6
296.0,195.0
300.7,185.0
301.7,175.0
300.5,165.0
300.6,155.0
303.1,145.0
305.0,140.9
308.7,135.0
315.0,127.8
318.3,125.0
325.0,119.0
330.2,115.0
335.0,110.9
341.9,105.0
105.0,443.1
109.9,435.0
115.0,427.9
117.1,425.0
124.1,415.0
125.0,413.7
130.6,405.0
135.0,400.0
143.1,395.0
145.0,394.1
155.0,394.3
156.8,395.0
165.0,399.4
171.6,405.0
175.0,408.7
183.3,415.0
185.0,416.3
195.0,421.1
204.0,425.0
205.0,425.4
215.0,431.5
219.5,435.0
225.0,439.7
230.7,445.0
235.0,450.9
238.1,455.0
241.6,465.0
243.2,475.0
244.3,485.0
245.0,492.0
245.4,495.0
314.7,495.0
315.0,493.9
316.8,485.0
319.3,475.0
323.1,465.0
325.0,462.0
329.0,455.0
335.0,449.6
340.0,445.0
345.0,441.7
355.0,435.6
356.1,435.0
365.0,430.5
375.0,426.1
377.4,425.0
385.0,421.4
395.0,417.5
405.0,415.0
405.3,415.0
415.0,413.3

