#: table_doi: 10.17182/hepdata.63216.v1/t35
#: name: Table 35
#: description: Expected 95% CL exclusion contour for pMSSM w/o sleptons, M1=50 GeV.

#: data_file: Table35.yaml
#: keyword reactions: P P --> CHARGINO+ CHARGINO- X | P P --> SLEPTON+ SLEPTON- X | P P --> CHARGINO+ NEUTRALINO X
#: keyword observables: M
#: keyword phrases: Inclusive | Proton-Proton Scattering
#: keyword cmenergies: 8000.0
#: RE,P P --> CHARGINO+ CHARGINO- X
#: SQRT(S) [GeV],8000.0
MU [GEV],M2 [GEV]
269.6,355.6
276.9,347.3
279.2,344.4
288.1,333.2
288.2,333.1
295.5,321.9
299.4,315.0
301.3,310.6
302.8,299.4
299.4,291.0
295.8,288.1
288.1,285.1
276.9,283.8
265.6,283.9
254.4,286.9
252.6,288.1
243.1,295.9
240.1,299.4
234.1,310.6
231.9,318.9
231.2,321.9
229.8,333.1
229.4,344.4
231.8,355.6
231.9,355.8
242.1,366.9
243.1,367.5
254.4,367.8
255.8,366.9
265.6,359.9
269.6,355.6
269.6,355.6
276.9,347.3
279.2,344.4
288.1,333.2
288.2,333.1
295.5,321.9
299.4,315.0
301.3,310.6
302.8,299.4
299.4,291.0
295.8,288.1
288.1,285.1
276.9,283.8
265.6,283.9
254.4,286.9
252.6,288.1
243.1,295.9
240.1,299.4
234.1,310.6
231.9,318.9
231.2,321.9
229.8,333.1
229.4,344.4
231.8,355.6
231.9,355.8
242.1,366.9
243.1,367.5
254.4,367.8
255.8,366.9
265.6,359.9
269.6,355.6
269.6,355.6
276.9,347.3
279.2,344.4
288.1,333.2
288.2,333.1
295.5,321.9
299.4,315.0
301.3,310.6
302.8,299.4
299.4,291.0
295.8,288.1
288.1,285.1
276.9,283.8
265.6,283.9
254.4,286.9
252.6,288.1
243.1,295.9
240.1,299.4
234.1,310.6
231.9,318.9
231.2,321.9
229.8,333.1
229.4,344.4
231.8,355.6
231.9,355.8
242.1,366.9
243.1,367.5
254.4,367.8
255.8,366.9
265.6,359.9
269.6,355.6
269.6,355.6
276.9,347.3
279.2,344.4
288.1,333.2
288.2,333.1
295.5,321.9
299.4,315.0
301.3,310.6
302.8,299.4
299.4,291.0
295.8,288.1
288.1,285.1
276.9,283.8
265.6,283.9
254.4,286.9
252.6,288.1
243.1,295.9
240.1,299.4
234.1,310.6
231.9,318.9
231.2,321.9
229.8,333.1
229.4,344.4
231.8,355.6
231.9,355.8
242.1,366.9
243.1,367.5
254.4,367.8
255.8,366.9
265.6,359.9
269.6,355.6

