#: table_doi: 10.17182/hepdata.63216.v1/t36
#: name: Table 36
#: description: Observed 95% CL exclusion contour for pMSSM w/o sleptons, M1=50 GeV.

#: data_file: Table36.yaml
#: keyword reactions: P P --> CHARGINO+ CHARGINO- X | P P --> SLEPTON+ SLEPTON- X | P P --> CHARGINO+ NEUTRALINO X
#: keyword observables: M
#: keyword phrases: Inclusive | Proton-Proton Scattering
#: keyword cmenergies: 8000.0
#: RE,P P --> CHARGINO+ CHARGINO- X
#: SQRT(S) [GeV],8000.0
MU [GEV],M2 [GEV]
265.6,352.4
275.7,344.4
276.9,343.5
288.1,333.9
288.8,333.1
299.2,321.9
299.4,321.6
304.6,310.6
307.2,299.4
305.8,288.1
300.6,276.9
299.4,274.8
288.1,270.9
276.9,273.5
267.8,276.9
265.6,277.7
254.4,283.3
248.8,288.1
243.1,295.4
241.2,299.4
237.5,310.6
234.9,321.9
233.9,333.1
235.1,344.4
242.1,355.6
243.1,356.5
254.4,358.5
259.8,355.6
265.6,352.4
265.6,352.4
275.7,344.4
276.9,343.5
288.1,333.9
288.8,333.1
299.2,321.9
299.4,321.6
304.6,310.6
307.2,299.4
305.8,288.1
300.6,276.9
299.4,274.8
288.1,270.9
276.9,273.5
267.8,276.9
265.6,277.7
254.4,283.3
248.8,288.1
243.1,295.4
241.2,299.4
237.5,310.6
234.9,321.9
233.9,333.1
235.1,344.4
242.1,355.6
243.1,356.5
254.4,358.5
259.8,355.6
265.6,352.4

