#: table_doi: 10.17182/hepdata.63216.v1/t37
#: name: Table 37
#: description: Expected 95% CL exclusion contour for pMSSM w/o sleptons, M1=50 GeV (2+3L combination).

#: data_file: Table37.yaml
#: keyword reactions: P P --> CHARGINO+ CHARGINO- X | P P --> SLEPTON+ SLEPTON- X | P P --> CHARGINO+ NEUTRALINO X
#: keyword observables: M
#: keyword phrases: Inclusive | Proton-Proton Scattering
#: keyword cmenergies: 8000.0
#: RE,P P --> CHARGINO+ CHARGINO- X
#: SQRT(S) [GeV],8000.0
MU [GEV],M2 [GEV]
350.3,355.6
355.6,344.4
355.6,344.4
366.9,336.9
372.6,333.1
378.1,328.5
383.1,321.9
389.4,311.1
389.6,310.6
396.9,299.4
400.6,294.7
406.7,288.1
411.9,282.5
417.2,276.9
423.1,270.6
427.9,265.6
434.4,258.8
438.6,254.4
445.6,249.6
456.9,244.3
464.4,243.1
468.1,242.6
479.4,240.9
487.8,231.9
486.9,220.6
485.4,209.4
490.6,206.4
501.9,200.0
505.1,198.1
513.1,196.4
524.4,193.9
535.6,191.2
546.9,188.6
558.1,188.6
558.8,186.9
561.7,175.6
563.4,164.4
564.4,153.1
564.7,141.9
565.0,130.6
565.2,119.4
565.4,108.1
565.4,96.9
558.1,89.6
546.9,89.6
535.6,89.6
524.4,89.6
513.1,89.6
501.9,89.6
490.6,89.6
479.4,89.6
468.1,89.6
456.9,89.6
445.6,89.6
434.4,89.6
423.1,89.6
411.9,89.6
400.6,89.6
389.4,89.6
378.1,89.6
366.9,89.6
355.6,89.6
344.4,89.6
333.1,89.6
321.9,89.6
310.6,89.6
299.4,89.6
288.1,89.6
276.9,89.6
265.6,89.6
254.4,89.6
243.1,89.5
231.9,89.5
220.6,89.5
209.4,89.5
198.1,89.5
186.9,89.5
175.6,89.5
164.4,89.5
153.1,89.5
141.9,89.5
130.6,89.5
119.4,89.5
108.1,89.5
96.9,89.5
89.5,96.9
89.5,108.1
89.5,119.4
89.5,130.6
89.5,141.9
89.5,153.1
89.5,164.4
89.5,175.6
89.5,186.9
89.5,198.1
89.5,209.4
89.5,220.6
89.5,231.9
89.5,243.1
89.7,254.4
89.7,265.6
89.7,276.9
89.7,288.1
89.7,299.4
89.7,310.6
89.7,321.9
89.7,333.1
89.7,344.4
89.7,355.6
89.7,366.9
89.7,378.1
89.7,389.4
89.7,400.6
89.7,411.9
89.7,423.1
89.7,434.4
89.7,445.6
89.7,456.9
89.7,468.1
89.7,479.4
89.7,490.6
89.7,501.9
89.7,513.1
89.7,524.4
89.7,535.6
89.7,546.9
89.7,558.1
96.9,565.3
108.1,565.3
119.4,564.8
130.6,564.1
141.9,563.3
153.1,562.1
164.4,561.8
175.6,561.5
186.9,561.2
198.1,560.8
209.4,560.7
220.6,560.6
231.9,560.5
243.1,560.3
254.4,560.2
265.6,559.6
276.9,559.0
288.1,558.3
290.1,558.1
290.1,546.9
291.1,535.6
290.9,524.4
290.6,513.1
290.6,501.9
295.4,490.6
299.4,481.1
300.6,479.4
309.0,468.1
310.6,466.0
320.3,456.9
321.9,452.8
324.7,445.6
324.4,434.4
322.2,423.1
321.9,422.0
319.0,411.9
321.8,400.6
321.9,400.6
333.1,396.8
343.6,389.4
344.4,386.5
346.0,378.1
348.2,366.9
350.3,355.6

