#: table_doi: 10.17182/hepdata.63216.v1/t38
#: name: Table 38
#: description: Observed 95% CL exclusion contour for pMSSM w/o sleptons, M1=50 GeV (2+3L combination).

#: data_file: Table38.yaml
#: keyword reactions: P P --> CHARGINO+ CHARGINO- X | P P --> SLEPTON+ SLEPTON- X | P P --> CHARGINO+ NEUTRALINO X
#: keyword observables: M
#: keyword phrases: Inclusive | Proton-Proton Scattering
#: keyword cmenergies: 8000.0
#: RE,P P --> CHARGINO+ CHARGINO- X
#: SQRT(S) [GeV],8000.0
MU [GEV],M2 [GEV]
392.1,389.4
400.6,381.5
404.5,378.1
411.9,371.8
417.0,366.9
423.1,359.8
426.5,355.6
433.7,344.4
434.4,343.3
440.3,333.1
445.6,324.1
447.4,321.9
456.0,310.6
456.9,309.6
468.1,302.8
473.7,299.4
479.4,296.6
490.6,291.1
496.7,288.1
501.9,285.6
504.4,276.9
507.7,265.6
510.0,254.4
513.1,246.4
514.3,243.1
516.0,231.9
516.4,220.6
516.6,209.4
524.4,202.4
529.1,198.1
535.6,195.8
546.9,191.8
558.1,191.8
559.8,186.9
562.3,175.6
563.8,164.4
564.7,153.1
564.9,141.9
565.1,130.6
565.3,119.4
565.5,108.1
565.5,96.9
558.1,89.5
546.9,89.5
535.6,89.5
524.4,89.5
513.1,89.5
501.9,89.5
490.6,89.5
479.4,89.5
468.1,89.5
456.9,89.5
445.6,89.5
434.4,89.5
423.1,89.5
411.9,89.5
400.6,89.5
389.4,89.5
378.1,89.5
366.9,89.5
355.6,89.6
344.4,89.6
333.1,89.6
321.9,89.6
310.6,89.6
299.4,89.6
288.1,89.6
276.9,89.6
265.6,89.6
254.4,89.6
243.1,89.5
231.9,89.5
220.6,89.5
209.4,89.5
198.1,89.5
186.9,89.5
175.6,89.5
164.4,89.5
153.1,89.5
141.9,89.5
130.6,89.5
119.4,89.5
108.1,89.5
96.9,89.5
89.5,96.9
89.5,108.1
89.5,119.4
89.5,130.6
89.5,141.9
89.5,153.1
89.5,164.4
89.5,175.6
89.5,186.9
89.5,198.1
89.5,209.4
89.5,220.6
89.5,231.9
89.5,243.1
89.7,254.4
89.6,265.6
89.6,276.9
89.6,288.1
89.6,299.4
89.6,310.6
89.6,321.9
89.6,333.1
89.6,344.4
89.7,355.6
89.7,366.9
89.7,378.1
89.7,389.4
89.7,400.6
89.7,411.9
89.7,423.1
89.7,434.4
89.7,445.6
89.7,456.9
89.7,468.1
89.7,479.4
89.7,490.6
89.7,501.9
89.7,513.1
89.7,524.4
89.7,535.6
89.7,546.9
89.7,558.1
96.9,565.3
108.1,565.3
119.4,564.9
130.6,564.4
141.9,563.8
153.1,563.0
164.4,562.8
175.6,562.6
186.9,562.5
198.1,562.3
209.4,562.2
220.6,562.0
231.9,561.7
243.1,561.5
254.4,561.3
265.6,561.0
276.9,560.6
288.1,560.3
299.4,559.8
310.6,559.2
321.9,558.4
324.9,558.1
324.9,546.9
330.9,535.6
333.1,531.4
336.8,524.4
341.6,513.1
344.2,501.9
344.4,501.8
354.0,490.6
355.6,488.4
360.5,479.4
366.5,468.1
366.9,467.5
372.6,456.9
375.9,445.6
377.4,434.4
378.1,426.0
378.4,423.1
378.2,411.9
380.0,400.6
389.4,391.9
392.1,389.4

