#: table_doi: 10.17182/hepdata.63216.v1/t39
#: name: Table 39
#: description: Observed 95% CL exclusion contour for selectron pair production (right-handed).

#: data_file: Table39.yaml
#: keyword reactions: P P --> CHARGINO+ CHARGINO- X | P P --> SLEPTON+ SLEPTON- X | P P --> CHARGINO+ NEUTRALINO X
#: keyword observables: M
#: keyword phrases: Inclusive | Proton-Proton Scattering
#: keyword cmenergies: 8000.0
#: RE,P P --> CHARGINO+ CHARGINO- X
#: SQRT(S) [GeV],8000.0
M(SLEPTON) [GEV],M(NEUTRALINO1) [GEV]
107.4,1.4
105.6,2.6
105.5,7.9
106.1,13.1
105.9,18.4
106.9,23.6
107.4,24.5
110.4,28.9
114.4,31.7
118.9,34.1
121.4,35.5
126.1,39.4
127.9,44.6
128.2,49.9
128.4,50.3
131.8,55.1
135.3,58.2
139.7,60.4
142.3,61.9
149.3,64.1
156.3,63.4
163.2,60.8
164.5,60.4
170.2,58.1
177.2,57.1
184.2,57.4
191.1,57.1
197.8,55.1
198.1,55.0
202.3,49.9
202.2,44.6
202.6,39.4
205.1,36.7
207.2,34.1
212.1,29.2
212.3,28.9
215.2,23.6
216.2,18.4
212.1,13.6
211.4,13.1
206.0,7.9
211.4,2.6

