#: table_doi: 10.17182/hepdata.63216.v1/t4
#: name: Table 4
#: description: M(jj) in Top CR for SR-Zjets.

#: data_file: Table4.yaml
#: keyword reactions: P P --> CHARGINO+ CHARGINO- X | P P --> SLEPTON+ SLEPTON- X | P P --> CHARGINO+ NEUTRALINO X
#: keyword observables: DN/DM
#: keyword phrases: Inclusive | Single Differential Distribution | Proton-Proton Scattering
#: keyword cmenergies: 8000.0
#: RE,P P --> CHARGINO+ CHARGINO- X,,,
#: SQRT(S) [GeV],8000.0
#: ,data
M(jj) [GEV],Events / 20 GeV,error +,error -
30.0,18.0,4.52,-3.98
50.0,40.0,6.58,-6.04
70.0,48.0,7.18,-6.64
90.0,41.0,6.66,-6.12
110.0,41.0,6.66,-6.12
130.0,30.0,5.74,-5.2
150.0,21.0,4.86,-4.31
170.0,24.0,5.17,-4.63
190.0,80.0,9.18,-8.64

#: RE,P P --> CHARGINO+ CHARGINO- X,,,,,
#: SQRT(S) [GeV],8000.0
#: ,bg
M(jj) [GEV],Events / 20 GeV,stat +,stat -,sys +,sys -
30.0,17.79,4.22,-4.22,5.04,-5.23
50.0,41.57,6.45,-6.45,9.06,-7.59
70.0,38.34,6.19,-6.19,7.91,-6.69
90.0,39.85,6.31,-6.31,7.28,-7.14
110.0,29.54,5.43,-5.43,10.71,-9.28
130.0,31.43,5.61,-5.61,8.39,-7.45
150.0,24.68,4.97,-4.97,5.52,-7.61
170.0,22.71,4.77,-4.77,5.79,-7.26
190.0,88.17,9.39,-9.39,14.58,-16.86

