#: table_doi: 10.17182/hepdata.63216.v1/t40
#: name: Table 40
#: description: Expected 95% CL exclusion contour for selectron pair production (right-handed).

#: data_file: Table40.yaml
#: keyword reactions: P P --> CHARGINO+ CHARGINO- X | P P --> SLEPTON+ SLEPTON- X | P P --> CHARGINO+ NEUTRALINO X
#: keyword observables: M
#: keyword phrases: Inclusive | Proton-Proton Scattering
#: keyword cmenergies: 8000.0
#: RE,P P --> CHARGINO+ CHARGINO- X
#: SQRT(S) [GeV],8000.0
M(SLEPTON) [GEV],M(NEUTRALINO1) [GEV]
121.4,0.3
114.4,2.3
113.8,2.6
113.1,7.9
111.8,13.1
110.5,18.4
111.1,23.6
114.4,28.3
115.1,28.9
121.4,32.0
126.1,34.1
128.4,36.0
132.0,39.4
132.9,44.6
134.1,49.9
135.3,51.8
142.3,53.7
148.6,49.9
149.3,49.5
156.3,47.9
163.2,47.0
170.2,46.5
177.2,48.1
180.9,49.9
184.2,50.6
191.1,50.1
191.4,49.9
191.5,44.6
191.1,42.9
190.0,39.4
191.1,37.7
193.2,34.1
198.1,30.0
199.6,28.9
203.8,23.6
198.1,18.9
196.8,18.4
191.1,16.4
189.0,13.1
189.7,7.9
189.0,2.6

