#: table_doi: 10.17182/hepdata.63216.v1/t41
#: name: Table 41
#: description: Observed 95% CL exclusion contour for selectron pair production (left-handed).

#: data_file: Table41.yaml
#: keyword reactions: P P --> CHARGINO+ CHARGINO- X | P P --> SLEPTON+ SLEPTON- X | P P --> CHARGINO+ NEUTRALINO X
#: keyword observables: M
#: keyword phrases: Inclusive | Proton-Proton Scattering
#: keyword cmenergies: 8000.0
#: RE,P P --> CHARGINO+ CHARGINO- X
#: SQRT(S) [GeV],8000.0
M(SLEPTON) [GEV],M(NEUTRALINO1) [GEV]
83.6,2.6
83.2,7.9
83.3,13.1
84.4,18.4
86.5,21.0
90.0,23.6
93.5,25.3
100.2,28.9
100.5,29.1
105.0,34.1
107.4,37.7
108.3,39.4
111.5,44.6
114.4,49.1
115.0,49.9
118.7,55.1
121.4,57.9
124.0,60.4
128.4,64.3
130.0,65.6
135.3,70.5
135.8,70.9
142.3,75.8
142.8,76.1
149.3,80.6
150.6,81.4
156.3,86.0
157.1,86.6
162.2,91.9
163.2,93.3
166.8,97.1
170.2,101.1
171.8,102.4
177.2,106.3
179.9,107.6
184.2,109.7
191.1,112.3
192.7,112.9
198.1,115.5
202.9,118.1
205.1,119.5
212.1,122.7
216.1,123.4
219.0,123.9
226.0,124.0
230.9,123.4
233.0,122.7
239.8,118.1
240.0,118.0
246.9,116.0
253.9,115.1
259.6,112.9
260.2,107.6
259.4,102.4
258.3,97.1
260.8,91.9
260.9,91.7
263.1,86.6
265.4,81.4
266.9,76.1
267.9,73.0
268.6,70.9
269.3,65.6
270.5,60.4
269.3,55.1
267.9,53.3
265.8,49.9
264.5,44.6
264.7,39.4
265.6,34.1
266.9,28.9
267.9,26.1
269.7,23.6
272.8,18.4
274.2,13.1
273.2,7.9
274.2,2.6

