#: table_doi: 10.17182/hepdata.63216.v1/t42
#: name: Table 42
#: description: Expected 95% CL exclusion contour for selectron pair production (left-handed).

#: data_file: Table42.yaml
#: keyword reactions: P P --> CHARGINO+ CHARGINO- X | P P --> SLEPTON+ SLEPTON- X | P P --> CHARGINO+ NEUTRALINO X
#: keyword observables: M
#: keyword phrases: Inclusive | Proton-Proton Scattering
#: keyword cmenergies: 8000.0
#: RE,P P --> CHARGINO+ CHARGINO- X
#: SQRT(S) [GeV],8000.0
M(SLEPTON) [GEV],M(NEUTRALINO1) [GEV]
84.8,2.6
84.3,7.9
84.4,13.1
85.8,18.4
86.5,19.2
92.8,23.6
93.5,23.9
100.5,27.4
102.3,28.9
106.8,34.1
107.4,35.0
109.6,39.4
112.8,44.6
114.4,46.9
116.6,49.9
120.8,55.1
121.4,55.7
126.6,60.4
128.4,61.9
132.8,65.6
135.3,67.9
138.9,70.9
142.3,73.4
146.5,76.1
149.3,78.0
154.9,81.4
156.3,82.4
162.1,86.6
163.2,87.9
167.2,91.9
170.2,95.5
171.9,97.1
177.2,101.5
178.8,102.4
184.2,104.8
191.1,106.8
195.2,107.6
198.1,108.3
205.1,109.8
212.1,111.4
219.0,109.6
222.5,107.6
226.0,106.4
233.0,105.6
240.0,105.6
246.9,104.7
250.7,102.4
252.6,97.1
252.1,91.9
253.9,88.6
258.2,86.6
260.9,86.1
267.9,84.1
270.3,81.4
274.8,76.4
275.0,76.1
275.9,70.9
274.8,67.6
274.0,65.6
270.3,60.4
267.9,55.6
267.7,55.1
267.8,49.9
267.9,49.7
272.5,44.6
274.8,41.3
276.2,39.4
280.5,34.1
281.8,32.9
285.9,28.9
288.8,25.3
289.6,23.6
291.2,18.4
290.9,13.1
288.8,10.3
285.7,7.9
288.8,5.4
290.9,2.6

