#: table_doi: 10.17182/hepdata.63216.v1/t43
#: name: Table 43
#: description: Observed 95% CL exclusion contour for selectron pair production (right- plus left-handed).

#: data_file: Table43.yaml
#: keyword reactions: P P --> CHARGINO+ CHARGINO- X | P P --> SLEPTON+ SLEPTON- X | P P --> CHARGINO+ NEUTRALINO X
#: keyword observables: M
#: keyword phrases: Inclusive | Proton-Proton Scattering
#: keyword cmenergies: 8000.0
#: RE,P P --> CHARGINO+ CHARGINO- X
#: SQRT(S) [GeV],8000.0
M(SLEPTON) [GEV],M(NEUTRALINO1) [GEV]
81.2,2.6
81.1,7.9
81.3,13.1
82.1,18.4
84.8,23.6
86.5,25.1
92.4,28.9
93.5,29.5
99.9,34.1
100.5,34.6
105.4,39.4
107.4,41.5
110.1,44.6
113.5,49.9
114.4,51.6
116.0,55.1
119.4,60.4
121.4,62.1
124.8,65.6
128.4,68.8
130.7,70.9
135.3,74.9
136.9,76.1
142.3,80.3
144.0,81.4
149.3,85.3
151.3,86.6
156.3,90.9
157.5,91.9
162.4,97.1
163.2,98.3
166.8,102.4
170.2,106.5
171.4,107.6
177.2,112.6
177.5,112.9
184.2,117.6
185.1,118.1
191.1,122.5
192.6,123.4
198.1,126.8
201.3,128.6
205.1,130.5
211.7,133.9
212.1,134.1
219.0,137.1
226.0,138.9
228.8,139.1
233.0,139.7
240.0,141.1
246.9,142.5
253.9,142.6
260.9,142.1
267.9,141.9
274.8,141.5
281.8,139.9
282.6,139.1
284.7,133.9
285.2,128.6
285.6,123.4
287.0,118.1
287.1,112.9
286.6,107.6
284.1,102.4
283.0,97.1
282.3,91.9
283.5,86.6
284.4,81.4
286.2,76.1
285.9,70.9
285.9,65.6
287.7,60.4
288.8,58.8
295.2,55.1
295.8,54.6
299.0,49.9
297.1,44.6
295.8,41.0
295.2,39.4
295.8,37.8
296.7,34.1
298.4,28.9
299.5,23.6
300.6,18.4
301.4,13.1
300.4,7.9
301.4,2.6

