#: table_doi: 10.17182/hepdata.63216.v1/t44
#: name: Table 44
#: description: Expected 95% CL exclusion contour for selectron pair production (right- plus left-handed).

#: data_file: Table44.yaml
#: keyword reactions: P P --> CHARGINO+ CHARGINO- X | P P --> SLEPTON+ SLEPTON- X | P P --> CHARGINO+ NEUTRALINO X
#: keyword observables: M
#: keyword phrases: Inclusive | Proton-Proton Scattering
#: keyword cmenergies: 8000.0
#: RE,P P --> CHARGINO+ CHARGINO- X
#: SQRT(S) [GeV],8000.0
M(SLEPTON) [GEV],M(NEUTRALINO1) [GEV]
82.0,2.6
81.8,7.9
82.0,13.1
82.9,18.4
86.2,23.6
86.5,23.9
93.5,28.0
94.8,28.9
100.5,32.9
101.7,34.1
106.8,39.4
107.4,40.1
111.2,44.6
114.4,49.5
114.7,49.9
117.4,55.1
121.3,60.4
121.4,60.4
126.7,65.6
128.4,67.1
132.6,70.9
135.3,73.3
139.1,76.1
142.3,78.6
146.6,81.4
149.3,83.3
154.3,86.6
156.3,88.3
160.6,91.9
163.2,94.8
165.6,97.1
169.9,102.4
170.2,102.7
175.5,107.6
177.2,109.1
182.9,112.9
184.2,113.8
191.1,117.6
192.3,118.1
198.1,121.3
202.2,123.4
205.1,124.8
212.1,127.6
216.4,128.6
219.0,129.3
226.0,129.1
231.3,128.6
233.0,128.4
235.2,128.6
240.0,129.0
246.9,131.1
253.9,132.6
260.9,131.9
267.9,130.4
272.6,128.6
274.8,127.6
279.8,123.4
281.8,120.8
283.9,118.1
288.5,112.9
288.8,112.5
292.0,107.6
291.6,102.4
290.4,97.1
290.2,91.9
292.1,86.6
295.8,81.7
296.1,81.4
301.4,76.1
302.7,74.2
304.7,70.9
306.9,65.6
309.4,60.4
309.7,59.7
311.1,55.1
312.2,49.9
311.5,44.6
309.7,39.4
309.7,39.4
308.6,34.1
308.7,28.9
309.6,23.6
309.7,23.2
311.4,18.4
311.8,13.1
310.2,7.9
311.8,2.6

