#: table_doi: 10.17182/hepdata.63216.v1/t45
#: name: Table 45
#: description: Observed 95% CL exclusion contour for smuon pair production (right-handed).

#: data_file: Table45.yaml
#: keyword reactions: P P --> CHARGINO+ CHARGINO- X | P P --> SLEPTON+ SLEPTON- X | P P --> CHARGINO+ NEUTRALINO X
#: keyword observables: M
#: keyword phrases: Inclusive | Proton-Proton Scattering
#: keyword cmenergies: 8000.0
#: RE,P P --> CHARGINO+ CHARGINO- X
#: SQRT(S) [GeV],8000.0
M(SLEPTON) [GEV],M(NEUTRALINO1) [GEV]
90.5,2.6
93.5,6.8
94.6,7.9
100.5,11.4
102.9,13.1
106.7,18.4
107.4,20.4
108.8,23.6
110.8,28.9
113.2,34.1
114.4,35.9
117.8,39.4
121.4,42.0
128.4,44.2
131.2,44.6
135.3,45.4
142.3,47.2
149.3,49.6
150.4,49.9
156.3,52.1
160.8,55.1
163.2,55.9
170.2,56.3
177.2,55.4
184.2,57.2
187.9,60.4
191.1,63.1
197.7,65.6
198.1,65.7
198.9,65.6
205.1,64.5
212.1,61.4
213.0,60.4
213.7,55.1
212.4,49.9
212.1,49.3
209.6,44.6
208.4,39.4
208.3,34.1
205.8,28.9
205.1,28.1
202.9,23.6
205.1,18.4
205.1,18.4
210.6,13.1
211.9,7.9
210.6,2.6

