#: table_doi: 10.17182/hepdata.63216.v1/t46
#: name: Table 46
#: description: Expected 95% CL exclusion contour for smuon pair production (right-handed).

#: data_file: Table46.yaml
#: keyword reactions: P P --> CHARGINO+ CHARGINO- X | P P --> SLEPTON+ SLEPTON- X | P P --> CHARGINO+ NEUTRALINO X
#: keyword observables: M
#: keyword phrases: Inclusive | Proton-Proton Scattering
#: keyword cmenergies: 8000.0
#: RE,P P --> CHARGINO+ CHARGINO- X
#: SQRT(S) [GeV],8000.0
M(SLEPTON) [GEV],M(NEUTRALINO1) [GEV]
93.5,1.1
92.3,2.6
93.5,4.2
97.8,7.9
100.5,9.4
105.8,13.1
107.4,15.5
109.4,18.4
111.3,23.6
113.2,28.9
114.4,31.5
116.1,34.1
121.2,39.4
121.4,39.5
128.4,41.4
135.3,41.7
142.3,41.1
145.8,39.4
148.8,34.1
149.3,33.1
151.7,28.9
153.8,23.6
154.8,18.4
154.9,13.1
156.3,7.9
156.3,7.9
156.3,7.8
154.9,2.6

