#: table_doi: 10.17182/hepdata.63216.v1/t47
#: name: Table 47
#: description: Observed 95% CL exclusion contour for smuon pair production (left-handed).

#: data_file: Table47.yaml
#: keyword reactions: P P --> CHARGINO+ CHARGINO- X | P P --> SLEPTON+ SLEPTON- X | P P --> CHARGINO+ NEUTRALINO X
#: keyword observables: M
#: keyword phrases: Inclusive | Proton-Proton Scattering
#: keyword cmenergies: 8000.0
#: RE,P P --> CHARGINO+ CHARGINO- X
#: SQRT(S) [GeV],8000.0
M(SLEPTON) [GEV],M(NEUTRALINO1) [GEV]
79.8,2.6
80.3,7.9
81.1,13.1
82.3,18.4
84.8,23.6
86.5,25.7
90.6,28.9
93.5,30.9
97.3,34.1
100.5,37.7
101.5,39.4
104.4,44.6
107.4,48.9
108.1,49.9
113.6,55.1
114.4,55.8
120.3,60.4
121.4,61.3
127.1,65.6
128.4,66.6
133.5,70.9
135.3,72.7
139.3,76.1
142.3,79.2
145.1,81.4
149.3,85.1
151.7,86.6
156.3,89.2
162.1,91.9
163.2,92.4
170.2,95.8
172.6,97.1
177.2,100.6
179.7,102.4
184.2,106.0
188.1,107.6
191.1,108.5
198.1,109.6
205.1,112.2
206.2,112.9
212.1,117.2
213.3,118.1
219.0,122.5
220.5,123.4
226.0,127.1
229.8,128.6
233.0,130.7
240.0,133.5
241.0,133.9
246.9,136.3
253.9,138.8
260.9,137.6
263.0,133.9
266.3,128.6
267.9,126.7
270.8,123.4
270.9,118.1
267.9,113.7
267.3,112.9
263.5,107.6
263.8,102.4
265.6,97.1
267.2,91.9
267.6,86.6
267.9,85.7
269.4,81.4
271.6,76.1
273.1,70.9
273.0,65.6
271.7,60.4
269.5,55.1
268.6,49.9
270.6,44.6
274.5,39.4
274.8,38.8
279.2,34.1
280.0,28.9
279.3,23.6
277.9,18.4
277.0,13.1
275.4,7.9
277.0,2.6

