#: table_doi: 10.17182/hepdata.63216.v1/t48
#: name: Table 48
#: description: Expected 95% CL exclusion contour for smuon pair production (left-handed).

#: data_file: Table48.yaml
#: keyword reactions: P P --> CHARGINO+ CHARGINO- X | P P --> SLEPTON+ SLEPTON- X | P P --> CHARGINO+ NEUTRALINO X
#: keyword observables: M
#: keyword phrases: Inclusive | Proton-Proton Scattering
#: keyword cmenergies: 8000.0
#: RE,P P --> CHARGINO+ CHARGINO- X
#: SQRT(S) [GeV],8000.0
M(SLEPTON) [GEV],M(NEUTRALINO1) [GEV]
80.0,2.6
80.5,7.9
81.4,13.1
82.8,18.4
85.6,23.6
86.5,24.6
92.2,28.9
93.5,29.7
98.7,34.1
100.5,36.1
102.6,39.4
105.5,44.6
107.4,47.3
109.4,49.9
114.4,54.6
115.0,55.1
121.4,60.2
121.7,60.4
128.4,65.5
128.6,65.6
135.0,70.9
135.3,71.2
141.0,76.1
142.3,77.5
147.3,81.4
149.3,83.1
154.9,86.6
156.3,87.4
163.2,90.2
167.2,91.9
170.2,93.3
177.2,96.9
177.7,97.1
184.2,101.6
186.0,102.4
191.1,104.4
198.1,104.8
205.1,105.6
210.8,107.6
212.1,108.1
219.0,111.0
224.2,112.9
226.0,113.5
229.7,112.9
233.0,111.0
234.3,107.6
236.0,102.4
239.4,97.1
240.0,96.5
243.9,91.9
246.9,87.8
247.8,86.6
250.5,81.4
251.2,76.1
252.2,70.9
253.9,69.1
256.6,65.6
259.6,60.4
259.7,55.1
258.6,49.9
256.7,44.6
255.7,39.4
257.0,34.1
258.8,28.9
258.8,23.6
259.5,18.4
260.5,13.1
258.8,7.9
260.5,2.6

