#: table_doi: 10.17182/hepdata.63216.v1/t49
#: name: Table 49
#: description: Observed 95% CL exclusion contour for smuon pair production (right- plus left-handed).

#: data_file: Table49.yaml
#: keyword reactions: P P --> CHARGINO+ CHARGINO- X | P P --> SLEPTON+ SLEPTON- X | P P --> CHARGINO+ NEUTRALINO X
#: keyword observables: M
#: keyword phrases: Inclusive | Proton-Proton Scattering
#: keyword cmenergies: 8000.0
#: RE,P P --> CHARGINO+ CHARGINO- X
#: SQRT(S) [GeV],8000.0
M(SLEPTON) [GEV],M(NEUTRALINO1) [GEV]
79.5,6.5
79.7,7.9
80.4,13.1
81.2,18.4
82.7,23.6
86.5,28.9
86.5,28.9
93.5,34.1
93.5,34.1
98.1,39.4
100.5,42.9
101.4,44.6
104.5,49.9
107.4,53.0
109.4,55.1
114.4,59.6
115.3,60.4
121.4,65.6
121.4,65.6
127.4,70.9
128.4,71.7
133.1,76.1
135.3,78.1
139.0,81.4
142.3,84.3
145.3,86.6
149.3,89.8
152.7,91.9
156.3,94.2
161.3,97.1
163.2,98.5
168.8,102.4
170.2,103.5
175.4,107.6
177.2,109.0
182.7,112.9
184.2,113.8
191.1,116.4
198.1,117.9
198.8,118.1
205.1,121.4
207.5,123.4
212.1,127.0
214.0,128.6
219.0,132.4
221.1,133.9
226.0,137.6
228.4,139.1
233.0,141.8
239.2,144.4
240.0,144.7
246.9,147.8
250.0,149.6
253.9,152.3
260.9,154.7
267.9,153.7
274.8,151.7
281.8,150.8
288.8,149.6
288.8,149.6
293.7,144.4
295.8,142.1
297.3,139.1
297.2,133.9
295.8,131.2
294.5,128.6
293.0,123.4
292.2,118.1
291.6,112.9
291.2,107.6
290.8,102.4
290.9,97.1
289.8,91.9
289.6,86.6
291.9,81.4
294.4,76.1
295.7,70.9
295.5,65.6
295.2,60.4
295.8,56.0
295.9,55.1
299.3,49.9
302.7,45.4
303.3,44.6
306.1,39.4
307.8,34.1
307.9,28.9
306.0,23.6
302.7,18.4
302.7,18.4
299.6,13.1
297.5,7.9
299.6,2.6

