#: table_doi: 10.17182/hepdata.63216.v1/t5
#: name: Table 5
#: description: SF - M(ll) in SR-WWa w/o M(ll) and ET(miss,rel).

#: data_file: Table5.yaml
#: keyword reactions: P P --> CHARGINO+ CHARGINO- X | P P --> SLEPTON+ SLEPTON- X | P P --> CHARGINO+ NEUTRALINO X
#: keyword observables: DN/DM
#: keyword phrases: Inclusive | Single Differential Distribution | Proton-Proton Scattering
#: keyword cmenergies: 8000.0
#: RE,P P --> CHARGINO+ CHARGINO- X,,,
#: SQRT(S) [GeV],8000.0
#: ,data
M(ll) [GEV],Events / 10 GeV,error +,error -
25.0,8.0,3.94,-2.76
35.0,9.0,4.1,-2.94
45.0,5.0,3.37,-2.15
55.0,10.0,4.26,-3.1
65.0,7.0,3.76,-2.58
75.0,13.0,4.69,-3.55
85.0,67.0,9.22,-8.16
95.0,109.0,11.47,-10.42
105.0,12.0,4.55,-3.41
115.0,8.0,3.94,-2.76
125.0,13.0,4.69,-3.55
135.0,64.0,9.04,-7.98

#: RE,P P --> CHARGINO+ CHARGINO- X,,,,,
#: SQRT(S) [GeV],8000.0
#: ,bg
M(ll) [GEV],Events / 10 GeV,stat +,stat -,sys +,sys -
25.0,6.75,0.83,-0.83,0.46,-0.58
35.0,8.02,0.89,-0.89,0.52,-0.53
45.0,7.65,0.59,-0.59,0.48,-0.54
55.0,8.15,1.17,-1.17,0.56,-0.63
65.0,11.92,1.25,-1.25,0.73,-0.76
75.0,11.65,1.15,-1.15,0.91,-1.11
85.0,70.44,2.01,-2.01,8.42,-8.82
95.0,114.85,5.95,-5.95,14.33,-14.74
105.0,17.53,1.34,-1.34,1.34,-1.62
115.0,9.38,0.92,-0.92,0.65,-0.7
125.0,11.92,1.51,-1.51,0.66,-0.7
135.0,65.99,1.03,-1.03,3.47,-4.13

