#: table_doi: 10.17182/hepdata.63216.v1/t50
#: name: Table 50
#: description: Expected 95% CL exclusion contour for smuon pair production (right- plus left-handed).

#: data_file: Table50.yaml
#: keyword reactions: P P --> CHARGINO+ CHARGINO- X | P P --> SLEPTON+ SLEPTON- X | P P --> CHARGINO+ NEUTRALINO X
#: keyword observables: M
#: keyword phrases: Inclusive | Proton-Proton Scattering
#: keyword cmenergies: 8000.0
#: RE,P P --> CHARGINO+ CHARGINO- X
#: SQRT(S) [GeV],8000.0
M(SLEPTON) [GEV],M(NEUTRALINO1) [GEV]
79.5,5.7
79.8,7.9
80.6,13.1
81.5,18.4
83.3,23.6
86.5,27.9
87.5,28.9
93.5,33.1
94.5,34.1
99.2,39.4
100.5,41.3
102.3,44.6
105.4,49.9
107.4,52.0
110.4,55.1
114.4,58.7
116.3,60.4
121.4,64.7
122.6,65.6
128.4,70.6
128.8,70.9
134.4,76.1
135.3,76.9
140.3,81.4
142.3,83.1
146.8,86.6
149.3,88.6
154.7,91.9
156.3,92.9
163.2,97.0
163.5,97.1
170.2,101.7
171.4,102.4
177.2,107.0
178.1,107.6
184.2,111.7
187.7,112.9
191.1,114.0
198.1,114.7
205.1,116.6
208.4,118.1
212.1,120.4
216.7,123.4
219.0,124.8
226.0,127.3
233.0,128.3
235.3,128.6
240.0,129.7
246.9,133.1
248.7,133.9
253.9,136.3
260.9,134.3
261.2,133.9
264.6,128.6
267.9,124.1
268.4,123.4
270.5,118.1
270.2,112.9
267.9,107.7
267.8,107.6
265.9,102.4
266.7,97.1
267.9,95.3
270.3,91.9
274.8,87.1
275.2,86.6
279.3,81.4
281.8,76.7
282.1,76.1
284.2,70.9
285.4,65.6
285.2,60.4
284.0,55.1
284.2,49.9
288.8,46.5
290.9,44.6
295.5,39.4
295.8,38.0
296.5,34.1
295.8,30.2
295.5,28.9
292.9,23.6
290.4,18.4
288.8,14.0
288.5,13.1
287.4,7.9
288.5,2.6

