#: table_doi: 10.17182/hepdata.63216.v1/t53
#: name: Table 53
#: description: Signal regions contributing to Fig. 06a.

#: data_file: Table53.yaml
#: keyword reactions: P P --> CHARGINO+ CHARGINO- X | P P --> SLEPTON+ SLEPTON- X | P P --> CHARGINO+ NEUTRALINO X
#: keyword observables: M
#: keyword phrases: Inclusive | Proton-Proton Scattering
#: keyword cmenergies: 8000.0
#: RE,P P --> CHARGINO+ CHARGINO- X
#: SQRT(S) [GeV],8000.0
M(CHARGINO1) [GEV],M(NEUTRALINO1) [GEV],Signal regions contributing to the exclusion limit 0 = SR-WWa 1 = SR-WWb 2 = SR-WWc
100.0,0.0,0.0
110.0,0.0,0.0
120.0,0.0,0.0
100.0,10.0,0.0
110.0,10.0,0.0
120.0,10.0,0.0
180.0,100.0,0.0
190.0,110.0,0.0
200.0,110.0,0.0
200.0,120.0,0.0
100.0,20.0,0.0
110.0,20.0,0.0
120.0,20.0,0.0
130.0,20.0,0.0
110.0,30.0,0.0
120.0,30.0,0.0
130.0,30.0,0.0
120.0,40.0,0.0
130.0,40.0,0.0
140.0,40.0,0.0
150.0,40.0,0.0
130.0,50.0,0.0
140.0,50.0,0.0
140.0,60.0,0.0
150.0,60.0,0.0
160.0,60.0,0.0
150.0,70.0,0.0
160.0,70.0,0.0
160.0,80.0,0.0
170.0,80.0,0.0
170.0,90.0,0.0
180.0,90.0,0.0
130.0,0.0,1.0
140.0,0.0,1.0
150.0,0.0,1.0
160.0,0.0,1.0
130.0,10.0,1.0
140.0,10.0,1.0
150.0,10.0,1.0
160.0,10.0,1.0
170.0,10.0,1.0
190.0,100.0,1.0
200.0,100.0,1.0
140.0,20.0,1.0
150.0,20.0,1.0
160.0,20.0,1.0
170.0,20.0,1.0
140.0,30.0,1.0
150.0,30.0,1.0
160.0,30.0,1.0
170.0,30.0,1.0
160.0,40.0,1.0
170.0,40.0,1.0
180.0,40.0,1.0
150.0,50.0,1.0
160.0,50.0,1.0
170.0,50.0,1.0
180.0,50.0,1.0
190.0,50.0,1.0
170.0,60.0,1.0
180.0,60.0,1.0
190.0,60.0,1.0
170.0,70.0,1.0
180.0,70.0,1.0
190.0,70.0,1.0
200.0,70.0,1.0
180.0,80.0,1.0
190.0,80.0,1.0
200.0,80.0,1.0
190.0,90.0,1.0
200.0,90.0,1.0
170.0,0.0,2.0
180.0,0.0,2.0
190.0,0.0,2.0
200.0,0.0,2.0
180.0,10.0,2.0
190.0,10.0,2.0
200.0,10.0,2.0
180.0,20.0,2.0
190.0,20.0,2.0
200.0,20.0,2.0
180.0,30.0,2.0
190.0,30.0,2.0
200.0,30.0,2.0
190.0,40.0,2.0
200.0,40.0,2.0
200.0,50.0,2.0
200.0,60.0,2.0

