#: table_doi: 10.17182/hepdata.63216.v1/t54
#: name: Table 54
#: description: Signal regions contributing to Fig. 05.

#: data_file: Table54.yaml
#: keyword reactions: P P --> CHARGINO+ CHARGINO- X | P P --> SLEPTON+ SLEPTON- X | P P --> CHARGINO+ NEUTRALINO X
#: keyword observables: M
#: keyword phrases: Inclusive | Proton-Proton Scattering
#: keyword cmenergies: 8000.0
#: RE,P P --> CHARGINO+ CHARGINO- X
#: SQRT(S) [GeV],8000.0
M(CHARGINO1) [GEV],M(NEUTRALINO1) [GEV],"Signal regions contributing to the exclusion limit 0 = SR-m_{T2,90} 1 = SR-m_{T2,120} 2 = SR-m_{T2,150}"
112.5,12.5,0.0
117.5,82.5,0.0
130.0,30.0,0.0
142.5,107.5,0.0
150.0,50.0,0.0
155.0,5.0,0.0
175.0,25.0,0.0
175.0,75.0,0.0
192.5,157.5,0.0
200.0,50.0,0.0
225.0,125.0,0.0
250.0,0.0,0.0
250.0,100.0,0.0
267.5,232.5,0.0
300.0,50.0,0.0
300.0,200.0,0.0
325.0,175.0,0.0
350.0,0.0,1.0
375.0,125.0,1.0
392.5,357.5,0.0
425.0,75.0,2.0
425.0,325.0,0.0
450.0,300.0,0.0
500.0,0.0,2.0
500.0,250.0,2.0
517.5,482.5,0.0
550.0,200.0,2.0
550.0,450.0,0.0
575.0,425.0,0.0
625.0,125.0,2.0
625.0,375.0,2.0
642.5,607.5,0.0
675.0,325.0,2.0
675.0,575.0,0.0
700.0,550.0,0.0
750.0,0.0,0.0
750.0,250.0,0.0
750.0,500.0,0.0
330.0,295.0,0.0
112.5,47.5,0.0
132.5,67.5,0.0
157.5,92.5,0.0
207.5,142.5,0.0
282.5,217.5,0.0
345.0,280.0,0.0
532.5,467.5,0.0
362.5,262.5,0.0
387.5,237.5,0.0
437.5,187.5,1.0
487.5,137.5,2.0
562.5,62.5,2.0
625.0,0.0,2.0
687.5,62.5,2.0

