#: table_doi: 10.17182/hepdata.63216.v1/t56
#: name: Table 56
#: description: Signal regions contributing to Fig. 08b.

#: data_file: Table56.yaml
#: keyword reactions: P P --> CHARGINO+ CHARGINO- X | P P --> SLEPTON+ SLEPTON- X | P P --> CHARGINO+ NEUTRALINO X
#: keyword observables: M
#: keyword phrases: Inclusive | Proton-Proton Scattering
#: keyword cmenergies: 8000.0
#: RE,P P --> CHARGINO+ CHARGINO- X
#: SQRT(S) [GeV],8000.0
M(SLEPTON) [GEV],M(NEUTRALINO1) [GEV],"Signal regions contributing to the exclusion limit 0 = SR-m_{T2,90} 1 = SR-m_{T2,120} 2 = SR-m_{T2,150}"
101.4,19.8,0.0
101.4,29.8,0.0
101.4,49.8,0.0
110.4,0.0,0.0
119.5,9.8,0.0
119.5,29.8,0.0
119.5,49.8,0.0
128.8,0.0,0.0
128.8,19.8,0.0
128.8,39.8,0.0
128.8,59.8,0.0
138.1,9.8,0.0
138.1,29.8,0.0
138.1,49.8,0.0
138.1,69.8,0.0
147.6,39.8,0.0
147.6,59.8,0.0
147.6,79.8,0.0
157.1,9.8,0.0
157.1,29.8,0.0
157.1,49.8,0.0
157.1,69.8,0.0
157.1,89.8,0.0
166.7,0.0,1.0
166.7,19.8,0.0
166.7,39.8,0.0
166.7,59.8,0.0
166.7,79.8,0.0
176.3,9.8,1.0
176.3,29.8,1.0
176.3,49.8,0.0
176.3,69.8,0.0
176.3,89.8,0.0
186.0,39.8,0.0
186.0,59.8,0.0
186.0,79.8,0.0
195.7,9.8,1.0
195.7,29.8,1.0
195.7,49.8,1.0
195.7,69.8,1.0
205.4,0.0,1.0
205.4,19.8,1.0
205.4,39.8,1.0
205.4,59.8,1.0
215.1,9.8,1.0
215.1,29.8,1.0
215.1,49.8,1.0
224.9,0.0,1.0
224.9,19.8,1.0
224.9,39.8,1.0
234.7,29.8,1.0
101.4,0.0,0.0
101.4,39.8,0.0
105.0,69.8,0.0
108.6,59.8,0.0
114.9,79.8,0.0
118.6,69.8,0.0
125.1,89.8,0.0
128.8,79.8,0.0
136.3,99.8,0.0
139.1,89.8,0.0
146.6,109.8,0.0
149.5,99.8,0.0
157.1,119.8,0.0
160.9,109.8,0.0
164.8,99.8,0.0
167.6,129.8,0.0
171.5,119.8,0.0
175.3,109.8,0.0
178.2,139.8,0.0
182.1,129.8,0.0
186.0,119.8,0.0
186.0,159.8,0.0
189.8,109.8,0.0
189.8,149.8,0.0
193.7,99.8,0.0
193.7,139.8,0.0
196.6,89.8,0.0
196.6,129.8,0.0
196.6,169.8,0.0
200.5,79.8,1.0
200.5,119.8,0.0
200.5,159.8,0.0
204.4,109.8,0.0
204.4,149.8,0.0
207.3,99.8,0.0
207.3,139.8,0.0
207.3,179.8,0.0
211.2,89.8,1.0
211.2,129.8,0.0
211.2,169.8,0.0
215.1,79.8,1.0
215.1,119.8,0.0
215.1,159.8,0.0
219.0,69.8,1.0
219.0,109.8,1.0
219.0,149.8,0.0
219.0,189.8,0.0
223.0,59.8,1.0
223.0,99.8,1.0
223.0,139.8,0.0
223.0,179.8,0.0
225.9,49.8,1.0
225.9,89.8,1.0
225.9,129.8,0.0
225.9,169.8,0.0
229.8,79.8,1.0
229.8,119.8,1.0
229.8,159.8,0.0
229.8,199.8,0.0
233.7,69.8,1.0
233.7,109.8,1.0
233.7,149.8,0.0
233.7,189.8,0.0
236.7,19.8,1.0
236.7,59.8,1.0
236.7,99.8,1.0
236.7,139.8,1.0
240.6,179.8,0.0
240.6,9.8,1.0
240.6,49.8,1.0
240.6,89.8,1.0
240.6,129.8,1.0
240.6,169.8,0.0
244.5,0.0,1.0
244.5,39.8,1.0
244.5,79.8,1.0
244.5,119.8,1.0
244.5,159.8,0.0
244.5,199.8,0.0
248.4,29.8,1.0
248.4,69.8,1.0
248.4,109.8,1.0
248.4,149.8,1.0
248.4,189.8,0.0
252.4,19.8,1.0
252.4,59.8,1.0
252.4,99.8,1.0
252.4,139.8,1.0
252.4,179.8,0.0
255.3,9.8,1.0
255.3,49.8,1.0
255.3,89.8,1.0
255.3,129.8,1.0
255.3,169.8,0.0
259.2,0.0,1.0
259.2,39.8,1.0
259.2,79.8,1.0
259.2,119.8,1.0
259.2,159.8,0.0
259.2,199.8,0.0
263.2,29.8,1.0
263.2,69.8,1.0
263.2,109.8,1.0
263.2,149.8,1.0
263.2,189.8,0.0
266.1,19.8,2.0
266.1,59.8,1.0
266.1,99.8,1.0
266.1,139.8,1.0
266.1,179.8,0.0
270.1,9.8,1.0
270.1,49.8,1.0
270.1,89.8,1.0
270.1,129.8,1.0
270.1,169.8,1.0
274.0,0.0,2.0
274.0,39.8,1.0
274.0,79.8,2.0
274.0,119.8,1.0
274.0,159.8,1.0
274.0,199.8,0.0
278.0,29.8,1.0
278.0,69.8,2.0
278.0,109.8,1.0
278.0,149.8,1.0
278.0,189.8,0.0
281.9,19.8,1.0
281.9,59.8,1.0
281.9,99.8,1.0
281.9,139.8,1.0
281.9,179.8,1.0
284.9,9.8,2.0
284.9,49.8,2.0
284.9,89.8,1.0
284.9,129.8,1.0
284.9,169.8,1.0
288.8,0.0,2.0
288.8,39.8,2.0
288.8,79.8,2.0
288.8,119.8,1.0
288.8,159.8,1.0
288.8,199.8,0.0
292.8,29.8,2.0
292.8,69.8,1.0
292.8,109.8,2.0
292.8,149.8,1.0
292.8,189.8,1.0
295.7,19.8,2.0
295.7,59.8,2.0
295.7,99.8,2.0
295.7,139.8,1.0
295.7,179.8,1.0
299.7,9.8,2.0
299.7,49.8,2.0
299.7,89.8,1.0
299.7,129.8,2.0
299.7,169.8,1.0
303.6,0.0,2.0
303.6,39.8,2.0
303.6,119.8,2.0
303.6,159.8,1.0
240.6,209.8,0.0
255.3,209.8,0.0
270.1,209.8,0.0
284.9,209.8,0.0
299.7,209.8,0.0
305.6,74.8,2.0
305.6,194.8,1.0
307.6,29.8,2.0
307.6,149.8,1.0
309.5,104.8,2.0
311.5,59.8,2.0
311.5,179.8,1.0
312.5,14.8,2.0
312.5,134.8,2.0
314.5,89.8,2.0
314.5,209.8,0.0
316.5,44.8,2.0
316.5,164.8,1.0
318.4,0.0,2.0
318.4,119.8,2.0
320.4,74.8,2.0
320.4,194.8,1.0
322.4,29.8,2.0
322.4,149.8,1.0
324.4,104.8,2.0
325.4,59.8,2.0
325.4,179.8,1.0
327.4,14.8,2.0
327.4,134.8,2.0
329.3,89.8,2.0
329.3,209.8,0.0
331.3,44.8,2.0
331.3,164.8,1.0
333.3,0.0,2.0
333.3,119.8,2.0
335.3,74.8,2.0
335.3,194.8,1.0
337.3,29.8,2.0
337.3,149.8,2.0
339.2,104.8,2.0
341.2,59.8,2.0
341.2,179.8,1.0
342.2,14.8,2.0
342.2,134.8,2.0
344.2,89.8,2.0
344.2,209.8,0.0
346.2,44.8,2.0
346.2,164.8,2.0
348.2,0.0,2.0
348.2,119.8,2.0
350.1,74.8,2.0
350.1,194.8,1.0
352.1,29.8,2.0
352.1,149.8,2.0
354.1,104.8,2.0
355.1,59.8,2.0
355.1,179.8,2.0
357.1,14.8,2.0
357.1,134.8,2.0
359.1,89.8,2.0
359.1,209.8,0.0
361.0,44.8,2.0
361.0,164.8,2.0
363.0,0.0,2.0
363.0,119.8,2.0
365.0,74.8,2.0
365.0,194.8,2.0
367.0,29.8,2.0
367.0,149.8,2.0
369.0,104.8,2.0
371.0,59.8,2.0
371.0,179.8,2.0
371.0,179.8,2.0

