#: table_doi: 10.17182/hepdata.63216.v1/t6
#: name: Table 6
#: description: DF - M(ll) in SR-WWa w/o M(ll) and ET(miss,rel).

#: data_file: Table6.yaml
#: keyword reactions: P P --> CHARGINO+ CHARGINO- X | P P --> SLEPTON+ SLEPTON- X | P P --> CHARGINO+ NEUTRALINO X
#: keyword observables: DN/DM
#: keyword phrases: Inclusive | Single Differential Distribution | Proton-Proton Scattering
#: keyword cmenergies: 8000.0
#: RE,P P --> CHARGINO+ CHARGINO- X,,,
#: SQRT(S) [GeV],8000.0
#: ,data
M(ll) [GEV],Events / 10 GeV,error +,error -
25.0,5.0,3.37,-2.15
35.0,5.0,3.37,-2.15
45.0,7.0,3.76,-2.58
55.0,11.0,4.41,-3.26
65.0,8.0,3.94,-2.76
75.0,4.0,3.15,-1.91
85.0,11.0,4.41,-3.26
95.0,8.0,3.94,-2.76
105.0,2.0,2.63,-1.29
115.0,9.0,4.1,-2.94
125.0,8.0,3.94,-2.76
135.0,41.0,7.45,-6.37

#: RE,P P --> CHARGINO+ CHARGINO- X,,,,,
#: SQRT(S) [GeV],8000.0
#: ,bg
M(ll) [GEV],Events / 10 GeV,stat +,stat -,sys +,sys -
25.0,3.78,0.5,-0.5,0.3,-0.3
35.0,4.75,0.67,-0.67,0.34,-0.37
45.0,5.54,0.58,-0.58,0.39,-0.44
55.0,6.48,0.64,-0.64,0.55,-0.52
65.0,7.43,0.85,-0.85,0.57,-0.6
75.0,8.85,0.87,-0.87,0.64,-0.66
85.0,7.7,0.79,-0.79,0.54,-0.61
95.0,8.75,1.2,-1.2,0.57,-0.81
105.0,8.93,1.05,-1.05,0.52,-0.88
115.0,6.87,0.98,-0.98,0.47,-0.57
125.0,7.44,0.93,-0.93,0.62,-0.58
135.0,45.94,0.8,-0.8,3.06,-3.36

