#: table_doi: 10.17182/hepdata.63216.v1/t61
#: name: Table 61
#: description: Signal regions contributing to Fig. 10a.

#: data_file: Table61.yaml
#: keyword reactions: P P --> CHARGINO+ CHARGINO- X | P P --> SLEPTON+ SLEPTON- X | P P --> CHARGINO+ NEUTRALINO X
#: keyword observables: M
#: keyword phrases: Inclusive | Proton-Proton Scattering
#: keyword cmenergies: 8000.0
#: RE,P P --> CHARGINO+ CHARGINO- X
#: SQRT(S) [GeV],8000.0
MU [GEV],M2 [GEV],"Signal regions contributing to the exclusion limit 1,2,3 = SR-m_{T2,90,120,150} 4,5,6 = SR-WW(a,b,c) and 7 = SR-Zjets"
102.5,102.5,4.0
152.5,102.5,6.0
202.5,102.5,4.0
252.5,102.5,6.0
302.5,102.5,5.0
352.5,102.5,4.0
402.5,102.5,4.0
452.5,102.5,5.0
502.5,102.5,5.0
552.5,102.5,5.0
102.5,152.5,4.0
152.5,152.5,6.0
202.5,152.5,4.0
252.5,152.5,4.0
302.5,152.5,4.0
352.5,152.5,5.0
402.5,152.5,5.0
452.5,152.5,5.0
502.5,152.5,5.0
552.5,152.5,7.0
102.5,202.5,4.0
152.5,202.5,4.0
202.5,202.5,5.0
252.5,202.5,1.0
302.5,202.5,5.0
352.5,202.5,7.0
402.5,202.5,6.0
452.5,202.5,6.0
502.5,202.5,6.0
552.5,202.5,5.0
102.5,252.5,4.0
152.5,252.5,4.0
202.5,252.5,7.0
252.5,252.5,7.0
302.5,252.5,7.0
352.5,252.5,7.0
402.5,252.5,7.0
452.5,252.5,7.0
502.5,252.5,6.0
552.5,252.5,6.0
102.5,302.5,4.0
152.5,302.5,4.0
202.5,302.5,7.0
252.5,302.5,7.0
302.5,302.5,7.0
352.5,302.5,7.0
402.5,302.5,7.0
452.5,302.5,7.0
502.5,302.5,7.0
552.5,302.5,2.0
102.5,352.5,4.0
152.5,352.5,4.0
202.5,352.5,7.0
252.5,352.5,7.0
302.5,352.5,7.0
352.5,352.5,7.0
402.5,352.5,7.0
452.5,352.5,7.0
502.5,352.5,7.0
552.5,352.5,3.0
102.5,402.5,4.0
152.5,402.5,5.0
202.5,402.5,7.0
252.5,402.5,7.0
302.5,402.5,7.0
352.5,402.5,7.0
402.5,402.5,7.0
452.5,402.5,7.0
502.5,402.5,7.0
552.5,402.5,3.0
102.5,452.5,4.0
152.5,452.5,5.0
202.5,452.5,7.0
252.5,452.5,7.0
302.5,452.5,7.0
402.5,452.5,7.0
452.5,452.5,7.0
502.5,452.5,7.0
552.5,452.5,3.0
102.5,502.5,4.0
152.5,502.5,5.0
202.5,502.5,7.0
252.5,502.5,7.0
302.5,502.5,7.0
402.5,502.5,7.0
452.5,502.5,7.0
502.5,502.5,7.0
552.5,502.5,3.0
102.5,552.5,4.0
152.5,552.5,7.0
202.5,552.5,7.0
252.5,552.5,7.0
302.5,552.5,7.0
402.5,552.5,7.0
452.5,552.5,7.0
502.5,552.5,7.0
552.5,552.5,1.0

