#: table_doi: 10.17182/hepdata.63216.v1/t63
#: name: Table 63
#: description: Observed cross-section limits for Fig. 05.

#: data_file: Table63.yaml
#: keyword reactions: P P --> CHARGINO+ CHARGINO- X | P P --> SLEPTON+ SLEPTON- X | P P --> CHARGINO+ NEUTRALINO X
#: keyword observables: M
#: keyword phrases: Inclusive | Proton-Proton Scattering
#: keyword cmenergies: 8000.0
#: RE,P P --> CHARGINO+ CHARGINO- X
#: SQRT(S) [GeV],8000.0
M(CHARGINO1) [GEV],M(NEUTRALINO1) [GEV],Numbers give 95% excluded model cross sections [PB]
112.5,12.5,5.929351
117.5,82.5,0.0
130.0,30.0,4.779832
142.5,107.5,0.0
150.0,50.0,4.152937
155.0,5.0,0.08435921
175.0,25.0,0.06931489
175.0,75.0,4.281344
192.5,157.5,0.0
200.0,50.0,0.0532933
225.0,125.0,0.957651
250.0,0.0,0.02171907
250.0,100.0,0.04636543
267.5,232.5,0.0
300.0,50.0,0.01812954
300.0,200.0,0.5968319
325.0,175.0,0.04010656
350.0,0.0,0.01035677
375.0,125.0,0.01325016
392.5,357.5,0.0
425.0,75.0,0.01001269
425.0,325.0,0.2932949
450.0,300.0,0.0347157
500.0,0.0,0.007374051
500.0,250.0,0.01635531
517.5,482.5,0.0
550.0,200.0,0.008830067
550.0,450.0,0.1618915
575.0,425.0,0.03359441
625.0,125.0,0.006545905
625.0,375.0,0.01523064
642.5,607.5,0.2402538
675.0,325.0,0.008976944
675.0,575.0,0.2402538
700.0,550.0,0.2402538
750.0,0.0,0.02309664
750.0,250.0,0.01167133
750.0,500.0,0.2402538
330.0,295.0,0.0
112.5,47.5,19.84882
132.5,67.5,27.2749
157.5,92.5,17.5082
207.5,142.5,8.871389
282.5,217.5,1.679365
345.0,280.0,0.9374701
532.5,467.5,0.7575694
362.5,262.5,0.6436794
387.5,237.5,0.03821831
437.5,187.5,0.01258872
487.5,137.5,0.009048122
562.5,62.5,0.007031547
625.0,0.0,0.01250639
687.5,62.5,0.006346665

