#: table_doi: 10.17182/hepdata.63216.v1/t64
#: name: Table 64
#: description: Observed cross-section limits for Fig. 07a.

#: data_file: Table64.yaml
#: keyword reactions: P P --> CHARGINO+ CHARGINO- X | P P --> SLEPTON+ SLEPTON- X | P P --> CHARGINO+ NEUTRALINO X
#: keyword observables: M
#: keyword phrases: Inclusive | Proton-Proton Scattering
#: keyword cmenergies: 8000.0
#: RE,P P --> CHARGINO+ CHARGINO- X
#: SQRT(S) [GeV],8000.0
"M(CHARGINO1,NEUTRALINO2) [GEV]",M(NEUTRALINO1) [GEV],Numbers give 95% excluded model cross sections [PB]
125.0,0.0,540.198
150.0,0.0,4.493014
175.0,0.0,1.271269
200.0,0.0,0.4777426
250.0,0.0,0.1841265
300.0,0.0,0.09821664
350.0,0.0,0.06565697
400.0,0.0,0.05048076
450.0,0.0,0.04516663
500.0,0.0,0.03840566
250.0,100.0,0.4552723
300.0,100.0,0.1509935
350.0,100.0,0.08131233
400.0,100.0,0.05786602
450.0,100.0,0.04771876
500.0,100.0,0.03921728
300.0,150.0,0.3894537
350.0,150.0,0.1192399
400.0,150.0,0.06745429
450.0,150.0,0.05290323
350.0,200.0,0.3161651
400.0,200.0,0.1032715
450.0,200.0,0.06129929
500.0,200.0,0.04769511
400.0,250.0,0.2664037
450.0,250.0,0.1022685
150.0,25.0,4.411364
175.0,25.0,1.69046
200.0,25.0,0.5292019
450.0,300.0,0.239954
500.0,300.0,0.09704628
175.0,50.0,2.692116
200.0,50.0,0.6307809
250.0,50.0,0.2274458
300.0,50.0,0.1046071
350.0,50.0,0.06932346
400.0,50.0,0.05268021
450.0,50.0,0.04315265
200.0,75.0,1.754877

