#: table_doi: 10.17182/hepdata.63216.v1/t65
#: name: Table 65
#: description: Observed cross-section limits for Fig. 08a.

#: data_file: Table65.yaml
#: keyword reactions: P P --> CHARGINO+ CHARGINO- X | P P --> SLEPTON+ SLEPTON- X | P P --> CHARGINO+ NEUTRALINO X
#: keyword observables: M
#: keyword phrases: Inclusive | Proton-Proton Scattering
#: keyword cmenergies: 8000.0
#: RE,P P --> CHARGINO+ CHARGINO- X
#: SQRT(S) [GeV],8000.0
M(SLEPTON) [GEV],M(NEUTRALINO1) [GEV],Numbers give 95% excluded model cross sections [FB]
99.95,19.84,402.38
99.95,29.84,3210.52
99.95,49.83,19246.18
109.04,0.0,28.14
118.28,9.84,26.73
118.28,29.84,30.59
118.28,49.83,200.62
127.63,0.0,15.7
127.63,19.84,13.81
127.63,39.83,26.96
127.63,59.83,57.24
137.08,9.84,15.7
137.08,29.84,12.28
137.08,49.83,15.63
137.08,69.82,48.35
146.6,39.83,13.0
146.6,59.83,15.95
146.6,79.82,35.99
156.17,9.84,8.35
156.17,29.84,8.37
156.17,49.83,11.73
156.17,69.82,17.32
156.17,89.82,70.41
165.8,0.0,7.13
165.8,19.84,7.49
165.8,39.83,7.71
165.8,59.83,9.96
165.8,79.82,15.36
175.47,9.84,4.81
175.47,29.84,5.13
175.47,49.83,7.81
175.47,69.82,14.6
175.47,89.82,14.21
185.18,39.83,4.58
185.18,59.83,6.38
185.18,79.82,8.4
194.91,9.84,2.96
194.91,29.84,3.87
194.91,49.83,3.74
194.91,69.82,5.23
204.67,0.0,2.83
204.67,19.84,3.57
204.67,39.83,3.48
204.67,59.83,3.67
214.45,9.84,3.34
214.45,29.84,2.99
214.45,49.83,3.19
224.25,0.0,3.51
224.25,19.84,2.69
224.25,39.83,3.68
234.07,29.84,2.81
99.95,0.0,67.27
138.03,89.82,3416.67
148.51,99.81,3738.73
160.02,109.81,3546.14
163.87,99.81,112.02
170.63,119.81,2732.05
174.5,109.81,44.25
181.29,129.8,2232.23
185.18,119.81,32.42
189.07,109.81,12.06
192.96,99.81,12.36
192.96,139.8,1744.32
195.89,89.82,9.7
195.89,129.8,25.18
199.79,79.82,6.24
199.79,119.81,16.49
203.69,109.81,12.68
203.69,149.8,711.65
206.63,99.81,8.27
206.63,139.8,26.24
210.54,89.82,5.94
210.54,129.8,14.83
214.45,79.82,4.87
214.45,119.81,10.99
214.45,159.79,1034.61
218.37,69.82,4.32
218.37,109.81,6.44
218.37,149.8,34.48
222.29,59.83,2.86
222.29,99.81,6.52
222.29,139.8,14.11
222.29,179.79,888.35
225.24,49.83,3.57
225.24,89.82,3.92
225.24,129.8,8.95
225.24,169.79,127.68
229.16,79.82,3.34
229.16,119.81,6.06
229.16,159.79,21.17
233.09,69.82,2.94
233.09,109.81,4.65
233.09,149.8,13.07
236.04,19.84,2.77
236.04,59.83,3.17
236.04,99.81,3.87
236.04,139.8,10.76
239.97,9.84,2.36
239.97,49.83,3.1
239.97,89.82,3.87
239.97,129.8,8.52
239.97,169.79,17.07
243.91,0.0,2.48
243.91,39.83,3.0
243.91,79.82,3.09
243.91,119.81,4.73
243.91,159.79,10.92
243.91,199.78,356.4
247.84,29.84,4.23
247.84,69.82,3.04
247.84,109.81,4.07
247.84,149.8,10.71
247.84,189.78,47.03
251.78,19.84,2.07
251.78,59.83,3.02
251.78,99.81,3.65
251.78,139.8,5.35
251.78,179.79,16.57
254.74,9.84,3.14
254.74,49.83,4.29
254.74,89.82,2.94
254.74,129.8,4.73
254.74,169.79,12.85
258.68,0.0,3.59
258.68,39.83,3.94
258.68,79.82,2.51
258.68,119.81,3.79
258.68,159.79,4.73
258.68,199.78,62.33
262.62,29.84,3.72
262.62,69.82,3.14
262.62,109.81,2.93
262.62,149.8,4.6
262.62,189.78,17.22
265.58,19.84,3.25
265.58,59.83,3.5
265.58,99.81,3.39
265.58,139.8,3.84
265.58,179.79,11.5
269.53,9.84,2.86
269.53,49.83,2.13
269.53,89.82,2.85
269.53,129.8,3.28
269.53,169.79,5.91
273.48,0.0,4.21
273.48,39.83,3.43
273.48,79.82,3.35
273.48,119.81,2.85
273.48,159.79,4.78
273.48,199.78,20.0
277.43,29.84,2.3
277.43,69.82,2.56
277.43,109.81,2.43
277.43,149.8,3.87
277.43,189.78,11.97
281.38,19.84,2.78
281.38,59.83,3.11
281.38,99.81,2.56
281.38,139.8,3.24
281.38,179.79,5.1
284.34,49.83,3.17
284.34,89.82,3.24
284.34,129.8,2.69
284.34,169.79,4.09
288.3,0.0,2.86
288.3,39.83,2.77
288.3,79.82,2.98
288.3,119.81,2.89
288.3,159.79,4.93
288.3,199.78,11.09
292.25,29.84,2.52
292.25,69.82,3.07
292.25,109.81,3.75
292.25,149.8,2.67
292.25,189.78,5.47
295.22,19.84,3.28
295.22,59.83,3.25
295.22,99.81,3.64
295.22,139.8,2.69
295.22,179.79,3.6
299.18,9.84,2.66
299.18,49.83,2.66
299.18,89.82,2.31
299.18,129.8,3.42
299.18,169.79,3.25
303.13,0.0,3.5
303.13,39.83,2.77
303.13,119.81,3.45
303.13,159.79,3.18
254.74,209.78,541.61
269.53,209.78,100.91
284.34,209.78,19.3
299.18,209.78,10.35
305.11,74.82,2.93
305.11,194.78,4.16
307.09,29.84,2.73
307.09,149.8,3.73
309.07,104.81,3.77
311.05,59.83,2.67
311.05,179.79,3.68
312.04,14.84,2.68
312.04,134.8,3.17
314.02,89.82,4.0
314.02,209.78,10.67
316.01,44.83,2.44
316.01,164.79,3.53
317.99,0.0,3.58
317.99,119.81,4.03
319.97,74.82,2.54
319.97,194.78,3.56
321.95,29.84,2.39
321.95,149.8,2.74
323.93,104.81,3.04
324.92,59.83,2.94
324.92,179.79,2.42
326.9,14.84,2.38
326.9,134.8,3.42
328.89,89.82,2.86
328.89,209.78,5.51
330.87,44.83,2.61
330.87,164.79,2.36
332.85,0.0,2.62
332.85,119.81,3.24
334.83,74.82,2.69
334.83,194.78,2.58
336.82,29.84,2.34
336.82,149.8,3.58
338.8,104.81,2.64
340.78,59.83,2.2
340.78,179.79,2.68
341.78,14.84,2.67
341.78,134.8,3.69
343.76,89.82,2.74
345.74,44.83,2.38
345.74,164.79,3.04
347.73,0.0,2.61
347.73,119.81,2.56
349.71,74.82,2.65
349.71,194.78,4.58
351.7,29.84,2.82
351.7,149.8,3.23
353.68,104.81,2.93
354.67,59.83,2.65
354.67,179.79,3.55
356.66,14.84,2.83
356.66,134.8,2.66
358.64,89.82,2.57
358.64,209.78,4.8
360.63,44.83,1.89
360.63,164.79,3.07
362.62,0.0,2.53
362.62,119.81,2.34
364.6,74.82,2.6
364.6,194.78,2.97
366.59,29.84,2.32
366.59,149.8,3.09
368.57,104.81,2.18
370.56,59.83,2.23
370.56,179.79,4.29
370.56,179.79,4.29

