#: table_doi: 10.17182/hepdata.63216.v1/t66
#: name: Table 66
#: description: Observed cross-section limits for Fig. 08b.

#: data_file: Table66.yaml
#: keyword reactions: P P --> CHARGINO+ CHARGINO- X | P P --> SLEPTON+ SLEPTON- X | P P --> CHARGINO+ NEUTRALINO X
#: keyword observables: M
#: keyword phrases: Inclusive | Proton-Proton Scattering
#: keyword cmenergies: 8000.0
#: RE,P P --> CHARGINO+ CHARGINO- X
#: SQRT(S) [GeV],8000.0
M(SLEPTON) [GEV],M(NEUTRALINO1) [GEV],Numbers give 95% excluded model cross sections [FB]
101.41,19.84,72.03
101.41,29.84,569.8
101.41,49.83,2621.74
110.38,0.0,29.21
119.51,9.84,20.06
119.51,29.84,37.14
119.51,49.83,108.1
128.78,0.0,16.83
128.78,19.84,15.39
128.78,39.83,16.56
128.78,59.83,68.65
138.14,9.84,12.03
138.14,29.84,13.0
138.14,49.83,15.92
138.14,69.82,54.26
147.59,39.83,9.7
147.59,59.83,17.22
147.59,79.82,49.28
157.11,9.84,8.13
157.11,29.84,8.79
157.11,49.83,8.92
157.11,69.82,14.82
157.11,89.82,39.71
166.68,0.0,6.45
166.68,19.84,7.79
166.68,39.83,8.51
166.68,59.83,8.16
166.68,79.82,16.47
176.31,9.84,4.39
176.31,29.84,5.42
176.31,49.83,8.12
176.31,69.82,9.39
176.31,89.82,14.52
185.97,39.83,6.15
185.97,59.83,7.43
185.97,79.82,9.64
195.66,9.84,3.44
195.66,29.84,3.84
195.66,49.83,4.17
195.66,69.82,5.66
205.39,0.0,3.14
205.39,19.84,3.33
205.39,39.83,3.28
205.39,59.83,4.6
215.14,9.84,3.11
215.14,29.84,3.14
215.14,49.83,3.8
224.91,0.0,2.89
224.91,19.84,2.61
224.91,39.83,3.07
234.7,29.84,3.27
101.41,0.0,47.44
101.41,39.83,11482.96
128.78,79.82,44194.52
139.08,89.82,8339.68
149.49,99.81,10453.23
160.93,109.81,3105.44
164.76,99.81,56.57
171.49,119.81,5411.28
175.34,109.81,34.66
182.1,129.8,2250.11
185.97,119.81,36.44
189.84,109.81,14.86
193.72,99.81,9.6
193.72,139.8,279.2
196.63,89.82,8.39
196.63,129.8,25.97
200.52,79.82,5.4
200.52,119.81,17.36
204.41,109.81,10.58
204.41,149.8,213.98
207.33,99.81,8.18
207.33,139.8,34.67
211.23,89.82,5.27
211.23,129.8,14.14
215.14,79.82,4.09
215.14,119.81,10.04
215.14,159.79,75.87
219.04,69.82,4.34
219.04,109.81,5.99
219.04,149.8,23.99
222.95,59.83,3.01
222.95,99.81,4.76
222.95,139.8,12.52
225.89,49.83,3.31
225.89,89.82,4.17
225.89,129.8,9.37
225.89,169.79,106.85
229.8,79.82,3.75
229.8,119.81,5.24
229.8,159.79,20.85
233.72,69.82,3.5
233.72,109.81,4.25
233.72,149.8,10.16
236.66,19.84,2.57
236.66,59.83,3.07
236.66,99.81,3.78
236.66,139.8,7.21
240.58,9.84,2.4
240.58,49.83,2.98
240.58,89.82,3.44
240.58,129.8,5.97
240.58,169.79,16.86
244.51,0.0,2.7
244.51,39.83,2.74
244.51,79.82,3.31
244.51,119.81,4.2
244.51,159.79,11.09
244.51,199.78,1588.81
248.43,29.84,2.73
248.43,69.82,3.0
248.43,109.81,4.01
248.43,149.8,7.15
248.43,189.78,70.74
252.36,19.84,2.28
252.36,59.83,2.63
252.36,99.81,3.21
252.36,139.8,5.16
252.36,179.79,18.57
255.31,9.84,2.64
255.31,49.83,2.35
255.31,89.82,3.18
255.31,129.8,3.45
255.31,169.79,10.3
259.25,0.0,2.56
259.25,39.83,2.49
259.25,79.82,2.74
259.25,119.81,3.23
259.25,159.79,9.45
259.25,199.78,50.42
263.18,29.84,2.34
263.18,69.82,2.54
263.18,109.81,3.31
263.18,149.8,4.75
263.18,189.78,15.53
266.13,19.84,3.45
266.13,59.83,2.52
266.13,99.81,3.28
266.13,139.8,3.58
266.13,179.79,11.41
270.07,9.84,2.21
270.07,49.83,2.78
270.07,89.82,2.81
270.07,129.8,3.5
270.07,169.79,7.43
274.01,0.0,3.22
274.01,39.83,2.54
274.01,79.82,3.23
274.01,119.81,2.83
274.01,159.79,5.07
274.01,199.78,15.73
277.96,29.84,2.2
277.96,69.82,3.02
277.96,109.81,2.86
277.96,149.8,3.78
277.96,189.78,9.33
281.9,19.84,1.97
281.9,59.83,2.48
281.9,99.81,2.62
281.9,139.8,3.64
281.9,179.79,5.64
284.86,49.83,3.36
284.86,89.82,2.75
284.86,129.8,2.91
284.86,169.79,4.01
288.81,0.0,3.18
288.81,39.83,2.91
288.81,79.82,3.54
288.81,119.81,2.69
288.81,159.79,3.89
288.81,199.78,10.2
292.75,29.84,2.73
292.75,69.82,2.37
292.75,109.81,3.77
292.75,149.8,3.19
292.75,189.78,6.04
295.72,19.84,2.68
295.72,59.83,3.3
295.72,99.81,3.61
295.72,139.8,2.63
295.72,179.79,4.27
299.67,9.84,2.74
299.67,49.83,2.8
299.67,89.82,2.64
299.67,129.8,3.72
299.67,169.79,3.25
303.62,0.0,2.84
303.62,39.83,2.85
303.62,119.81,3.77
303.62,159.79,2.95
255.31,209.78,1147.3
270.07,209.78,34.4
284.86,209.78,14.41
299.67,209.78,9.13
305.59,74.82,3.09
305.59,194.78,4.58
307.57,29.84,2.62
307.57,149.8,2.64
309.55,104.81,3.09
311.52,59.83,2.97
311.52,179.79,3.5
312.51,14.84,2.77
312.51,134.8,3.76
314.49,89.82,2.99
314.49,209.78,8.27
316.47,44.83,2.84
316.47,164.79,2.74
318.45,0.0,2.92
318.45,119.81,2.88
320.43,74.82,2.91
320.43,194.78,3.66
322.4,29.84,2.88
322.4,149.8,2.46
324.38,104.81,3.1
325.37,59.83,2.7
325.37,179.79,2.81
327.35,14.84,2.69
327.35,134.8,3.07
329.33,89.82,2.78
329.33,209.78,7.64
331.31,44.83,2.49
331.31,164.79,2.57
333.29,0.0,2.59
333.29,119.81,3.02
335.27,74.82,2.64
335.27,194.78,3.31
337.25,29.84,2.74
337.25,149.8,3.61
339.23,104.81,2.62
341.21,59.83,2.31
341.21,179.79,3.07
342.21,14.84,2.3
342.21,134.8,3.03
344.19,89.82,2.67
346.17,44.83,2.59
346.17,164.79,3.81
348.15,0.0,2.08
348.15,119.81,2.79
350.13,74.82,2.8
350.13,194.78,2.91
352.11,29.84,2.46
352.11,149.8,2.74
354.1,104.81,2.65
355.09,59.83,2.44
