#: table_doi: 10.17182/hepdata.63216.v1/t68
#: name: Table 68
#: description: Observed CLs values for Fig. 06a.

#: data_file: Table68.yaml
#: keyword reactions: P P --> CHARGINO+ CHARGINO- X | P P --> SLEPTON+ SLEPTON- X | P P --> CHARGINO+ NEUTRALINO X
#: keyword observables: M
#: keyword phrases: Inclusive | Proton-Proton Scattering
#: keyword cmenergies: 8000.0
#: RE,P P --> CHARGINO+ CHARGINO- X
#: SQRT(S) [GeV],8000.0
M(CHARGINO1) [GEV],M(NEUTRALINO1) [GEV],Numbers give CL_{S} values
100.0,0.0,0.017512
100.0,10.0,0.060748
100.0,20.0,0.609973
110.0,0.0,0.050661
110.0,10.0,0.036758
110.0,20.0,0.099105
110.0,30.0,0.57803
120.0,0.0,0.033802
120.0,10.0,0.046521
120.0,20.0,0.050264
120.0,30.0,0.112484
120.0,40.0,0.726748
130.0,20.0,0.052465
130.0,30.0,0.075335
130.0,40.0,0.122658
130.0,50.0,0.572888
140.0,40.0,0.283228
140.0,50.0,0.209917
140.0,60.0,0.768432
150.0,40.0,0.113026
150.0,60.0,0.318969
150.0,70.0,0.780504
160.0,60.0,0.244423
160.0,70.0,0.547104
160.0,80.0,0.557558
170.0,80.0,0.686458
170.0,90.0,0.618891
180.0,100.0,0.932581
180.0,90.0,0.653515
190.0,110.0,0.865791
200.0,110.0,0.670985
200.0,120.0,0.949286
130.0,0.0,0.031013
130.0,10.0,0.041098
140.0,0.0,0.05
140.0,10.0,0.05
140.0,20.0,0.047817
140.0,30.0,0.094779
150.0,0.0,0.02687
150.0,10.0,0.029478
150.0,20.0,0.035363
150.0,30.0,0.069245
150.0,50.0,0.232108
160.0,0.0,0.036893
160.0,10.0,0.046359
160.0,20.0,0.058686
160.0,30.0,0.061159
160.0,40.0,0.162949
160.0,50.0,0.146809
170.0,10.0,0.046141
170.0,20.0,0.068456
170.0,30.0,0.076225
170.0,40.0,0.061677
170.0,50.0,0.139028
170.0,60.0,0.254918
170.0,70.0,0.352114
180.0,40.0,0.115046
180.0,50.0,0.11127
180.0,60.0,0.374352
180.0,70.0,0.230218
180.0,80.0,0.462162
190.0,100.0,0.665005
190.0,50.0,0.125914
190.0,60.0,0.2557
190.0,70.0,0.307628
190.0,80.0,0.416149
190.0,90.0,0.57069
200.0,100.0,0.541359
200.0,70.0,0.273146
200.0,80.0,0.279406
200.0,90.0,0.376262
170.0,0.0,0.05
180.0,0.0,0.044262
180.0,10.0,0.084118
180.0,20.0,0.072707
180.0,30.0,0.108481
190.0,0.0,0.096618
190.0,10.0,0.076795
190.0,20.0,0.096403
190.0,30.0,0.089865
190.0,40.0,0.144585
200.0,0.0,0.090659
200.0,10.0,0.114896
200.0,20.0,0.10705
200.0,30.0,0.14367
200.0,40.0,0.084264
200.0,50.0,0.142811
200.0,60.0,0.221298

