#: table_doi: 10.17182/hepdata.63216.v1/t69
#: name: Table 69
#: description: Observed CLs values for Fig. 05.

#: data_file: Table69.yaml
#: keyword reactions: P P --> CHARGINO+ CHARGINO- X | P P --> SLEPTON+ SLEPTON- X | P P --> CHARGINO+ NEUTRALINO X
#: keyword observables: M
#: keyword phrases: Inclusive | Proton-Proton Scattering
#: keyword cmenergies: 8000.0
#: RE,P P --> CHARGINO+ CHARGINO- X
#: SQRT(S) [GeV],8000.0
M(CHARGINO1) [GEV],M(NEUTRALINO1) [GEV],Numbers give CL_{S} values
112.5,12.5,0.0
117.5,82.5,0.0
130.0,30.0,0.5577412
142.5,107.5,0.0
150.0,50.0,0.465066
155.0,5.0,0.02367572
175.0,25.0,0.01499999
175.0,75.0,0.4216707
192.5,157.5,0.0
200.0,50.0,0.0006434875
225.0,125.0,0.4317469
250.0,0.0,0.005569225
250.0,100.0,0.005569225
267.5,232.5,0.0
300.0,50.0,1e-06
300.0,200.0,0.7377124
325.0,175.0,0.06238775
350.0,0.0,3.246875e-05
375.0,125.0,0.00068455
392.5,357.5,0.0
425.0,75.0,0.03007163
425.0,325.0,0.9499968
450.0,300.0,0.5097611
500.0,0.0,0.1382392
500.0,250.0,0.4936373
517.5,482.5,0.0
550.0,200.0,0.4408651
550.0,450.0,0.9797862
575.0,425.0,0.8497337
625.0,125.0,0.656357
625.0,375.0,0.792205
642.5,607.5,0.0
675.0,325.0,0.781504
675.0,575.0,0.0
700.0,550.0,0.9605643
750.0,0.0,0.0
750.0,250.0,0.0
750.0,500.0,0.0
330.0,295.0,0.0
112.5,47.5,0.7749792
132.5,67.5,0.810345
157.5,92.5,0.0
207.5,142.5,0.0
282.5,217.5,0.0
345.0,280.0,0.0
532.5,467.5,0.9927055
362.5,262.5,0.9278905
387.5,237.5,0.2382807
437.5,187.5,0.1118289
487.5,137.5,0.1402361
562.5,62.5,0.4114014
625.0,0.0,0.6524471
687.5,62.5,0.7490652

