#: table_doi: 10.17182/hepdata.63216.v1/t7
#: name: Table 7
#: description: SF - ET(miss,rel) in SR-WWa w/o M(ll) and ET(miss,rel).

#: data_file: Table7.yaml
#: keyword reactions: P P --> CHARGINO+ CHARGINO- X | P P --> SLEPTON+ SLEPTON- X | P P --> CHARGINO+ NEUTRALINO X
#: keyword observables: DN/DET
#: keyword phrases: Inclusive | Single Differential Distribution | Proton-Proton Scattering
#: keyword cmenergies: 8000.0
#: RE,P P --> CHARGINO+ CHARGINO- X,,,
#: SQRT(S) [GeV],8000.0
#: ,data
"ET(miss,rel) [GEV]",Events / 10 GeV,error +,error -
5.0,37.0,7.13,-6.05
15.0,51.0,8.19,-7.12
25.0,40.0,7.37,-6.3
35.0,49.0,8.04,-6.97
45.0,35.0,6.97,-5.88
55.0,34.0,6.88,-5.8
65.0,70.0,9.4,-8.34
75.0,62.0,8.91,-7.85
85.0,78.0,9.87,-8.81
95.0,76.0,9.75,-8.7
105.0,50.0,8.12,-7.04
115.0,36.0,7.05,-5.97
125.0,26.0,6.16,-5.06
135.0,14.0,4.83,-3.69
145.0,17.0,5.2,-4.08
155.0,7.0,3.76,-2.58
165.0,21.0,5.65,-4.54

#: RE,P P --> CHARGINO+ CHARGINO- X,,,,,
#: SQRT(S) [GeV],8000.0
#: ,bg
"ET(miss,rel) [GEV]",Events / 10 GeV,stat +,stat -,sys +,sys -
5.0,31.19,8.35,-8.35,1.02,-1.18
15.0,48.49,13.33,-13.33,1.63,-1.83
25.0,40.88,10.73,-10.73,1.47,-1.66
35.0,49.43,13.75,-13.75,1.9,-2.12
45.0,38.27,8.06,-8.06,1.52,-1.78
55.0,44.42,6.82,-6.82,2.16,-2.42
65.0,60.15,6.64,-6.64,3.3,-3.86
75.0,69.19,3.59,-3.59,4.68,-5.11
85.0,78.07,6.11,-6.11,5.59,-6.26
95.0,71.19,3.06,-3.06,5.5,-6.04
105.0,48.78,1.89,-1.89,5.05,-5.02
115.0,39.2,1.8,-1.8,3.7,-4.42
125.0,25.14,1.6,-1.6,2.75,-2.91
135.0,20.13,1.13,-1.13,2.26,-2.29
145.0,15.17,1.06,-1.06,1.78,-1.82
155.0,9.64,0.61,-0.61,1.15,-1.22
165.0,36.94,0.62,-0.62,4.55,-4.64

