#: table_doi: 10.17182/hepdata.63216.v1/t70
#: name: Table 70
#: description: Observed CLs values for Fig. 07a.

#: data_file: Table70.yaml
#: keyword reactions: P P --> CHARGINO+ CHARGINO- X | P P --> SLEPTON+ SLEPTON- X | P P --> CHARGINO+ NEUTRALINO X
#: keyword observables: M
#: keyword phrases: Inclusive | Proton-Proton Scattering
#: keyword cmenergies: 8000.0
#: RE,P P --> CHARGINO+ CHARGINO- X
#: SQRT(S) [GeV],8000.0
"M(CHARGINO1,NEUTRALINO2) [GEV]",M(NEUTRALINO1) [GEV],Numbers give CL_{S} values
125.0,0.0,0.36907
150.0,0.0,0.147101
150.0,25.0,0.163421
175.0,0.0,0.03972
175.0,25.0,0.087623
175.0,50.0,0.218611
200.0,0.0,0.005659
200.0,25.0,0.010035
200.0,50.0,0.02064
200.0,75.0,0.249434
250.0,0.0,0.004458
250.0,100.0,0.121118
250.0,50.0,0.012604
300.0,0.0,0.00971
300.0,100.0,0.052133
300.0,150.0,0.329612
300.0,50.0,0.013037
350.0,0.0,0.032783
350.0,100.0,0.064409
350.0,150.0,0.160316
350.0,200.0,0.531756
350.0,50.0,0.039666
400.0,0.0,0.096791
400.0,100.0,0.134258
400.0,150.0,0.181622
400.0,200.0,0.336246
400.0,250.0,0.663963
400.0,50.0,0.107591
450.0,0.0,0.247277
450.0,100.0,0.264138
450.0,150.0,0.307435
450.0,200.0,0.360311
450.0,250.0,0.558042
450.0,300.0,0.777181
450.0,50.0,0.231041
500.0,0.0,0.396237
500.0,100.0,0.409484
500.0,200.0,0.483233
500.0,300.0,0.711886

