#: table_doi: 10.17182/hepdata.63216.v1/t71
#: name: Table 71
#: description: Observed CLs values for Fig. 08a.

#: data_file: Table71.yaml
#: keyword reactions: P P --> CHARGINO+ CHARGINO- X | P P --> SLEPTON+ SLEPTON- X | P P --> CHARGINO+ NEUTRALINO X
#: keyword observables: M
#: keyword phrases: Inclusive | Proton-Proton Scattering
#: keyword cmenergies: 8000.0
#: RE,P P --> CHARGINO+ CHARGINO- X
#: SQRT(S) [GeV],8000.0
M(SLEPTON) [GEV],M(NEUTRALINO1) [GEV],Numbers give CL_{S} values
100.0,19.8,0.1846336
100.0,29.8,0.4000243
100.0,49.8,0.8549179
109.0,0.0,0.01663326
118.3,9.8,0.005155025
118.3,29.8,0.03637915
118.3,49.8,0.3827683
127.6,0.0,0.00049269
127.6,19.8,0.0002685775
127.6,39.8,0.007973325
127.6,59.8,0.1099428
137.1,9.8,0.001138107
137.1,29.8,0.000185865
137.1,49.8,0.02418331
137.1,69.8,0.2596585
146.6,39.8,0.00250065
146.6,59.8,0.008782281
146.6,79.8,0.1967163
156.2,9.8,0.00076891
156.2,29.8,0.0003944288
156.2,49.8,0.004992804
156.2,69.8,0.04720597
156.2,89.8,0.5519353
165.8,0.0,0.001203427
165.8,19.8,0.001809602
165.8,39.8,0.002620394
165.8,59.8,0.01371966
165.8,79.8,0.0596256
175.5,9.8,0.0005916825
175.5,29.8,0.0005705568
175.5,49.8,0.006543819
175.5,69.8,0.09378041
175.5,89.8,0.1281206
185.2,39.8,0.001536531
185.2,59.8,0.01597015
185.2,79.8,0.04083285
194.9,9.8,0.0003080834
194.9,29.8,0.001702759
194.9,49.8,0.001367013
194.9,69.8,0.01292075
204.7,0.0,0.0007792169
204.7,19.8,0.002753291
204.7,39.8,0.003219695
204.7,59.8,0.004938653
214.5,9.8,0.01060438
214.5,29.8,0.01502398
214.5,49.8,0.0096191
224.3,0.0,0.02047775
224.3,19.8,0.006187808
224.3,39.8,0.02679668
234.1,29.8,0.02717151
100.0,0.0,0.03488904
100.0,39.8,0.644869
103.6,69.8,0.0
107.2,59.8,0.0
113.6,79.8,0.0
117.4,69.8,0.0
123.9,89.8,0.0
127.6,79.8,0.0
135.2,99.8,0.0
138.0,89.8,0.0
145.6,109.8,0.0
148.5,99.8,0.0
156.2,119.8,0.0
160.0,109.8,0.8488877
163.9,99.8,0.7531921
166.8,129.8,0.0
170.6,119.8,0.9799279
174.5,109.8,0.4432134
177.4,139.8,0.0
181.3,129.8,0.8650134
185.2,119.8,0.5153426
185.2,159.8,0.0
189.1,109.8,0.159165
189.1,149.8,0.0
193.0,99.8,0.1925101
193.0,139.8,0.8204368
195.9,89.8,0.1202745
195.9,129.8,0.4530489
195.9,169.8,0.0
199.8,79.8,0.03823502
199.8,119.8,0.3057097
199.8,159.8,0.0
203.7,109.8,0.2450463
203.7,149.8,0.921497
206.6,99.8,0.1184965
206.6,139.8,0.530717
206.6,179.8,0.0
210.5,89.8,0.07110944
210.5,129.8,0.3783928
210.5,169.8,0.0
214.5,79.8,0.03934963
214.5,119.8,0.283679
214.5,159.8,0.9253051
218.4,69.8,0.0334072
218.4,109.8,0.1154628
218.4,149.8,0.7448532
218.4,189.8,0.0
222.3,59.8,0.009022349
222.3,99.8,0.1291084
222.3,139.8,0.4422169
222.3,179.8,0.0
225.2,49.8,0.02422475
225.2,89.8,0.05909906
225.2,129.8,0.2964872
225.2,169.8,0.9309744
229.2,79.8,0.03331577
229.2,119.8,0.1409528
229.2,159.8,0.6487072
229.2,199.8,0.0
233.1,69.8,0.02445236
233.1,109.8,0.1087665
233.1,149.8,0.5461487
233.1,189.8,0.0
236.0,19.8,0.02074677
236.0,59.8,0.0383078
236.0,99.8,0.08102419
236.0,139.8,0.3699611
240.0,179.8,0.8664528
240.0,9.8,0.01639976
240.0,49.8,0.04112085
240.0,89.8,0.07554648
240.0,129.8,0.3030474
240.0,169.8,0.7024363
243.9,0.0,0.02446248
243.9,39.8,0.04879339
