#: table_doi: 10.17182/hepdata.63216.v1/t72
#: name: Table 72
#: description: Observed CLs values for Fig. 08b.

#: data_file: Table72.yaml
#: keyword reactions: P P --> CHARGINO+ CHARGINO- X | P P --> SLEPTON+ SLEPTON- X | P P --> CHARGINO+ NEUTRALINO X
#: keyword observables: M
#: keyword phrases: Inclusive | Proton-Proton Scattering
#: keyword cmenergies: 8000.0
#: RE,P P --> CHARGINO+ CHARGINO- X
#: SQRT(S) [GeV],8000.0
M(SLEPTON) [GEV],M(NEUTRALINO1) [GEV],Numbers give CL_{S} values
101.4,19.8,3.57e-05
101.4,29.8,0.0
101.4,49.8,0.3534513
110.4,0.0,4.0275e-06
119.5,9.8,1.6125e-06
119.5,29.8,0.002827822
119.5,49.8,0.0
128.8,0.0,1e-06
128.8,19.8,1e-06
128.8,39.8,1e-06
128.8,59.8,0.008445664
138.1,9.8,1e-06
138.1,29.8,1.1025e-06
138.1,49.8,0.001316497
138.1,69.8,0.0
147.6,39.8,1e-06
147.6,59.8,1.1875e-06
147.6,79.8,0.02094033
157.1,9.8,1e-06
157.1,29.8,1e-06
157.1,49.8,1e-06
157.1,69.8,0.001726719
157.1,89.8,0.1447805
166.7,0.0,1e-06
166.7,19.8,1e-06
166.7,39.8,1e-06
166.7,59.8,1.225e-06
166.7,79.8,0.0002510762
176.3,9.8,1e-06
176.3,29.8,1e-06
176.3,49.8,1.04375e-06
176.3,69.8,1.572875e-05
176.3,89.8,0.006804372
186.0,39.8,1e-06
186.0,59.8,1.225e-06
186.0,79.8,0.0001520313
195.7,9.8,1e-06
195.7,29.8,1e-06
195.7,49.8,1.658125e-06
195.7,69.8,1.208333e-05
205.4,0.0,1e-06
205.4,19.8,1e-06
205.4,39.8,1e-06
205.4,59.8,1.383e-05
215.1,9.8,1.209375e-06
215.1,29.8,3.21875e-06
215.1,49.8,1.425227e-05
224.9,0.0,2.185096e-06
224.9,19.8,1.178365e-06
224.9,39.8,5.603125e-06
234.7,29.8,0.0001509491
101.4,0.0,6.5125e-06
101.4,39.8,0.5000194
105.0,69.8,0.0
108.6,59.8,0.7999236
114.9,79.8,0.0
118.6,69.8,0.0
125.1,89.8,0.0
128.8,79.8,0.0
136.3,99.8,0.0
139.1,89.8,0.0
146.6,109.8,0.0
149.5,99.8,0.0
157.1,119.8,0.0
160.9,109.8,0.5993193
164.8,99.8,0.3337537
167.6,129.8,0.0
171.5,119.8,0.8473547
175.3,109.8,0.06156972
178.2,139.8,0.0
182.1,129.8,0.7067364
186.0,119.8,0.1778517
186.0,159.8,0.0
189.8,109.8,0.00881956
189.8,149.8,0.0
193.7,99.8,0.001554762
193.7,139.8,0.6453046
196.6,89.8,0.0002181875
196.6,129.8,0.1166965
196.6,169.8,0.0
200.5,79.8,3.819667e-05
200.5,119.8,0.03280765
200.5,159.8,0.0
204.4,109.8,0.004162041
204.4,149.8,0.7887784
207.3,99.8,0.00163974
207.3,139.8,0.250573
207.3,179.8,0.0
211.2,89.8,0.0002286708
211.2,129.8,0.04578234
211.2,169.8,0.0
215.1,79.8,3.790667e-05
215.1,119.8,0.01183539
215.1,159.8,0.6122088
219.0,69.8,9.752708e-05
219.0,109.8,0.001107987
219.0,149.8,0.3144
219.0,189.8,0.0
223.0,59.8,1.11875e-05
223.0,99.8,0.0006320325
223.0,139.8,0.06698846
223.0,179.8,0.0
225.9,49.8,1.552045e-05
225.9,89.8,0.0002145067
225.9,129.8,0.02633302
225.9,169.8,0.7477825
229.8,79.8,0.0001403042
229.8,119.8,0.001757097
229.8,159.8,0.2943519
229.8,199.8,0.0
233.7,69.8,0.0001550575
233.7,109.8,0.0009910375
233.7,149.8,0.1006469
233.7,189.8,0.0
236.7,19.8,6.415625e-06
236.7,59.8,8.133125e-05
236.7,99.8,0.0009716325
236.7,139.8,0.02205623
240.6,179.8,0.7777818
240.6,9.8,8.3525e-06
240.6,49.8,8.0675e-05
240.6,89.8,0.0003512217
240.6,129.8,0.01283584
240.6,169.8,0.4148451
244.5,0.0,9.04325e-05
244.5,39.8,6.909732e-05
244.5,79.8,0.0004667075
244.5,119.8,0.002986602
244.5,159.8,0.1571421
244.5,199.8,0.0
248.4,29.8,0.0002105592
248.4,69.8,0.0004073692
248.4,109.8,0.003757688
248.4,149.8,0.04408047
248.4,189.8,0.7296853
252.4,19.8,6.417e-05
252.4,59.8,0.0002696562
252.4,99.8,0.001925981
252.4,139.8,0.01760792
252.4,179.8,0.4720909
255.3,9.8,0.00041245
255.3,49.8,0.0007301891
255.3,89.8,0.002415583
255.3,129.8,0.003778965
255.3,169.8,0.2012095
259.2,0.0,0.0004056725
259.2,39.8,0.0003360258
259.2,79.8,0.0008666075
259.2,119.8,0.003054787
259.2,159.8,0.1809926
259.2,199.8,0.8174666
263.2,29.8,0.0005934633
263.2,69.8,0.0009723192
263.2,109.8,0.005472701
263.2,149.8,0.02697092
263.2,189.8,0.4300504
266.1,19.8,0.00587187
266.1,59.8,0.001040587
266.1,99.8,0.005753438
266.1,139.8,0.008774454
266.1,179.8,0.3310887
270.1,9.8,0.001335038
270.1,49.8,0.00373095
270.1,89.8,0.004226602
270.1,129.8,0.01087666
270.1,169.8,0.2009239
274.0,0.0,0.007628518
274.0,39.8,0.002450908
274.0,79.8,0.01137659
274.0,119.8,0.005035718
274.0,159.8,0.07703278
274.0,199.8,0.5703289
278.0,29.8,0.001506793
278.0,69.8,0.01177579
278.0,109.8,0.008026479
278.0,149.8,0.03007802
278.0,189.8,0.3396074
281.9,19.8,0.0009628445
281.9,59.8,0.004225941
281.9,99.8,0.00740501
281.9,139.8,0.02768575
281.9,179.8,0.1840471
284.9,9.8,0.01981306
284.9,49.8,0.02855824
284.9,89.8,0.01189578
284.9,129.8,0.01578944
284.9,169.8,0.0582168
288.8,0.0,0.02389574
288.8,39.8,0.01832306
288.8,79.8,0.03986636
288.8,119.8,0.01241711
288.8,159.8,0.06211737
288.8,199.8,0.4490207
292.8,29.8,0.01839619
292.8,69.8,0.01094049
292.8,109.8,0.06898195
292.8,149.8,0.03904013
292.8,189.8,0.2226173
295.7,19.8,0.01923994
295.7,59.8,0.04641476
295.7,99.8,0.06557709
295.7,139.8,0.02294204
295.7,179.8,0.1225208
299.7,9.8,0.0337565
299.7,49.8,0.03495665
299.7,89.8,0.02714988
299.7,129.8,0.09679712
299.7,169.8,0.06327176
303.6,0.0,0.05544975
303.6,39.8,0.05413855
303.6,119.8,0.1127334
303.6,159.8,0.05603752
240.6,209.8,0.0
255.3,209.8,0.0
270.1,209.8,0.0
284.9,209.8,0.0
299.7,209.8,0.0
305.6,74.8,0.07404077
305.6,194.8,0.2034699
307.6,29.8,0.04184107
307.6,149.8,0.04390968
309.5,104.8,0.08882025
311.5,59.8,0.08890136
311.5,179.8,0.1263128
312.5,14.8,0.07535484
312.5,134.8,0.1644537
314.5,89.8,0.09745755
314.5,209.8,0.0
316.5,44.8,0.08064365
