#: table_doi: 10.17182/hepdata.63216.v1/t73
#: name: Table 73
#: description: Observed CLs values for Fig. 08c.

#: data_file: Table73.yaml
#: keyword reactions: P P --> CHARGINO+ CHARGINO- X | P P --> SLEPTON+ SLEPTON- X | P P --> CHARGINO+ NEUTRALINO X
#: keyword observables: M
#: keyword phrases: Inclusive | Proton-Proton Scattering
#: keyword cmenergies: 8000.0
#: RE,P P --> CHARGINO+ CHARGINO- X
#: SQRT(S) [GeV],8000.0
M(SLEPTON) [GEV],M(NEUTRALINO1) [GEV],Numbers give CL_{S} values
100.0,19.8,2.65125e-06
100.0,29.8,0.05168567
100.0,49.8,0.3529906
109.0,0.0,1.144167e-06
118.3,9.8,1.029167e-06
118.3,29.8,0.001133662
118.3,49.8,0.05935077
127.6,0.0,1e-06
127.6,19.8,1e-06
127.6,39.8,1e-06
127.6,59.8,0.0003816463
137.1,9.8,1e-06
137.1,29.8,1e-06
137.1,49.8,0.0002259087
137.1,69.8,0.0
146.6,39.8,1e-06
146.6,59.8,1e-06
146.6,79.8,0.001524841
156.2,9.8,1e-06
156.2,29.8,1e-06
156.2,49.8,1e-06
156.2,69.8,7.029438e-05
156.2,89.8,0.0
165.8,0.0,1e-06
165.8,19.8,1e-06
165.8,39.8,1e-06
165.8,59.8,1e-06
165.8,79.8,2.65e-06
175.5,9.8,1e-06
175.5,29.8,1e-06
175.5,49.8,1e-06
175.5,69.8,1e-06
175.5,89.8,0.001858532
185.2,39.8,1e-06
185.2,59.8,1e-06
185.2,79.8,2.65e-06
194.9,9.8,1e-06
194.9,29.8,1e-06
194.9,49.8,1e-06
194.9,69.8,1.029167e-06
204.7,0.0,1e-06
204.7,19.8,1e-06
204.7,39.8,1e-06
204.7,59.8,1e-06
214.5,9.8,1e-06
214.5,29.8,1e-06
214.5,49.8,1e-06
224.3,0.0,1e-06
224.3,19.8,1e-06
224.3,39.8,1e-06
234.1,29.8,3.366964e-06
100.0,0.0,1.2625e-06
100.0,39.8,0.5111359
103.6,69.8,0.0
107.2,59.8,0.8003444
113.6,79.8,0.0
117.4,69.8,0.0
123.9,89.8,0.0
127.6,79.8,0.0
135.2,99.8,0.0
138.0,89.8,0.0
145.6,109.8,0.0
148.5,99.8,0.0
156.2,119.8,0.0
160.0,109.8,0.5563948
163.9,99.8,0.2833447
166.8,129.8,0.0
170.6,119.8,0.8409454
174.5,109.8,0.01840267
177.4,139.8,0.0
181.3,129.8,0.6547188
185.2,119.8,0.08639064
185.2,159.8,0.0
189.1,109.8,0.00131911
189.1,149.8,0.0
193.0,99.8,9.43e-05
193.0,139.8,0.5621138
195.9,89.8,5.1125e-06
195.9,129.8,0.03475116
195.9,169.8,0.0
199.8,79.8,1.4125e-06
199.8,119.8,0.004857328
199.8,159.8,0.980144
203.7,109.8,0.000274075
203.7,149.8,0.7192729
206.6,99.8,6.005078e-05
206.6,139.8,0.1076573
206.6,179.8,0.0
210.5,89.8,9.3375e-06
210.5,129.8,0.009011005
210.5,169.8,0.0
214.5,79.8,1.1375e-06
214.5,119.8,0.0010337
214.5,159.8,0.5729987
218.4,69.8,1.901042e-06
218.4,109.8,0.0001192398
218.4,149.8,0.2111449
218.4,189.8,0.0
222.3,59.8,1.0375e-06
222.3,99.8,4.64725e-05
222.3,139.8,0.0174376
222.3,179.8,0.0
225.2,49.8,1e-06
225.2,89.8,9.124166e-06
225.2,129.8,0.003188605
225.2,169.8,0.7531252
229.2,79.8,3.0125e-06
229.2,119.8,0.0001301525
229.2,159.8,0.1536487
229.2,199.8,0.0
233.1,69.8,1.9125e-06
233.1,109.8,6.54875e-05
233.1,149.8,0.04406893
233.1,189.8,0.0
236.0,19.8,1e-06
236.0,59.8,1.908594e-06
236.0,99.8,6.188916e-05
236.0,139.8,0.006118119
240.0,179.8,0.6616459
240.0,9.8,1.019375e-06
240.0,49.8,2.6e-06
240.0,89.8,1.55975e-05
240.0,129.8,0.002884475
240.0,169.8,0.275166
243.9,0.0,2.21e-06
243.9,39.8,2.188393e-06
243.9,79.8,1.263917e-05
243.9,119.8,0.0002508575
243.9,159.8,0.05431249
243.9,199.8,0.0
247.8,29.8,6.4325e-06
247.8,69.8,1.794083e-05
247.8,109.8,0.0003101925
247.8,149.8,0.01516171
247.8,189.8,0.6232597
251.8,19.8,1.414167e-06
251.8,59.8,1.673047e-05
251.8,99.8,0.0001548883
251.8,139.8,0.002721294
251.8,179.8,0.3192115
254.7,9.8,1.28875e-05
254.7,49.8,2.37975e-05
254.7,89.8,0.0001983483
254.7,129.8,0.0004403525
254.7,169.8,0.09910921
258.7,0.0,0.0001657
258.7,39.8,1.682333e-05
258.7,79.8,2.555583e-05
258.7,119.8,0.00027361
258.7,159.8,0.05111486
258.7,199.8,0.756696
262.6,29.8,2.6975e-05
262.6,69.8,8.00375e-05
262.6,109.8,0.0004510717
262.6,149.8,0.004945981
262.6,189.8,0.2959676
265.6,19.8,0.00033007
265.6,59.8,5.0875e-05
265.6,99.8,0.0006213429
265.6,139.8,0.001097682
265.6,179.8,0.1888895
269.5,9.8,0.00010466
269.5,49.8,0.0001722792
269.5,89.8,0.0004004719
269.5,129.8,0.001164738
269.5,169.8,0.1055523
273.5,0.0,0.001057215
273.5,39.8,0.0001294558
273.5,79.8,0.0001595858
273.5,119.8,0.0004371325
273.5,159.8,0.01830431
273.5,199.8,0.4679362
277.4,29.8,7.718334e-05
277.4,69.8,0.001744125
277.4,109.8,0.0006526281
277.4,149.8,0.005751237
277.4,189.8,0.2216366
281.4,19.8,4.135156e-05
281.4,59.8,0.002321251
281.4,99.8,0.0007513281
281.4,139.8,0.00429171
281.4,179.8,0.08683949
284.3,9.8,0.002089358
284.3,49.8,0.004107581
284.3,89.8,0.001374813
284.3,129.8,0.001941597
284.3,169.8,0.01497921
288.3,0.0,0.002587922
288.3,39.8,0.002058771
288.3,79.8,0.005391513
288.3,119.8,0.001816125
288.3,159.8,0.02110054
288.3,199.8,0.3222069
292.3,29.8,0.002004223
292.3,69.8,0.00752578
292.3,109.8,0.002520012
292.3,149.8,0.006658223
292.3,189.8,0.1096652
295.2,19.8,0.003107512
295.2,59.8,0.008703998
295.2,99.8,0.002769388
295.2,139.8,0.003978323
295.2,179.8,0.03941705
299.2,9.8,0.0055655
299.2,49.8,0.005565822
299.2,89.8,0.004538215
299.2,129.8,0.02531333
299.2,169.8,0.01647908
303.1,0.0,0.0151719
303.1,39.8,0.01058101
303.1,119.8,0.03243545
303.1,159.8,0.01741939
240.0,209.8,0.0
254.7,209.8,0.0
269.5,209.8,0.0
284.3,209.8,0.0
299.2,209.8,0.0
305.1,74.8,0.01662805
305.1,194.8,0.09734416
307.1,29.8,0.008085409
307.1,149.8,0.01041378
309.1,104.8,0.005620587
311.1,59.8,0.02055607
311.1,179.8,0.04893292
312.0,14.8,0.0188363
312.0,134.8,0.05033493
314.0,89.8,0.03598349
314.0,209.8,0.0
316.0,44.8,0.01701995
316.0,164.8,0.02693858
318.0,0.0,0.0395834
318.0,119.8,0.04666713
320.0,74.8,0.03051807
320.0,194.8,0.09748001
321.9,29.8,0.02731022
321.9,149.8,0.02202271
323.9,104.8,0.06265663
324.9,59.8,0.03917631
324.9,179.8,0.04359791
326.9,14.8,0.03463611
326.9,134.8,0.06913995
328.9,89.8,0.05042538
328.9,209.8,0.0
330.9,44.8,0.04617119
330.9,164.8,0.04662565
332.9,0.0,0.04852197
332.9,119.8,0.08414496
334.8,74.8,0.05603991
334.8,194.8,0.09601023
336.8,29.8,0.05370024
336.8,149.8,0.1435059
338.8,104.8,0.07515506
340.8,59.8,0.04537883
340.8,179.8,0.09879062
341.8,14.8,0.05549394
341.8,134.8,0.130653
343.8,89.8,0.08170215
343.8,209.8,0.0
345.7,44.8,0.08582328
345.7,164.8,0.2000164
347.7,0.0,0.06019911
347.7,119.8,0.1096373
349.7,74.8,0.115175
349.7,194.8,0.1483745
351.7,29.8,0.1194439
351.7,149.8,0.168214
353.7,104.8,0.1424446
354.7,59.8,0.1137295
354.7,179.8,0.2345831
356.7,14.8,0.1076927
356.7,134.8,0.1699872
358.6,89.8,0.1320689
358.6,209.8,0.0
360.6,44.8,0.1030618
360.6,164.8,0.2165098
362.6,0.0,0.1503403
362.6,119.8,0.1574779
364.6,74.8,0.1795293
364.6,194.8,0.2835386
366.6,29.8,0.1604439
366.6,149.8,0.2503115
368.6,104.8,0.1634731
370.6,59.8,0.1666654
370.6,179.8,0.3164937
370.6,179.8,0.3164937

