#: table_doi: 10.17182/hepdata.63216.v1/t77
#: name: Table 77
#: description: Observed CLs values for Fig. 10a.

#: data_file: Table77.yaml
#: keyword reactions: P P --> CHARGINO+ CHARGINO- X | P P --> SLEPTON+ SLEPTON- X | P P --> CHARGINO+ NEUTRALINO X
#: keyword observables: M
#: keyword phrases: Inclusive | Proton-Proton Scattering
#: keyword cmenergies: 8000.0
#: RE,P P --> CHARGINO+ CHARGINO- X
#: SQRT(S) [GeV],8000.0
MU [GEV],M2 [GEV],Numbers give observed CL_{S} values
152.5,152.5,0.0255485997
202.5,152.5,0.0501510017
252.5,152.5,0.0289305616
302.5,152.5,0.0497484654
352.5,152.5,0.207534105
402.5,152.5,0.145898521
452.5,152.5,0.147930071
502.5,152.5,0.0504602753
552.5,152.5,0.313400745
152.5,202.5,0.0667308047
202.5,202.5,0.0985277966
252.5,202.5,0.0483093597
302.5,202.5,0.0472856611
352.5,202.5,0.16237621
402.5,202.5,0.133108616
452.5,202.5,0.0690753013
502.5,202.5,0.191163585
552.5,202.5,0.201170444
152.5,252.5,0.184433892
202.5,252.5,0.139235899
252.5,252.5,0.0763679892
302.5,252.5,0.0584750883
352.5,252.5,0.193130702
402.5,252.5,0.236836493
452.5,252.5,0.181028366
502.5,252.5,0.193282828
552.5,252.5,0.237952724
152.5,302.5,0.27008149
202.5,302.5,0.125713155
252.5,302.5,0.0384383872
302.5,302.5,0.0363836847
352.5,302.5,0.218216866
402.5,302.5,0.267042279
452.5,302.5,0.253463447
502.5,302.5,0.370045513
552.5,302.5,0.527847886
152.5,352.5,0.252826035
202.5,352.5,0.0930360183
252.5,352.5,0.0458992384
302.5,352.5,0.0867788121
352.5,352.5,0.307596445
402.5,352.5,0.24265334
452.5,352.5,0.363415986
502.5,352.5,0.474242955
552.5,352.5,0.736293554
152.5,402.5,0.248075813
202.5,402.5,0.129267707
252.5,402.5,0.0899416357
302.5,402.5,0.16848734
352.5,402.5,0.179276243
402.5,402.5,0.326250732
452.5,402.5,0.432447195
502.5,402.5,0.591872931
552.5,402.5,0.771317124
152.5,452.5,0.402638853
202.5,452.5,0.164399371
252.5,452.5,0.115429938
302.5,452.5,0.150080442
402.5,452.5,0.309173197
452.5,452.5,0.396734923
502.5,452.5,0.546124935
552.5,452.5,0.805981219
152.5,502.5,0.404350519
202.5,502.5,0.323508918
252.5,502.5,0.0907049999
302.5,502.5,0.234628499
402.5,502.5,0.430220395
452.5,502.5,0.527570844
502.5,502.5,0.552092731
552.5,502.5,0.837417185
152.5,552.5,0.355375588
202.5,552.5,0.157720402
252.5,552.5,0.0973006487
302.5,552.5,0.167840406
402.5,552.5,0.398069531
452.5,552.5,0.532149553
502.5,552.5,0.711095214
552.5,552.5,-0.594430506

