#: table_doi: 10.17182/hepdata.63216.v1/t78
#: name: Table 78
#: description: ET(miss,rel) in WW CR for SR-MT2 and SR-WWb/c.

#: data_file: Table78.yaml
#: keyword reactions: P P --> CHARGINO+ CHARGINO- X | P P --> SLEPTON+ SLEPTON- X | P P --> CHARGINO+ NEUTRALINO X
#: keyword observables: DN/DET
#: keyword phrases: Inclusive | Single Differential Distribution | Proton-Proton Scattering
#: keyword cmenergies: 8000.0
#: RE,P P --> CHARGINO+ CHARGINO- X,,,
#: SQRT(S) [GeV],8000.0
#: ,data
"ET(miss,rel) [GEV]",Events / 20 GeV,error +,error -
10.0,0.0,0.0,-0.0
30.0,2.0,2.64,-1.29
50.0,229.0,16.15,-15.12
70.0,532.0,24.08,-23.06
90.0,235.0,16.35,-15.32
110.0,52.0,8.26,-7.19
130.0,9.0,4.11,-2.94
150.0,2.0,2.64,-1.29
170.0,0.0,0.0,-0.0
190.0,0.0,0.0,-0.0

#: RE,P P --> CHARGINO+ CHARGINO- X,,,,,
#: SQRT(S) [GeV],8000.0
#: ,bg
"ET(miss,rel) [GEV]",Events / 20 GeV,stat +,stat -,sys +,sys -
10.0,0.0,0.0,-0.0,0.0,-0.0
30.0,3.19,0.53,-0.53,0.95,-1.01
50.0,224.87,4.63,-4.63,28.15,-9.78
70.0,462.01,6.56,-6.56,51.2,-19.29
90.0,205.29,4.38,-4.38,35.06,-9.91
110.0,43.33,2.28,-2.28,10.18,-5.57
130.0,9.89,1.35,-1.35,2.35,-1.21
150.0,1.86,0.51,-0.51,1.34,-0.17
170.0,0.15,0.05,-0.05,0.05,-0.02
190.0,0.31,0.12,-0.12,0.14,-0.19

